1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,-5474.00,-16.00,0.00,-148.00,1083.00,-2682.00,-239.00,-443.00,-2000.00,-3020.00,335.00,-943.00,-83.00,-496.00,579.00
1960:Q2,3044.00,-5.00,0.00,-6.00,-384.00,500.00,-293.00,-160.00,953.00,1134.00,238.00,546.00,1021.00,-2082.00,1061.00
1960:Q3,-5891.00,-9.00,0.00,478.00,-413.00,-1622.00,178.00,229.00,-2029.00,-1651.00,-174.00,-528.00,-1972.00,2328.00,-356.00
1960:Q4,8165.00,-10.00,0.00,-489.00,-107.00,4220.00,173.00,603.00,3444.00,3293.00,460.00,-1563.00,2361.00,-1111.00,-1250.00
1961:Q1,-905.00,-6.00,0.00,-504.00,18.00,-1519.00,39.00,622.00,-2179.00,-2758.00,562.00,3150.00,151.00,-930.00,779.00
1961:Q2,-2758.00,-12.00,0.00,-247.00,137.00,1191.00,-93.00,287.00,996.00,-976.00,-248.00,-2887.00,284.00,-1346.00,1062.00
1961:Q3,-2828.00,-109.00,0.00,505.00,-381.00,-1774.00,-407.00,-18.00,-1349.00,-1797.00,-542.00,2578.00,-1308.00,1739.00,-431.00
1961:Q4,8579.00,-6.00,0.00,63.00,540.00,3795.00,528.00,-295.00,3562.00,2986.00,-656.00,63.00,1794.00,-436.00,-1358.00
1962:Q1,-2305.00,5.00,0.00,-1189.00,-189.00,-2925.00,-27.00,-334.00,-2564.00,-2256.00,1524.00,3228.00,-503.00,-501.00,1004.00
1962:Q2,1249.00,-1.00,0.00,9.00,-52.00,1360.00,104.00,-139.00,1395.00,201.00,474.00,-894.00,152.00,-1440.00,1288.00
1962:Q3,-3219.00,40.00,0.00,869.00,-836.00,-2454.00,-530.00,35.00,-1959.00,-1011.00,246.00,2089.00,-2162.00,2721.00,-559.00
1962:Q4,8224.00,-6.00,0.00,-1146.00,184.00,4774.00,802.00,175.00,3797.00,3175.00,-1133.00,-159.00,2536.00,-860.00,-1676.00
1963:Q1,282.00,-2.00,0.00,-648.00,783.00,-2533.00,-66.00,194.00,-2661.00,-2796.00,1238.00,3531.00,709.00,-1927.00,1218.00
1963:Q2,852.00,1.00,0.00,271.00,8.00,1031.00,-313.00,85.00,1259.00,-707.00,-351.00,-860.00,1459.00,-2902.00,1443.00
1963:Q3,-3713.00,8.00,0.00,666.00,-857.00,-1612.00,377.00,-5.00,-1984.00,-826.00,-639.00,3050.00,-3503.00,4183.00,-680.00
1963:Q4,9792.00,28.00,0.00,-587.00,1481.00,4101.00,98.00,-86.00,4089.00,4493.00,-1059.00,-1455.00,2790.00,-875.00,-1915.00
1964:Q1,-4250.00,18.00,0.00,-472.00,175.00,-1574.00,251.00,406.00,-2231.00,-4079.00,1585.00,387.00,-290.00,-1015.00,1305.00
1964:Q2,340.00,17.00,0.00,-73.00,-1142.00,299.00,-482.00,-532.00,1313.00,-100.00,-36.00,1269.00,106.00,-1606.00,1500.00
1964:Q3,-8578.00,39.00,0.00,1000.00,-654.00,-2399.00,-313.00,25.00,-2111.00,-2210.00,-587.00,-440.00,-3328.00,4048.00,-720.00
1964:Q4,13848.00,123.00,0.00,-1398.00,2201.00,3813.00,389.00,-837.00,4261.00,5189.00,-541.00,1012.00,3450.00,-1442.00,-2008.00
1965:Q1,-1730.00,49.00,0.00,354.00,-883.00,-2652.00,-163.00,983.00,-3472.00,-2828.00,1070.00,2305.00,856.00,-2152.00,1296.00
1965:Q2,701.00,15.00,0.00,466.00,-603.00,1487.00,165.00,86.00,1236.00,-494.00,211.00,-1246.00,865.00,-2457.00,1592.00
1965:Q3,-8483.00,-12.00,0.00,72.00,-393.00,-2746.00,321.00,102.00,-3168.00,-2186.00,-243.00,1316.00,-4292.00,5092.00,-800.00
1965:Q4,4857.00,12.00,0.00,-756.00,277.00,5789.00,109.00,131.00,5549.00,4606.00,-236.00,-6549.00,1713.00,291.00,-2004.00
1966:Q1,-7500.00,17.00,0.00,-37.00,-424.00,-2477.00,-613.00,126.00,-1990.00,-4767.00,1393.00,101.00,-1307.00,317.00,990.00
1966:Q2,-1547.00,59.00,0.00,1058.00,-490.00,2486.00,-58.00,87.00,2456.00,-2113.00,239.00,-2764.00,-22.00,-1552.00,1574.00
1966:Q3,-9854.00,89.00,0.00,1252.00,-1968.00,-3019.00,-99.00,46.00,-2966.00,-2792.00,-299.00,2607.00,-5725.00,6160.00,-435.00
1966:Q4,9844.00,-8.00,0.00,-744.00,268.00,5318.00,757.00,4.00,4557.00,4985.00,-832.00,-969.00,1826.00,198.00,-2024.00
1967:Q1,-9425.00,26.00,0.00,-1481.00,1379.00,-5137.00,-200.00,-500.00,-4437.00,-5375.00,1144.00,1518.00,-1500.00,131.00,1369.00
1967:Q2,344.00,110.00,0.00,900.00,52.00,2041.00,-536.00,530.00,2047.00,-329.00,948.00,-2453.00,-925.00,-1108.00,2033.00
1967:Q3,-9677.00,18.00,0.00,1049.00,-553.00,-2517.00,1310.00,-762.00,-3065.00,-1705.00,-505.00,-1409.00,-4055.00,4768.00,-713.00
1967:Q4,9651.00,62.00,0.00,-492.00,944.00,5860.00,62.00,513.00,5285.00,4951.00,-957.00,-3674.00,2958.00,-381.00,-2577.00
1968:Q1,-8158.00,53.00,0.00,-1527.00,-1031.00,-4420.00,122.00,841.00,-5382.00,-5062.00,2815.00,2191.00,-1177.00,-57.00,1234.00
1968:Q2,-651.00,151.00,0.00,1876.00,1396.00,2408.00,-584.00,-281.00,3272.00,-753.00,-1410.00,-2426.00,-1893.00,139.00,1754.00
1968:Q3,-6456.00,13.00,0.00,425.00,-1688.00,-3016.00,822.00,60.00,-3898.00,-808.00,-256.00,2828.00,-3955.00,4600.00,-645.00
1968:Q4,11767.00,32.00,0.00,393.00,2142.00,9505.00,615.00,1353.00,7537.00,3277.00,-903.00,-6380.00,3702.00,-1503.00,-2199.00
1969:Q1,-9627.00,15.00,0.00,-892.00,-1155.00,-5915.00,-420.00,44.00,-5539.00,-5652.00,636.00,4476.00,-1140.00,-517.00,1657.00
1969:Q2,1944.00,148.00,0.00,3048.00,150.00,2722.00,-554.00,29.00,3247.00,-1060.00,2281.00,-4412.00,-934.00,-973.00,1906.00
1969:Q3,-3795.00,7.00,0.00,-1044.00,-4242.00,-2809.00,1558.00,22.00,-4389.00,-2249.00,-53.00,10998.00,-4403.00,5009.00,-606.00
1969:Q4,4504.00,49.00,0.00,-540.00,2092.00,5962.00,-1522.00,-1292.00,8776.00,5687.00,-1188.00,-12205.00,4647.00,-1903.00,-2744.00
1970:Q1,-7364.00,11.00,0.00,-643.00,-405.00,-7626.00,-764.00,3.00,-6865.00,-5537.00,406.00,6716.00,-287.00,-1831.00,2118.00
1970:Q2,2909.00,-62.00,0.00,1031.00,4973.00,805.00,-431.00,5.00,1230.00,773.00,2203.00,-5720.00,-1094.00,-859.00,1953.00
