1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,7553.00,-23602.00,26887.00,-3900.00,-757.00,10752.00,-666.00,14312.00,13.00,38.00,-6.00,801.00,-2456.00,312.00,-56.00,0.00,-688.00,-103.00,-111.00,-638.00,-1826.00
1967:Q2,-14381.00,-14970.00,7845.00,-8940.00,375.00,-827.00,2.00,688.00,-118.00,45.00,5.00,42.00,-251.00,164.00,120.00,0.00,-682.00,-98.00,-133.00,-611.00,2135.00
1967:Q3,-28793.00,-29440.00,5789.00,-829.00,-4098.00,3991.00,-26.00,4391.00,282.00,54.00,-13.00,687.00,90.00,180.00,-116.00,0.00,-688.00,-100.00,-152.00,-597.00,-4206.00
1967:Q4,-799.00,43881.00,-4124.00,10843.00,2888.00,-52215.00,598.00,-52550.00,81.00,46.00,3.00,418.00,566.00,220.00,-28.00,0.00,-698.00,-102.00,-163.00,-606.00,-2072.00
1968:Q1,9429.00,-71632.00,31533.00,6191.00,-810.00,45778.00,-859.00,47792.00,191.00,22.00,-25.00,325.00,391.00,196.00,-125.00,0.00,-1159.00,-83.00,-189.00,-699.00,-1631.00
1968:Q2,-13879.00,-10596.00,1375.00,-4487.00,-973.00,-1029.00,-42.00,416.00,-247.00,26.00,-18.00,-272.00,824.00,292.00,139.00,0.00,-1202.00,-92.00,-180.00,-674.00,1830.00
1968:Q3,-20924.00,-29884.00,16955.00,167.00,-6366.00,2635.00,-42.00,6174.00,152.00,22.00,-35.00,-516.00,-831.00,-104.00,135.00,0.00,-1361.00,-94.00,-197.00,-667.00,-4432.00
1968:Q4,11377.00,27471.00,-9076.00,10634.00,5704.00,-23906.00,794.00,-21196.00,-148.00,18.00,-5.00,-521.00,-352.00,76.00,-101.00,0.00,-1418.00,-88.00,-264.00,-702.00,550.00
1969:Q1,2180.00,-40140.00,17495.00,4444.00,5309.00,22438.00,-1001.00,24382.00,475.00,-87.00,-23.00,1117.00,-414.00,136.00,-23.00,0.00,-1036.00,-113.00,-227.00,-748.00,-7365.00
1969:Q2,-1059.00,-2263.00,8300.00,-10466.00,4265.00,4023.00,-80.00,2320.00,-89.00,-127.00,-11.00,974.00,2786.00,92.00,241.00,0.00,-1033.00,-38.00,-229.00,-783.00,-4917.00
1969:Q3,-10735.00,-24073.00,12438.00,-924.00,-823.00,12412.00,-36.00,13312.00,84.00,21.00,-23.00,615.00,125.00,72.00,513.00,0.00,-1144.00,-61.00,-249.00,-817.00,-9764.00
1969:Q4,-18278.00,1714.00,-1766.00,10219.00,6976.00,-20763.00,997.00,-20000.00,-137.00,21.00,17.00,425.00,433.00,100.00,-355.00,0.00,-1155.00,-52.00,-240.00,-817.00,-14658.00
1970:Q1,-3130.00,-30825.00,33102.00,-9247.00,1017.00,4105.00,-1216.00,10314.00,-309.00,66.00,30.00,-1389.00,-218.00,76.00,-859.00,0.00,-1098.00,10.00,-409.00,-892.00,-1283.00
1970:Q2,-32818.00,-41733.00,18491.00,-4722.00,5691.00,-2516.00,-67.00,1839.00,-1869.00,99.00,47.00,-1297.00,1007.00,-128.00,213.00,0.00,-1063.00,1.00,-404.00,-893.00,-8030.00
1970:Q3,-54048.00,-73907.00,8099.00,9682.00,-5572.00,12906.00,-39.00,12203.00,199.00,98.00,27.00,-180.00,3078.00,-128.00,70.00,0.00,-1091.00,-37.00,-417.00,-877.00,-5255.00
1970:Q4,38738.00,37184.00,-13678.00,-4259.00,19294.00,1591.00,1110.00,3771.00,2225.00,74.00,65.00,-1552.00,-1827.00,-128.00,58.00,0.00,-1001.00,1.00,-395.00,-810.00,-1393.00
1971:Q1,-23319.00,-41467.00,22958.00,-9461.00,4816.00,3499.00,-1280.00,7213.00,-389.00,45.00,-15.00,271.00,-16.00,-84.00,-30.00,0.00,-555.00,-10.00,-534.00,-1116.00,-3664.00
1971:Q2,-61286.00,-61988.00,12471.00,-1935.00,4510.00,-561.00,-77.00,1419.00,-1518.00,105.00,-26.00,-1588.00,3189.00,0.00,47.00,0.00,-423.00,2.00,-556.00,-1134.00,-13783.00
1971:Q3,-44166.00,-40302.00,13614.00,9587.00,-5143.00,9561.00,-253.00,9793.00,-25.00,213.00,-61.00,-1575.00,3730.00,-112.00,-57.00,0.00,-401.00,-6.00,-547.00,-1138.00,-31483.00
1971:Q4,36183.00,49433.00,-10694.00,-117.00,14186.00,-8110.00,962.00,-3873.00,1669.00,-20.00,-27.00,-1762.00,-3287.00,20.00,186.00,0.00,-275.00,44.00,-578.00,-1170.00,-8515.00
1972:Q1,3034.00,-47722.00,42194.00,-6010.00,790.00,11098.00,-1079.00,9160.00,105.00,158.00,-14.00,-498.00,5441.00,4.00,-58.00,0.00,-228.00,-35.00,-520.00,-1338.00,2683.00
1972:Q2,-50696.00,-65513.00,14253.00,-12276.00,11141.00,3078.00,105.00,4617.00,616.00,214.00,-20.00,-1099.00,659.00,100.00,117.00,0.00,-243.00,-88.00,-541.00,-1359.00,-1379.00
