1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,429357.00,412415.00,1296.00,1073.00,14573.00,429357.00,390486.00,5911.00,5311.00,600.00,202.00,16939.00,6706.00,5866.00,209.00,0.00,0.00,631.00,0.00,9113.00
1970:Q3,449677.00,432405.00,1365.00,1103.00,14804.00,449677.00,408317.00,6325.00,5325.00,1000.00,360.00,19729.00,6913.00,6099.00,167.00,0.00,0.00,647.00,0.00,8033.00
1970:Q4,468066.00,450075.00,1408.00,1133.00,15450.00,468066.00,423525.00,6747.00,5347.00,1400.00,463.00,23012.00,7194.00,6315.00,213.00,0.00,0.00,666.00,0.00,7125.00
1971:Q1,497652.00,478845.00,1464.00,1120.00,16223.00,497652.00,447207.00,9344.00,7544.00,1800.00,480.00,25946.00,7485.00,6567.00,233.00,0.00,0.00,685.00,0.00,7190.00
1971:Q2,515222.00,495552.00,1502.00,1109.00,17059.00,515222.00,462733.00,11024.00,8824.00,2200.00,517.00,26041.00,7648.00,6765.00,180.00,0.00,0.00,703.00,0.00,7259.00
1971:Q3,530321.00,509940.00,1616.00,1220.00,17545.00,530321.00,475887.00,11865.00,9265.00,2600.00,530.00,26752.00,7927.00,7033.00,174.00,0.00,0.00,720.00,0.00,7360.00
1971:Q4,549909.00,528641.00,1668.00,1285.00,18315.00,549909.00,491035.00,12509.00,9509.00,3000.00,520.00,30236.00,8155.00,7270.00,148.00,0.00,0.00,737.00,0.00,7454.00
1972:Q1,574870.00,552565.00,1765.00,1252.00,19288.00,574870.00,511194.00,15140.00,11740.00,3400.00,500.00,31781.00,8305.00,7513.00,39.00,0.00,0.00,753.00,0.00,7950.00
1972:Q2,595775.00,572541.00,1841.00,1220.00,20173.00,595775.00,529210.00,16124.00,12324.00,3800.00,492.00,33077.00,8624.00,7821.00,33.00,0.00,0.00,770.00,0.00,8248.00
1972:Q3,616463.00,592926.00,1567.00,1322.00,20648.00,616463.00,548959.00,15141.00,10941.00,4200.00,610.00,33335.00,9006.00,8155.00,65.00,0.00,0.00,786.00,0.00,9412.00
1972:Q4,638377.00,612961.00,2415.00,1425.00,21576.00,638377.00,564227.00,16490.00,11890.00,4600.00,606.00,36970.00,9504.00,8511.00,191.00,0.00,0.00,802.00,0.00,10580.00
1973:Q1,670281.00,643325.00,2802.00,1438.00,22716.00,670281.00,587526.00,20589.00,15583.00,5006.00,770.00,39845.00,10013.00,8891.00,304.00,0.00,0.00,818.00,0.00,11538.00
1973:Q2,689939.00,661790.00,2847.00,1400.00,23902.00,689939.00,602598.00,23290.00,17879.00,5411.00,730.00,40305.00,10494.00,9232.00,429.00,0.00,0.00,833.00,0.00,12522.00
