1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,485200.00,103452.00,62452.00,33379.00,116105.00,87961.00,232382.00,33261.00,14360.00,15387.00
1953:Q3,495283.00,105910.00,64249.00,34153.00,117753.00,89017.00,237102.00,34518.00,15478.00,15776.00
1953:Q4,498997.00,108223.00,66003.00,34614.00,117609.00,89252.00,237379.00,35786.00,16019.00,16153.00
1954:Q1,503920.00,110338.00,67712.00,34429.00,119137.00,90351.00,237381.00,37064.00,15003.00,16285.00
1954:Q2,510260.00,113490.00,70407.00,34742.00,120313.00,90726.00,238068.00,38389.00,15990.00,16158.00
1954:Q3,516382.00,116259.00,72313.00,35068.00,122482.00,91873.00,237933.00,39708.00,16085.00,16149.00
1954:Q4,525508.00,120453.00,75356.00,35963.00,123758.00,92843.00,240195.00,41102.00,16636.00,16435.00
1955:Q1,533634.00,126070.00,78550.00,37501.00,125485.00,93897.00,239601.00,42478.00,16687.00,16262.00
1955:Q2,544090.00,131870.00,81889.00,39544.00,128878.00,95914.00,239587.00,43755.00,17807.00,16330.00
1955:Q3,553506.00,137180.00,85009.00,41438.00,131806.00,97630.00,239535.00,44985.00,18669.00,16304.00
1955:Q4,563842.00,141563.00,87936.00,42949.00,136054.00,101216.00,240077.00,46148.00,19865.00,16428.00
1956:Q1,571511.00,146010.00,90695.00,44298.00,139223.00,103790.00,239012.00,47266.00,20358.00,16553.00
1956:Q2,576429.00,149752.00,93542.00,45160.00,143001.00,106470.00,235303.00,48373.00,20916.00,16841.00
1956:Q3,583188.00,152972.00,96144.00,45898.00,146132.00,108574.00,234687.00,49397.00,21319.00,16933.00
1956:Q4,590711.00,156401.00,98745.00,46580.00,148890.00,110961.00,235039.00,50381.00,21920.00,17275.00
1957:Q1,600081.00,160458.00,101230.00,47379.00,151976.00,113755.00,236274.00,51373.00,22053.00,17604.00
1957:Q2,604209.00,163914.00,103275.00,48136.00,155694.00,116775.00,232121.00,52480.00,22777.00,17801.00
1957:Q3,613347.00,166850.00,105360.00,48878.00,158445.00,118733.00,234373.00,53679.00,23902.00,17898.00
1957:Q4,617864.00,168575.00,107374.00,49217.00,161010.00,120632.00,233240.00,55039.00,24937.00,18547.00
1958:Q1,625795.00,170790.00,109399.00,48901.00,163417.00,122618.00,235182.00,56406.00,25326.00,18940.00
1958:Q2,635474.00,172675.00,111384.00,48625.00,165493.00,123711.00,239506.00,57800.00,26409.00,19492.00
1958:Q3,641957.00,176000.00,113984.00,48820.00,168230.00,125299.00,238587.00,59140.00,24364.00,19929.00
1958:Q4,656559.00,180371.00,117177.00,49490.00,172145.00,127965.00,243374.00,60669.00,25670.00,20504.00
1959:Q1,668509.00,185935.00,120392.00,51130.00,174820.00,129228.00,245641.00,62113.00,26024.00,20618.00
1959:Q2,682621.00,191129.00,123584.00,52825.00,179937.00,132391.00,247894.00,63661.00,28357.00,21013.00
1959:Q3,696315.00,197117.00,126952.00,54859.00,183278.00,134054.00,250546.00,65374.00,30187.00,21311.00
1959:Q4,707085.00,202315.00,130099.00,57213.00,186894.00,136645.00,251180.00,66696.00,32324.00,21406.00
1960:Q1,715720.00,206930.00,133068.00,58070.00,190620.00,139269.00,249998.00,68172.00,33041.00,21759.00
1960:Q2,725489.00,211625.00,135591.00,59599.00,194599.00,141908.00,249677.00,69588.00,34772.00,22178.00
1960:Q3,734027.00,216118.00,138516.00,60582.00,197125.00,143162.00,249804.00,70980.00,35817.00,22540.00
1960:Q4,742760.00,219861.00,141378.00,61248.00,200616.00,145592.00,250072.00,72211.00,37709.00,23185.00
1961:Q1,751561.00,224638.00,144160.00,61669.00,203006.00,146194.00,250311.00,73606.00,35794.00,23830.00
1961:Q2,761774.00,228354.00,146813.00,61540.00,206357.00,148193.00,252356.00,74707.00,37235.00,23840.00
1961:Q3,775397.00,232682.00,150112.00,62079.00,209874.00,149680.00,256548.00,76293.00,38072.00,24531.00
1961:Q4,788596.00,237901.00,154027.00,63435.00,214704.00,152987.00,258176.00,77815.00,40940.00,25426.00
1962:Q1,801650.00,243416.00,157045.00,64323.00,217937.00,154534.00,260736.00,79561.00,39917.00,26336.00
1962:Q2,814466.00,247809.00,160432.00,66340.00,223073.00,157690.00,262629.00,80955.00,41317.00,26815.00
1962:Q3,826115.00,254279.00,164276.00,67648.00,227384.00,160111.00,262285.00,82167.00,43018.00,26699.00
1962:Q4,842334.00,259752.00,168307.00,69344.00,232768.00,163466.00,266044.00,83770.00,46345.00,27514.00
1963:Q1,856946.00,267192.00,171943.00,71309.00,236659.00,165589.00,268037.00,85058.00,44018.00,28278.00
1963:Q2,871929.00,273473.00,175979.00,73129.00,241366.00,167940.00,270284.00,86806.00,47671.00,29565.00
1963:Q3,884428.00,281467.00,180605.00,75440.00,245710.00,170147.00,269330.00,87921.00,50338.00,29875.00
1963:Q4,900618.00,288211.00,185106.00,77870.00,252156.00,174184.00,271008.00,89243.00,54125.00,30765.00
1964:Q1,916026.00,296926.00,189423.00,80555.00,256242.00,176586.00,272343.00,90515.00,53177.00,31526.00
1964:Q2,930730.00,302540.00,193536.00,82769.00,262031.00,179977.00,273916.00,92243.00,57749.00,32444.00
1964:Q3,947411.00,309552.00,198037.00,85288.00,267787.00,183446.00,276082.00,93990.00,58175.00,33186.00
1964:Q4,965255.00,317130.00,202335.00,87352.00,274192.00,187925.00,278309.00,95624.00,61043.00,34905.00
1965:Q1,982834.00,324887.00,206582.00,90344.00,281383.00,193184.00,279189.00,97375.00,60637.00,36390.00
1965:Q2,997775.00,330041.00,210488.00,93294.00,288848.00,197971.00,279373.00,99513.00,66508.00,36617.00
1965:Q3,1012260.00,337149.00,215035.00,95625.00,296181.00,202866.00,277467.00,101463.00,65816.00,36722.00
1965:Q4,1034076.00,345863.00,219449.00,97489.00,303787.00,208193.00,281252.00,103174.00,70150.00,37423.00
1966:Q1,1053716.00,352721.00,224085.00,100006.00,313349.00,214562.00,282763.00,104883.00,70819.00,38046.00
1966:Q2,1070723.00,357371.00,227381.00,101373.00,323869.00,222356.00,282469.00,107014.00,77287.00,38603.00
1966:Q3,1084213.00,361503.00,230299.00,102281.00,331871.00,228547.00,282300.00,108539.00,76635.00,38701.00
1966:Q4,1102733.00,368393.00,232742.00,103422.00,338202.00,232924.00,286101.00,110037.00,81898.00,39526.00
1967:Q1,1118526.00,371065.00,234956.00,104389.00,346563.00,239688.00,289406.00,111492.00,80112.00,40855.00
1967:Q2,1128452.00,373105.00,237210.00,105421.00,355873.00,246045.00,285886.00,113588.00,79412.00,41634.00
1967:Q3,1151909.00,379861.00,241614.00,106874.00,364078.00,251640.00,292284.00,115686.00,81315.00,42532.00
1967:Q4,1190912.00,402322.00,245974.00,108567.00,370856.00,255245.00,300362.00,117372.00,85926.00,43299.00
1968:Q1,1203501.00,396573.00,250119.00,110508.00,380822.00,263576.00,306990.00,119116.00,85809.00,44212.00
1968:Q2,1223709.00,403692.00,253803.00,112911.00,390904.00,270242.00,308055.00,121058.00,91596.00,44607.00
1968:Q3,1249700.00,412000.00,258280.00,115599.00,401071.00,277802.00,313637.00,122992.00,94393.00,45308.00
1968:Q4,1279692.00,426692.00,262934.00,119324.00,412656.00,286074.00,314219.00,126125.00,99722.00,46034.00
1969:Q1,1297091.00,427990.00,265603.00,122479.00,423624.00,294256.00,315342.00,130135.00,98004.00,46841.00
1969:Q2,1312111.00,433499.00,269871.00,125419.00,437807.00,303762.00,307375.00,133430.00,107424.00,47924.00
1969:Q3,1336314.00,439972.00,274629.00,127326.00,450239.00,312057.00,309983.00,136120.00,111123.00,48491.00
1969:Q4,1364896.00,453272.00,278689.00,129231.00,460784.00,318879.00,312583.00,138257.00,124190.00,49216.00
1970:Q1,1383353.00,454743.00,277740.00,130530.00,473750.00,338845.00,314500.00,140360.00,128581.00,49888.00
1970:Q2,1404252.00,454821.00,278865.00,131338.00,488703.00,349441.00,317154.00,143574.00,133925.00,50327.00
1970:Q3,1432775.00,462108.00,281771.00,132924.00,501097.00,357036.00,323589.00,145981.00,134200.00,50881.00
1970:Q4,1456448.00,467163.00,286015.00,133660.00,511941.00,363384.00,327027.00,150317.00,141493.00,52024.00
1971:Q1,1485826.00,479214.00,291470.00,138226.00,522999.00,370451.00,328923.00,154690.00,139567.00,52988.00
1971:Q2,1522201.00,486221.00,295430.00,141017.00,537847.00,378233.00,339263.00,158870.00,139600.00,53984.00
1971:Q3,1560722.00,498739.00,302126.00,144770.00,551889.00,386805.00,347468.00,162626.00,142548.00,55452.00
1971:Q4,1596200.00,511310.00,309454.00,149243.00,563398.00,392236.00,354745.00,166747.00,153065.00,56551.00
1972:Q1,1634462.00,527747.00,317906.00,153380.00,579276.00,403333.00,356270.00,171169.00,154498.00,58034.00
1972:Q2,1670156.00,540898.00,324324.00,158564.00,596705.00,411260.00,358194.00,174359.00,160530.00,58034.00
1972:Q3,1710318.00,555453.00,333264.00,162799.00,613216.00,420541.00,364207.00,177442.00,164566.00,59203.00
1972:Q4,1759092.00,571267.00,343552.00,168757.00,634365.00,431815.00,372750.00,180710.00,180771.00,61097.00
1973:Q1,1815688.00,593828.00,353598.00,176766.00,659441.00,446414.00,378186.00,184233.00,182143.00,63025.00
1973:Q2,1857531.00,605466.00,361862.00,183161.00,685410.00,461449.00,379668.00,186987.00,196630.00,65217.00
1973:Q3,1903057.00,623265.00,371042.00,187983.00,710306.00,481201.00,379074.00,190412.00,209106.00,64939.00
1973:Q4,1940863.00,636677.00,382218.00,192980.00,727578.00,497437.00,381829.00,194779.00,223936.00,67368.00
1974:Q1,1984856.00,652427.00,392321.00,196565.00,751318.00,512155.00,381929.00,199182.00,225560.00,69114.00
1974:Q2,2032709.00,664990.00,400813.00,199933.00,779452.00,529291.00,385635.00,202632.00,241114.00,75588.00
1974:Q3,2079585.00,680994.00,410404.00,202348.00,802156.00,541863.00,390234.00,206201.00,258084.00,77454.00
1974:Q4,2115657.00,690672.00,419339.00,201926.00,820315.00,553066.00,396457.00,208213.00,270774.00,81295.00
1975:Q1,2158117.00,703087.00,427459.00,202454.00,831801.00,558834.00,412756.00,210473.00,265991.00,83427.00
1975:Q2,2203504.00,708692.00,435481.00,199092.00,841543.00,562444.00,440620.00,212649.00,265588.00,86853.00
1975:Q3,2255785.00,725589.00,445509.00,202035.00,851525.00,568023.00,464591.00,214080.00,261647.00,90157.00
1975:Q4,2311028.00,745477.00,459087.00,206996.00,860266.00,572665.00,485926.00,219359.00,277293.00,95421.00
1976:Q1,2374567.00,769695.00,474026.00,211812.00,873896.00,577948.00,505967.00,225009.00,277453.00,99764.00
1976:Q2,2439166.00,788180.00,485633.00,216337.00,891345.00,588836.00,528227.00,231414.00,283587.00,104279.00
1976:Q3,2502003.00,809240.00,500528.00,221278.00,910679.00,600863.00,546903.00,235181.00,289359.00,107341.00
1976:Q4,2562899.00,833929.00,517073.00,228961.00,931428.00,614346.00,559712.00,237830.00,308835.00,115750.00
1977:Q1,2639968.00,866845.00,536389.00,236168.00,960388.00,632301.00,572404.00,240331.00,306303.00,115741.00
1977:Q2,2713273.00,898177.00,556489.00,246398.00,988022.00,648520.00,580529.00,246545.00,322633.00,118821.00
1977:Q3,2806705.00,932030.00,579584.00,255421.00,1015394.00,665925.00,607628.00,251653.00,332245.00,124486.00
1977:Q4,2892827.00,963923.00,602997.00,264892.00,1050133.00,690322.00,622606.00,256165.00,362898.00,128603.00
1978:Q1,2988993.00,1004569.00,627038.00,274811.00,1081920.00,710784.00,637105.00,265399.00,365847.00,133706.00
1978:Q2,3090473.00,1047316.00,650880.00,289868.00,1117332.00,731047.00,650943.00,274882.00,391522.00,137453.00
1978:Q3,3194463.00,1089170.00,678732.00,301165.00,1148272.00,745665.00,672723.00,284298.00,405527.00,141931.00
1978:Q4,3286725.00,1124744.00,708641.00,311305.00,1184262.00,766056.00,682118.00,295601.00,439642.00,157916.00
1979:Q1,3379898.00,1170356.00,740030.00,322611.00,1221343.00,789843.00,685071.00,303128.00,448216.00,156885.00
1979:Q2,3479366.00,1209475.00,766252.00,333789.00,1266458.00,811542.00,693719.00,309714.00,479885.00,162071.00
1979:Q3,3593092.00,1252799.00,795664.00,345271.00,1308984.00,833769.00,714755.00,316554.00,502944.00,174970.00
1979:Q4,3682178.00,1290264.00,826724.00,354616.00,1343789.00,851773.00,725909.00,322216.00,538064.00,177190.00
1980:Q1,3784653.00,1333726.00,860063.00,359093.00,1383614.00,873560.00,739509.00,327804.00,553005.00,178432.00
1980:Q2,3853445.00,1348826.00,875720.00,352773.00,1404259.00,880652.00,767360.00,333000.00,570548.00,186356.00
1980:Q3,3939954.00,1378358.00,900209.00,354263.00,1431479.00,892677.00,791355.00,338762.00,586505.00,193283.00
1980:Q4,4045118.00,1413827.00,926526.00,358044.00,1474673.00,919612.00,812184.00,344434.00,620152.00,202120.00
1981:Q1,4144108.00,1441423.00,944614.00,363365.00,1509028.00,935219.00,842366.00,351291.00,621863.00,205525.00
1981:Q2,4256185.00,1473296.00,966081.00,369096.00,1566302.00,976519.00,860707.00,355880.00,659168.00,213865.00
1981:Q3,4355823.00,1497330.00,980800.00,376062.00,1617642.00,1014379.00,876789.00,364062.00,696737.00,219362.00
1981:Q4,4459363.00,1521194.00,998261.00,377882.00,1658457.00,1038680.00,907658.00,372054.00,723581.00,229445.00
1982:Q1,4568131.00,1543318.00,1012723.00,383538.00,1700124.00,1067945.00,941829.00,382860.00,730787.00,202587.00
1982:Q2,4670203.00,1563187.00,1021850.00,388711.00,1746192.00,1098087.00,967057.00,393767.00,770594.00,206370.00
1982:Q3,4783279.00,1565826.00,1017038.00,391153.00,1789873.00,1124827.00,1024123.00,403457.00,787521.00,212344.00
1982:Q4,4895638.00,1593247.00,1031175.00,396718.00,1807588.00,1129933.00,1081029.00,413774.00,823425.00,224064.00
1983:Q1,5033907.00,1605035.00,1033170.00,402687.00,1858041.00,1161482.00,1146269.00,424562.00,827243.00,227417.00
1983:Q2,5190851.00,1646840.00,1057024.00,412172.00,1896473.00,1185232.00,1207253.00,440285.00,859156.00,232026.00
1983:Q3,5350734.00,1696410.00,1085787.00,425395.00,1945750.00,1217534.00,1258653.00,449921.00,889085.00,235026.00
1983:Q4,5492125.00,1754013.00,1116384.00,444878.00,1996223.00,1247242.00,1280780.00,461109.00,931135.00,228209.00
1984:Q1,5700309.00,1811953.00,1153101.00,464733.00,2071525.00,1295249.00,1344109.00,472722.00,948948.00,230889.00
1984:Q2,5902342.00,1867373.00,1182190.00,489551.00,2158678.00,1352746.00,1389644.00,486647.00,996404.00,244542.00
1984:Q3,6101869.00,1910895.00,1210049.00,507427.00,2235208.00,1400349.00,1450932.00,504834.00,1044202.00,236715.00
1984:Q4,6302340.00,1971633.00,1243294.00,526584.00,2320616.00,1457968.00,1496457.00,513634.00,1104498.00,228122.00
1985:Q1,6560512.00,2075858.00,1316829.00,551452.00,2377928.00,1489462.00,1567286.00,539440.00,1132137.00,226372.00
1985:Q2,6778030.00,2138125.00,1348447.00,571290.00,2443881.00,1529107.00,1628224.00,567800.00,1191743.00,225312.00
1985:Q3,6995871.00,2217154.00,1402267.00,592622.00,2500359.00,1572171.00,1688195.00,590163.00,1256590.00,229851.00
1985:Q4,7334597.00,2322662.00,1450249.00,610574.00,2571990.00,1638943.00,1762014.00,677931.00,1338196.00,334967.00
1986:Q1,7508328.00,2379136.00,1489804.00,624425.00,2636246.00,1683409.00,1811367.00,681579.00,1395189.00,341825.00
1986:Q2,7741173.00,2430703.00,1529839.00,641290.00,2708912.00,1736961.00,1885675.00,715883.00,1479415.00,340821.00
1986:Q3,7969224.00,2506272.00,1589114.00,657442.00,2784841.00,1797050.00,1949671.00,728439.00,1567090.00,346133.00
1986:Q4,8212565.00,2586892.00,1649024.00,666355.00,2865996.00,1865801.00,2007547.00,752130.00,1679837.00,346060.00
1987:Q1,8385478.00,2627666.00,1694524.00,662981.00,2928834.00,1909989.00,2044222.00,784756.00,1751312.00,346797.00
1987:Q2,8586747.00,2703275.00,1757670.00,674860.00,2980456.00,1949741.00,2101468.00,801548.00,1842097.00,343206.00
1987:Q3,8766786.00,2767706.00,1804085.00,688353.00,3045039.00,2000781.00,2132373.00,821668.00,1916928.00,345985.00
1987:Q4,8928173.00,2793062.00,1828608.00,698640.00,3110821.00,2052590.00,2181714.00,842576.00,1959918.00,357180.00
1988:Q1,9137141.00,2870895.00,1887603.00,713264.00,3182022.00,2102958.00,2231681.00,852543.00,1997944.00,357261.00
1988:Q2,9343393.00,2941752.00,1945778.00,725994.00,3259409.00,2157351.00,2277616.00,864616.00,2071974.00,357017.00
1988:Q3,9533839.00,3007806.00,1999188.00,735994.00,3324759.00,2198515.00,2324952.00,876322.00,2126148.00,351923.00
1988:Q4,9745675.00,3075376.00,2054832.00,745206.00,3407695.00,2265751.00,2369615.00,892989.00,2213675.00,393132.00
1989:Q1,9931553.00,3138368.00,2092082.00,773653.00,3475199.00,2319885.00,2417116.00,900870.00,2320298.00,395130.00
1989:Q2,10117408.00,3207525.00,2143370.00,787208.00,3546077.00,2378307.00,2454316.00,909489.00,2375895.00,384611.00
1989:Q3,10279223.00,3271926.00,2205094.00,796149.00,3585808.00,2406696.00,2500028.00,921461.00,2409149.00,385863.00
1989:Q4,10479801.00,3343231.00,2260115.00,809285.00,3645685.00,2455491.00,2550522.00,940363.00,2479072.00,389152.00
1990:Q1,10710274.00,3432902.00,2341358.00,813793.00,3699947.00,2503853.00,2618661.00,958764.00,2517849.00,384150.00
1990:Q2,10876711.00,3491890.00,2395950.00,818310.00,3733979.00,2539753.00,2681731.00,969112.00,2567283.00,395086.00
1990:Q3,11040492.00,3551530.00,2443875.00,826225.00,3760008.00,2565980.00,2753929.00,975024.00,2607801.00,397722.00
1990:Q4,11196423.00,3602256.00,2489255.00,824391.00,3775977.00,2585460.00,2830770.00,987420.00,2694509.00,396190.00
1991:Q1,11290689.00,3649325.00,2538672.00,824860.00,3752520.00,2566265.00,2889145.00,999699.00,2732815.00,409468.00
1991:Q2,11435663.00,3706497.00,2594093.00,822851.00,3752584.00,2566407.00,2961398.00,1015185.00,2763723.00,393271.00
1991:Q3,11570447.00,3745625.00,2614390.00,818093.00,3721649.00,2552193.00,3062723.00,1040450.00,2803043.00,400236.00
1991:Q4,11720477.00,3805939.00,2667356.00,815581.00,3688580.00,2526617.00,3147363.00,1078595.00,2884420.00,406185.00
1992:Q1,11862835.00,3856125.00,2716521.00,817269.00,3690389.00,2533006.00,3238034.00,1078287.00,2939420.00,405074.00
1992:Q2,11990823.00,3894534.00,2745225.00,815377.00,3683718.00,2533882.00,3328872.00,1083699.00,3017008.00,421199.00
1992:Q3,12149974.00,3942969.00,2791385.00,818575.00,3685526.00,2544193.00,3423745.00,1097733.00,3087730.00,425314.00
1992:Q4,12275382.00,4008774.00,2840356.00,824769.00,3680382.00,2544869.00,3491131.00,1095095.00,3129876.00,425807.00
1993:Q1,12413055.00,4054368.00,2864936.00,832774.00,3697316.00,2571447.00,3550017.00,1111355.00,3202760.00,434167.00
1993:Q2,12618826.00,4114938.00,2914439.00,843397.00,3731515.00,2609662.00,3641160.00,1131213.00,3265904.00,448869.00
1993:Q3,12822628.00,4194212.00,2956935.00,860654.00,3767426.00,2651044.00,3709639.00,1151351.00,3371825.00,479888.00
1993:Q4,13016450.00,4273506.00,2999034.00,886169.00,3805571.00,2690711.00,3784333.00,1153040.00,3461980.00,520572.00
1994:Q1,13169490.00,4345412.00,3041439.00,912689.00,3866168.00,2750156.00,3809948.00,1147963.00,3614215.00,488114.00
1994:Q2,13340802.00,4419054.00,3081681.00,946409.00,3912507.00,2793256.00,3879588.00,1129654.00,3707391.00,485698.00
1994:Q3,13516385.00,4493979.00,3118152.00,980405.00,3963517.00,2838538.00,3930823.00,1128066.00,3804846.00,486719.00
1994:Q4,13698388.00,4596178.00,3165543.00,1021168.00,4016889.00,2887599.00,3977825.00,1107497.00,3932745.00,500437.00
1995:Q1,13862152.00,4669103.00,3203318.00,1058385.00,4086288.00,2945617.00,4014760.00,1092002.00,4021047.00,515929.00
1995:Q2,14105907.00,4750333.00,3244071.00,1095019.00,4160419.00,3010925.00,4117882.00,1077272.00,4125029.00,531123.00
1995:Q3,14267391.00,4846983.00,3285125.00,1133141.00,4207593.00,3044886.00,4149242.00,1063573.00,4247386.00,553925.00
1995:Q4,14378462.00,4919638.00,3319182.00,1168160.00,4269013.00,3094373.00,4143079.00,1046732.00,4399423.00,630708.00
1996:Q1,14608068.00,5036664.00,3395741.00,1197356.00,4314762.00,3124621.00,4215265.00,1041378.00,4512163.00,644698.00
1996:Q2,14827598.00,5121855.00,3448496.00,1224879.00,4387976.00,3180544.00,4279858.00,1037909.00,4672280.00,660367.00
1996:Q3,15002543.00,5195863.00,3489511.00,1247457.00,4450016.00,3222563.00,4327646.00,1029017.00,4777123.00,688358.00
1996:Q4,15131151.00,5272223.00,3537293.00,1273878.00,4489656.00,3244574.00,4343083.00,1026189.00,4970164.00,720897.00
1997:Q1,15328856.00,5363417.00,3596938.00,1284329.00,4564214.00,3296213.00,4369736.00,1031489.00,5056966.00,731637.00
1997:Q2,15537669.00,5448605.00,3642626.00,1302783.00,4654163.00,3362568.00,4395842.00,1039059.00,5241049.00,754864.00
1997:Q3,15788686.00,5539054.00,3714715.00,1321301.00,4776409.00,3458839.00,4415850.00,1057373.00,5354985.00,784400.00
1997:Q4,15968570.00,5616307.00,3753196.00,1344165.00,4868825.00,3521815.00,4406492.00,1076946.00,5553484.00,801660.00
1998:Q1,16239258.00,5727446.00,3833368.00,1352528.00,5011575.00,3622407.00,4407670.00,1092568.00,5811264.00,827029.00
1998:Q2,16562241.00,5852524.00,3900466.00,1393784.00,5163985.00,3727537.00,4435299.00,1110433.00,6088611.00,852087.00
1998:Q3,16757753.00,5931770.00,3960842.00,1417348.00,5294247.00,3813480.00,4405501.00,1126235.00,6382476.00,844251.00
1998:Q4,17015604.00,6050289.00,4054655.00,1441272.00,5426476.00,3900449.00,4395086.00,1143753.00,6650504.00,842394.00
1999:Q1,17317881.00,6188626.00,4159484.00,1471714.00,5589760.00,4016431.00,4380185.00,1159310.00,6949620.00,843587.00
1999:Q2,17562107.00,6321987.00,4244463.00,1500711.00,5696690.00,4087384.00,4378872.00,1164558.00,7212430.00,839162.00
1999:Q3,17898627.00,6460534.00,4347018.00,1533015.00,5902803.00,4240801.00,4356927.00,1178363.00,7497071.00,854101.00
1999:Q4,18173201.00,6600004.00,4431564.00,1553622.00,6027188.00,4307348.00,4365000.00,1181009.00,7763764.00,803857.00
2000:Q1,18479140.00,6785765.00,4521434.00,1584412.00,6192891.00,4426564.00,4314730.00,1185755.00,7979506.00,826631.00
2000:Q2,18672064.00,6916894.00,4617498.00,1632955.00,6361334.00,4536007.00,4214690.00,1179146.00,8188589.00,811585.00
2000:Q3,18886625.00,7088029.00,4717399.00,1692853.00,6464775.00,4601832.00,4143885.00,1189936.00,8401373.00,836511.00
2000:Q4,19056516.00,7191122.00,4813874.00,1741267.00,6577477.00,4665218.00,4090025.00,1197892.00,8673871.00,867648.00
2001:Q1,19277555.00,7300772.00,4927434.00,1784759.00,6624321.00,4671948.00,4122911.00,1229551.00,8948200.00,880980.00
2001:Q2,19492513.00,7482211.00,5071112.00,1816504.00,6731665.00,4736367.00,4030300.00,1248336.00,9107109.00,861149.00
2001:Q3,19896282.00,7722760.00,5214394.00,1838308.00,6805791.00,4773096.00,4096886.00,1270846.00,9468834.00,835315.00
2001:Q4,20142236.00,7819849.00,5322036.00,1891827.00,6873799.00,4798060.00,4145237.00,1303350.00,9687978.00,849388.00
2002:Q1,20429327.00,8006757.00,5485949.00,1918895.00,6936762.00,4822354.00,4156460.00,1329349.00,9885641.00,865903.00
2002:Q2,20746013.00,8154233.00,5628918.00,1951616.00,6966964.00,4814301.00,4260360.00,1364455.00,10056087.00,890395.00
2002:Q3,21090617.00,8337787.00,5816738.00,1975317.00,6993662.00,4803838.00,4357679.00,1401488.00,10255151.00,888881.00
2002:Q4,21494052.00,8581299.00,6028047.00,1997008.00,7037524.00,4809915.00,4427328.00,1447900.00,10530547.00,955731.00
2003:Q1,21780207.00,8815821.00,6207295.00,2026273.00,7065897.00,4817622.00,4423583.00,1474906.00,10824700.00,938246.00
2003:Q2,22394203.00,9159374.00,6436474.00,2058502.00,7077281.00,4812565.00,4638594.00,1518954.00,11138052.00,954953.00
2003:Q3,22821090.00,9402941.00,6673659.00,2082493.00,7122790.00,4841235.00,4752624.00,1542735.00,11397114.00,925860.00
2003:Q4,23188016.00,9650021.00,6909835.00,2102932.00,7121524.00,4820016.00,4848035.00,1568435.00,11537196.00,1156570.00
2004:Q1,24421566.00,9897650.00,7092881.00,2135867.00,7272170.00,4900589.00,4912016.00,2339729.00,11787507.00,1184512.00
2004:Q2,24996216.00,10193536.00,7346576.00,2154712.00,7325013.00,4893654.00,5081330.00,2396337.00,12042185.00,1179070.00
