1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,1030970.00,0.00,64264.00,92829.00,0.00,87995.00,67555.00,140.00,14678.00,5622.00,21650.00,833.00,20817.00,0.00,203782.00,4895.00,0.00,65018.00,148566.00,107362.00,41204.00,330484.00,11487.00,114932.00,0.00,112383.00,70234.00,34006.00,510.00,5311.00,2322.00,1255.00,1294.00
1954:Q3,1060893.00,0.00,68491.00,94440.00,0.00,87072.00,66201.00,152.00,15246.00,5473.00,22026.00,919.00,21107.00,0.00,221823.00,5469.00,0.00,65687.00,152538.00,110191.00,42347.00,331774.00,11573.00,117763.00,0.00,115171.00,72336.00,34242.00,581.00,5615.00,2397.00,1277.00,1315.00
1954:Q4,1073023.00,0.00,68895.00,97182.00,0.00,87050.00,66087.00,147.00,15964.00,4852.00,22443.00,1020.00,21423.00,0.00,222895.00,6110.00,0.00,66349.00,156605.00,112747.00,43858.00,333826.00,11668.00,123092.00,0.00,120453.00,75356.00,35963.00,675.00,6047.00,2412.00,1298.00,1341.00
1955:Q1,1091204.00,0.00,68572.00,99274.00,0.00,88913.00,67640.00,39.00,16484.00,4750.00,22819.00,1023.00,21796.00,0.00,229212.00,6525.00,0.00,67031.00,160719.00,115377.00,45342.00,336329.00,11810.00,126315.00,0.00,123626.00,78237.00,35702.00,804.00,6442.00,2441.00,1318.00,1371.00
1955:Q2,1120298.00,0.00,66169.00,101868.00,0.00,90418.00,68240.00,117.00,17509.00,4552.00,23002.00,913.00,22089.00,0.00,249889.00,7186.00,0.00,67740.00,165063.00,117245.00,47818.00,337045.00,11918.00,133426.00,0.00,130685.00,81697.00,38755.00,1386.00,6552.00,2295.00,1336.00,1405.00
1955:Q3,1149895.00,0.00,69654.00,103362.00,0.00,92454.00,69181.00,232.00,18360.00,4681.00,23300.00,985.00,22315.00,0.00,263912.00,7257.00,0.00,68498.00,169458.00,119272.00,50186.00,339991.00,12009.00,138787.00,0.00,135989.00,85032.00,40543.00,1451.00,6701.00,2262.00,1356.00,1442.00
1955:Q4,1165030.00,0.00,70036.00,105783.00,0.00,93597.00,68843.00,605.00,19174.00,4975.00,23624.00,899.00,22725.00,0.00,265154.00,7839.00,0.00,69254.00,173766.00,121800.00,51966.00,343804.00,12173.00,144426.00,0.00,141563.00,87936.00,42949.00,1799.00,6713.00,2166.00,1381.00,1482.00
1956:Q1,1197356.00,0.00,69363.00,107946.00,0.00,95931.00,70474.00,721.00,19569.00,5167.00,24171.00,972.00,23199.00,0.00,281337.00,8555.00,0.00,70104.00,178087.00,124201.00,53886.00,349615.00,12247.00,146185.00,0.00,143247.00,90356.00,42251.00,1432.00,6770.00,2438.00,1413.00,1525.00
1956:Q2,1201525.00,0.00,67940.00,110925.00,0.00,97192.00,70183.00,958.00,20436.00,5615.00,24509.00,835.00,23674.00,0.00,272249.00,8613.00,0.00,71013.00,182354.00,127259.00,55095.00,354374.00,12356.00,151446.00,0.00,148421.00,93327.00,44281.00,1388.00,6856.00,2569.00,1452.00,1573.00
1956:Q3,1211777.00,0.00,70649.00,112516.00,0.00,98840.00,70632.00,1115.00,21308.00,5785.00,24843.00,867.00,23976.00,0.00,267245.00,8506.00,0.00,71904.00,186928.00,130248.00,56680.00,357913.00,12433.00,154833.00,0.00,151718.00,96174.00,44978.00,874.00,6905.00,2787.00,1493.00,1622.00
