date,FU504090005.Q,FU503034003.Q,FU502051003.Q,FU504022005.Q,FU503069105.Q,FU503063005.Q,FU503069805.Q,FU503064105.Q,FU503094505.Q,FU753194503.Q,FU663194505.Q,FU504190005.Q,FU504122005.Q,FU503169105.Q,FU503163005.Q,FU504123005.Q,FU713068505.Q,FU503169205.Q,FU503164105.Q,FU503192003.Q,FU503190005.Q,FU663097005.Q,FU503194305.Q,FU503193005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,94.00,0.00,0.00,94.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.00,0.00,94.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,19.00,0.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,19.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,130.00,0.00,0.00,130.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,0.00,0.00,130.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,77.00,0.00,0.00,77.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,77.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,146.00,0.00,0.00,146.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00,0.00,0.00,146.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,371.00,0.00,0.00,371.00,371.00,0.00,0.00,0.00,0.00,0.00,0.00,371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,371.00,0.00,0.00,371.00
1952:Q1,192.00,0.00,0.00,192.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,192.00
1952:Q2,-96.00,0.00,0.00,-96.00,-96.00,0.00,0.00,0.00,0.00,0.00,0.00,-96.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-96.00,0.00,0.00,-96.00
1952:Q3,149.00,0.00,0.00,149.00,149.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,0.00,0.00,149.00
1952:Q4,-1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00
1953:Q1,234.00,0.00,0.00,234.00,234.00,0.00,0.00,0.00,0.00,0.00,0.00,234.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.00,0.00,0.00,234.00
1953:Q2,-67.00,0.00,0.00,-67.00,-67.00,0.00,0.00,0.00,0.00,0.00,0.00,-67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-67.00,0.00,0.00,-67.00
1953:Q3,174.00,0.00,0.00,174.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,174.00
1953:Q4,-73.00,0.00,0.00,-73.00,-73.00,0.00,0.00,0.00,0.00,0.00,0.00,-73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-73.00,0.00,0.00,-73.00
1954:Q1,124.00,0.00,0.00,124.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.00,0.00,0.00,124.00
1954:Q2,-130.00,0.00,0.00,-130.00,-130.00,0.00,0.00,0.00,0.00,0.00,0.00,-130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-130.00,0.00,0.00,-130.00
1954:Q3,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00
1954:Q4,-223.00,0.00,0.00,-223.00,-223.00,0.00,0.00,0.00,0.00,0.00,0.00,-223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-223.00,0.00,0.00,-223.00
1955:Q1,307.00,0.00,0.00,307.00,307.00,0.00,0.00,0.00,0.00,0.00,0.00,307.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.00,0.00,0.00,307.00
1955:Q2,92.00,0.00,0.00,92.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,92.00
1955:Q3,59.00,0.00,0.00,59.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,59.00
1955:Q4,-162.00,0.00,0.00,-162.00,-162.00,0.00,0.00,0.00,0.00,0.00,0.00,-162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-162.00,0.00,0.00,-162.00
1956:Q1,522.00,0.00,0.00,522.00,522.00,0.00,0.00,0.00,0.00,0.00,0.00,522.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,522.00,0.00,0.00,522.00
1956:Q2,-187.00,0.00,0.00,-187.00,-187.00,0.00,0.00,0.00,0.00,0.00,0.00,-187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-187.00,0.00,0.00,-187.00
1956:Q3,-59.00,0.00,0.00,-59.00,-59.00,0.00,0.00,0.00,0.00,0.00,0.00,-59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-59.00,0.00,0.00,-59.00
1956:Q4,-193.00,0.00,0.00,-193.00,-193.00,0.00,0.00,0.00,0.00,0.00,0.00,-193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-193.00,0.00,0.00,-193.00
1957:Q1,428.00,0.00,0.00,428.00,428.00,0.00,0.00,0.00,0.00,0.00,0.00,428.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,428.00,0.00,0.00,428.00
1957:Q2,-213.00,0.00,0.00,-213.00,-213.00,0.00,0.00,0.00,0.00,0.00,0.00,-213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-213.00,0.00,0.00,-213.00
1957:Q3,89.00,0.00,0.00,89.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,0.00,0.00,89.00
1957:Q4,6.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00
1958:Q1,294.00,0.00,0.00,294.00,294.00,0.00,0.00,0.00,0.00,0.00,0.00,294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.00,0.00,0.00,294.00
1958:Q2,85.00,0.00,0.00,85.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,85.00
1958:Q3,18.00,0.00,0.00,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00
1958:Q4,-302.00,0.00,0.00,-302.00,-302.00,0.00,0.00,0.00,0.00,0.00,0.00,-302.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-302.00,0.00,0.00,-302.00
1959:Q1,130.00,0.00,0.00,130.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,0.00,0.00,130.00
1959:Q2,18.00,0.00,0.00,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00
1959:Q3,217.00,0.00,0.00,217.00,217.00,0.00,0.00,0.00,0.00,0.00,0.00,217.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.00,0.00,0.00,217.00
1959:Q4,-491.00,0.00,0.00,-491.00,-491.00,0.00,0.00,0.00,0.00,0.00,0.00,-491.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-491.00,0.00,0.00,-491.00
1960:Q1,1161.00,0.00,0.00,1161.00,1161.00,0.00,0.00,0.00,0.00,0.00,0.00,1161.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1161.00,0.00,0.00,1161.00
1960:Q2,48.00,0.00,0.00,48.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,48.00
1960:Q3,83.00,0.00,0.00,83.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,0.00,0.00,83.00
1960:Q4,-324.00,0.00,0.00,-324.00,-324.00,0.00,0.00,0.00,0.00,0.00,0.00,-324.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-324.00,0.00,0.00,-324.00
1961:Q1,561.00,0.00,0.00,561.00,561.00,0.00,0.00,0.00,0.00,0.00,0.00,561.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,561.00,0.00,0.00,561.00
1961:Q2,-126.00,0.00,0.00,-126.00,-126.00,0.00,0.00,0.00,0.00,0.00,0.00,-126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-126.00,0.00,0.00,-126.00
1961:Q3,5.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00
1961:Q4,-805.00,0.00,0.00,-805.00,-805.00,0.00,0.00,0.00,0.00,0.00,0.00,-805.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-805.00,0.00,0.00,-805.00
