1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,7796.00,330.00,4170.00,-29.00,1356.00,1969.00,7796.00,6861.00,0.00,1557.00,3948.00,1356.00,904.00,176.00,44.00,189.00,4.00,0.00,491.00,0.00,0.00,0.00,0.00,31.00,7796.00,2488.00,1878.00,749.00,0.00,1.00,-140.00,5428.00,111.00,3494.00,-36.00,3.00,4.00,233.00,671.00,379.00,46.00,406.00,0.00,-25.00,25.00,0.00,-132.00,0.00,0.00,0.00,160.00,0.00,89.00,-120.00
1957:Q4,5272.00,221.00,874.00,1191.00,1177.00,1809.00,5272.00,4668.00,0.00,1642.00,1849.00,1177.00,543.00,89.00,22.00,213.00,3.00,0.00,216.00,0.00,0.00,0.00,0.00,61.00,5272.00,1158.00,369.00,975.00,0.00,-6.00,-180.00,3781.00,993.00,686.00,-26.00,1.00,3.00,278.00,512.00,332.00,76.00,338.00,0.00,14.00,27.00,0.00,6.00,0.00,0.00,0.00,535.00,0.00,6.00,333.00
1958:Q1,3892.00,1086.00,-1548.00,478.00,1460.00,2416.00,3892.00,2667.00,0.00,2159.00,-952.00,1460.00,954.00,179.00,45.00,-120.00,2.00,0.00,848.00,0.00,0.00,0.00,0.00,271.00,3892.00,-981.00,525.00,-1246.00,0.00,42.00,-302.00,5368.00,-608.00,3366.00,-32.00,8.00,4.00,-6.00,743.00,344.00,165.00,479.00,0.00,118.00,28.00,0.00,599.00,0.00,0.00,0.00,-134.00,0.00,294.00,-495.00
1958:Q2,4514.00,-279.00,3486.00,-1154.00,1143.00,1318.00,4514.00,4731.00,0.00,1155.00,2433.00,1143.00,-557.00,-142.00,-36.00,-103.00,2.00,0.00,-278.00,0.00,0.00,0.00,0.00,340.00,4514.00,-3920.00,-1894.00,-2080.00,0.00,-29.00,83.00,9068.00,2019.00,4355.00,35.00,12.00,4.00,123.00,667.00,360.00,348.00,242.00,0.00,180.00,29.00,0.00,-111.00,0.00,0.00,0.00,720.00,0.00,85.00,-634.00
1958:Q3,3440.00,-300.00,707.00,290.00,1541.00,1202.00,3440.00,3767.00,0.00,1450.00,776.00,1541.00,-415.00,-58.00,-14.00,215.00,6.00,0.00,-564.00,0.00,0.00,0.00,0.00,88.00,3440.00,-634.00,-1631.00,951.00,0.00,-19.00,65.00,3279.00,-495.00,2818.00,-38.00,11.00,4.00,303.00,853.00,385.00,311.00,379.00,0.00,-1.00,30.00,0.00,-134.00,0.00,0.00,0.00,-1165.00,0.00,18.00,795.00
1958:Q4,9802.00,-520.00,7134.00,399.00,1306.00,1483.00,9802.00,9862.00,0.00,1115.00,7441.00,1306.00,-279.00,-70.00,-18.00,85.00,7.00,0.00,-283.00,0.00,0.00,0.00,0.00,219.00,9802.00,4068.00,1014.00,2932.00,0.00,-4.00,126.00,5352.00,1617.00,1800.00,47.00,4.00,3.00,364.00,664.00,409.00,110.00,409.00,0.00,-24.00,29.00,0.00,-245.00,0.00,0.00,0.00,467.00,0.00,-302.00,382.00
1959:Q1,2648.00,391.00,-81.00,-163.00,1578.00,923.00,2648.00,1799.00,0.00,586.00,-365.00,1578.00,680.00,-113.00,-28.00,116.00,5.00,0.00,700.00,0.00,0.00,0.00,0.00,169.00,2648.00,4446.00,2673.00,1580.00,0.00,-1.00,194.00,-2221.00,-859.00,-3136.00,-4.00,-1.00,3.00,136.00,768.00,260.00,133.00,407.00,0.00,75.00,79.00,0.00,205.00,0.00,0.00,0.00,-417.00,0.00,130.00,423.00
1959:Q2,3904.00,50.00,881.00,587.00,1258.00,1128.00,3904.00,2519.00,0.00,668.00,593.00,1258.00,1320.00,-58.00,-14.00,869.00,6.00,0.00,517.00,0.00,0.00,0.00,0.00,65.00,3904.00,2116.00,587.00,1195.00,0.00,4.00,330.00,-133.00,564.00,-2720.00,5.00,-7.00,2.00,245.00,837.00,393.00,385.00,319.00,0.00,34.00,27.00,0.00,-129.00,0.00,0.00,0.00,-106.00,0.00,18.00,1921.00
1959:Q3,7878.00,-82.00,4276.00,726.00,1939.00,1019.00,7878.00,6765.00,0.00,637.00,4189.00,1939.00,983.00,-23.00,-6.00,812.00,1.00,0.00,199.00,0.00,0.00,0.00,0.00,130.00,7878.00,5085.00,2499.00,2371.00,0.00,9.00,206.00,1592.00,513.00,-1517.00,-8.00,-7.00,2.00,401.00,487.00,357.00,323.00,506.00,0.00,137.00,29.00,0.00,-11.00,0.00,0.00,0.00,163.00,0.00,217.00,1201.00
1959:Q4,5965.00,-47.00,3064.00,409.00,1067.00,1472.00,5965.00,4986.00,0.00,845.00,3074.00,1067.00,870.00,159.00,40.00,398.00,1.00,0.00,272.00,0.00,0.00,0.00,0.00,109.00,5965.00,4517.00,2768.00,1351.00,0.00,-13.00,411.00,810.00,137.00,-1053.00,33.00,-11.00,3.00,456.00,311.00,477.00,43.00,386.00,0.00,100.00,34.00,0.00,35.00,0.00,0.00,0.00,350.00,0.00,-491.00,638.00
