date,FU893193005.Q,FU103193005.Q,FU113193003.Q,FU313193005.Q,FU713193005.Q,FU763193005.Q,FU753193005.Q,FU743193005.Q,FU473193005.Q,FU513193005.Q,FU543193005.Q,FU403193005.Q,FU613193005.Q,FU643193005.Q,FU663193005.Q,FU733193005.Q,FU503193005.Q,FU893093005.Q,FU103093005.Q,FU113093005.Q,FU313093003.Q,FU213093003.Q,FU713093005.Q,FU763093005.Q,FU753093005.Q,FU743093005.Q,FU473093005.Q,FU513093005.Q,FU543093005.Q,FU573093005.Q,FU223093005.Q,FU633093005.Q,FU653093005.Q,FU563093003.Q,FU403093005.Q,FU613093005.Q,FU643093005.Q,FU663093005.Q,FU733093005.Q,FU903090005.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-243.00,-264.00,0.00,-205.00,-6.00,58.00,0.00,-8.00,12.00,0.00,70.00,-7.00,-15.00,0.00,-8.00,0.00,130.00,81.00,599.00,0.00,0.00,0.00,31.00,-750.00,0.00,-40.00,-2.00,0.00,86.00,200.00,0.00,0.00,0.00,0.00,-12.00,-23.00,0.00,-8.00,0.00,-324.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,106.00,-294.00,0.00,-320.00,183.00,207.00,0.00,-8.00,16.00,0.00,163.00,-65.00,166.00,0.00,-19.00,0.00,77.00,644.00,470.00,0.00,0.00,0.00,-46.00,-2.00,0.00,14.00,-2.00,0.00,19.00,136.00,0.00,0.00,0.00,0.00,3.00,60.00,0.00,-8.00,0.00,-538.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1728.00,358.00,0.00,10.00,342.00,468.00,0.00,-16.00,21.00,0.00,35.00,111.00,260.00,0.00,-7.00,0.00,146.00,958.00,524.00,0.00,0.00,0.00,25.00,286.00,0.00,44.00,-4.00,0.00,140.00,-196.00,0.00,0.00,0.00,0.00,1.00,148.00,0.00,-10.00,0.00,770.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-3000.00,-3393.00,0.00,180.00,-445.00,98.00,0.00,36.00,25.00,0.00,129.00,84.00,-77.00,0.00,-8.00,0.00,371.00,528.00,831.00,0.00,0.00,0.00,17.00,-325.00,0.00,3.00,-5.00,0.00,104.00,30.00,0.00,0.00,0.00,0.00,-3.00,-112.00,0.00,-12.00,0.00,-3528.00
1952:Q1,102.00,-222.00,0.00,-43.00,-168.00,195.00,2.00,2.00,6.00,0.00,48.00,-31.00,133.00,0.00,-12.00,0.00,192.00,846.00,242.00,0.00,0.00,31.00,29.00,93.00,32.00,2.00,-1.00,0.00,25.00,161.00,0.00,0.00,0.00,0.00,112.00,117.00,0.00,3.00,0.00,-744.00
1952:Q2,-287.00,-465.00,0.00,-51.00,100.00,93.00,10.00,-1.00,7.00,0.00,112.00,-116.00,122.00,0.00,-2.00,0.00,-96.00,394.00,116.00,0.00,0.00,97.00,27.00,46.00,16.00,2.00,-2.00,0.00,22.00,27.00,0.00,0.00,0.00,0.00,2.00,28.00,0.00,13.00,0.00,-681.00
1952:Q3,-155.00,-526.00,0.00,-34.00,-143.00,284.00,1.00,-1.00,8.00,0.00,88.00,-38.00,99.00,0.00,-42.00,0.00,149.00,712.00,348.00,0.00,0.00,116.00,74.00,94.00,-9.00,2.00,-2.00,0.00,20.00,25.00,0.00,0.00,0.00,0.00,4.00,53.00,0.00,-13.00,0.00,-867.00
1952:Q4,-276.00,-485.00,0.00,-58.00,298.00,-186.00,-10.00,-3.00,7.00,0.00,71.00,6.00,98.00,0.00,-13.00,0.00,-1.00,302.00,208.00,0.00,0.00,117.00,-100.00,131.00,-11.00,3.00,-2.00,0.00,14.00,15.00,0.00,0.00,0.00,0.00,-141.00,20.00,0.00,48.00,0.00,-578.00
1953:Q1,-554.00,-976.00,0.00,-9.00,-97.00,221.00,-18.00,0.00,6.00,0.00,69.00,56.00,-27.00,0.00,-13.00,0.00,234.00,237.00,321.00,0.00,0.00,-116.00,17.00,-191.00,190.00,-1.00,-1.00,0.00,13.00,10.00,0.00,0.00,0.00,0.00,148.00,-121.00,0.00,-32.00,0.00,-791.00
1953:Q2,-563.00,-620.00,0.00,-15.00,-153.00,106.00,24.00,0.00,8.00,0.00,50.00,-23.00,142.00,0.00,-15.00,0.00,-67.00,29.00,273.00,0.00,0.00,-109.00,-76.00,154.00,-238.00,-4.00,-3.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,-1.00,56.00,0.00,-31.00,0.00,-592.00
1953:Q3,46.00,-809.00,0.00,12.00,160.00,366.00,-1.00,1.00,9.00,0.00,9.00,9.00,130.00,0.00,-14.00,0.00,174.00,661.00,388.00,0.00,0.00,137.00,96.00,-43.00,-16.00,-1.00,-2.00,0.00,9.00,1.00,0.00,0.00,0.00,0.00,5.00,112.00,0.00,-25.00,0.00,-615.00
1953:Q4,-1259.00,-637.00,0.00,-37.00,126.00,-555.00,-12.00,1.00,13.00,0.00,-2.00,-3.00,-76.00,0.00,-4.00,0.00,-73.00,470.00,100.00,0.00,0.00,124.00,-39.00,316.00,-26.00,1.00,-2.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,-5.00,-43.00,0.00,31.00,0.00,-1729.00
1954:Q1,-424.00,-901.00,0.00,6.00,-119.00,236.00,-3.00,0.00,17.00,0.00,131.00,26.00,74.00,0.00,-15.00,0.00,124.00,87.00,297.00,0.00,0.00,-130.00,14.00,-239.00,34.00,4.00,-1.00,0.00,22.00,6.00,0.00,0.00,0.00,0.00,6.00,25.00,0.00,49.00,0.00,-511.00
1954:Q2,-29.00,-263.00,0.00,-16.00,5.00,148.00,-2.00,-2.00,16.00,0.00,136.00,-33.00,116.00,0.00,-4.00,0.00,-130.00,538.00,124.00,0.00,0.00,-146.00,-69.00,484.00,22.00,4.00,-3.00,0.00,28.00,6.00,0.00,0.00,0.00,0.00,18.00,27.00,0.00,43.00,0.00,-567.00
1954:Q3,398.00,-233.00,0.00,34.00,8.00,501.00,-6.00,0.00,16.00,0.00,31.00,-8.00,65.00,0.00,-14.00,0.00,4.00,703.00,234.00,0.00,0.00,91.00,82.00,103.00,20.00,6.00,-2.00,0.00,28.00,10.00,0.00,0.00,0.00,0.00,-19.00,88.00,0.00,62.00,0.00,-305.00
1954:Q4,-202.00,-115.00,0.00,-8.00,57.00,-257.00,-57.00,-4.00,18.00,0.00,-48.00,34.00,405.00,0.00,-4.00,0.00,-223.00,754.00,73.00,0.00,0.00,103.00,-40.00,392.00,-32.00,12.00,-3.00,0.00,21.00,18.00,0.00,0.00,0.00,0.00,88.00,59.00,0.00,63.00,0.00,-956.00
1955:Q1,268.00,-589.00,0.00,50.00,-23.00,155.00,11.00,1.00,13.00,0.00,-5.00,-1.00,353.00,0.00,-4.00,0.00,307.00,200.00,355.00,0.00,0.00,-102.00,7.00,-220.00,17.00,2.00,-1.00,0.00,13.00,32.00,0.00,0.00,0.00,0.00,-15.00,95.00,0.00,17.00,0.00,68.00
1955:Q2,1847.00,-11.00,0.00,-38.00,-2.00,550.00,22.00,2.00,15.00,0.00,71.00,23.00,1128.00,0.00,-5.00,0.00,92.00,981.00,329.00,0.00,0.00,-72.00,-2.00,468.00,-8.00,0.00,-3.00,0.00,6.00,35.00,0.00,0.00,0.00,0.00,13.00,155.00,0.00,60.00,0.00,866.00
1955:Q3,851.00,-383.00,0.00,52.00,-31.00,614.00,-11.00,3.00,16.00,0.00,35.00,38.00,464.00,0.00,-5.00,0.00,59.00,1105.00,289.00,0.00,0.00,172.00,11.00,358.00,-50.00,1.00,-3.00,0.00,6.00,45.00,0.00,0.00,0.00,0.00,-2.00,236.00,0.00,42.00,0.00,-254.00
1955:Q4,143.00,-124.00,0.00,-215.00,141.00,-395.00,2.00,3.00,18.00,0.00,59.00,-45.00,876.00,0.00,-15.00,0.00,-162.00,116.00,140.00,0.00,0.00,156.00,13.00,-266.00,-10.00,4.00,-3.00,0.00,16.00,52.00,0.00,0.00,0.00,0.00,-4.00,2.00,0.00,16.00,0.00,27.00
1956:Q1,-443.00,-920.00,0.00,131.00,-204.00,480.00,5.00,3.00,20.00,0.00,114.00,-9.00,-570.00,0.00,-15.00,0.00,522.00,782.00,679.00,0.00,0.00,-78.00,-39.00,74.00,105.00,3.00,-3.00,0.00,25.00,55.00,0.00,0.00,0.00,0.00,-2.00,-93.00,0.00,56.00,0.00,-1225.00
1956:Q2,-132.00,-168.00,0.00,-68.00,-4.00,109.00,3.00,6.00,20.00,0.00,122.00,57.00,-9.00,0.00,-13.00,0.00,-187.00,543.00,231.00,0.00,0.00,-100.00,110.00,134.00,89.00,3.00,-3.00,0.00,34.00,75.00,0.00,0.00,0.00,0.00,17.00,-15.00,0.00,-32.00,0.00,-675.00
1956:Q3,-191.00,-380.00,0.00,324.00,-101.00,390.00,-14.00,5.00,22.00,0.00,-35.00,-43.00,-297.00,0.00,-3.00,0.00,-59.00,691.00,236.00,0.00,0.00,175.00,61.00,-2.00,77.00,5.00,-2.00,0.00,34.00,73.00,0.00,0.00,0.00,0.00,-12.00,71.00,0.00,-25.00,0.00,-882.00
1956:Q4,-1420.00,-746.00,0.00,43.00,191.00,-695.00,-28.00,6.00,22.00,0.00,29.00,156.00,-202.00,0.00,-3.00,0.00,-193.00,78.00,74.00,0.00,0.00,67.00,-28.00,-34.00,32.00,8.00,-4.00,0.00,26.00,51.00,0.00,0.00,0.00,0.00,-20.00,-97.00,0.00,3.00,0.00,-1498.00
1957:Q1,-646.00,-1105.00,0.00,-309.00,-107.00,413.00,3.00,7.00,23.00,0.00,41.00,-72.00,44.00,0.00,-12.00,0.00,428.00,-387.00,297.00,0.00,0.00,-154.00,-105.00,-245.00,1.00,14.00,-3.00,0.00,20.00,46.00,0.00,0.00,0.00,0.00,4.00,-217.00,0.00,-45.00,0.00,-259.00
1957:Q2,-492.00,-807.00,0.00,293.00,-252.00,165.00,14.00,8.00,25.00,0.00,89.00,7.00,180.00,0.00,-1.00,0.00,-213.00,309.00,-107.00,0.00,0.00,-157.00,-8.00,552.00,43.00,20.00,-3.00,0.00,15.00,22.00,0.00,0.00,0.00,0.00,1.00,-97.00,0.00,28.00,0.00,-801.00
1957:Q3,-490.00,-874.00,0.00,-232.00,211.00,635.00,-74.00,8.00,28.00,0.00,-10.00,-10.00,-260.00,0.00,-1.00,0.00,89.00,302.00,133.00,0.00,0.00,154.00,-2.00,25.00,-20.00,21.00,-2.00,0.00,14.00,36.00,0.00,0.00,0.00,0.00,7.00,-7.00,0.00,-57.00,0.00,-792.00
1957:Q4,-1336.00,-953.00,0.00,236.00,-10.00,-633.00,-59.00,4.00,31.00,0.00,60.00,51.00,-58.00,0.00,-11.00,0.00,6.00,249.00,77.00,0.00,0.00,164.00,98.00,-100.00,30.00,23.00,-5.00,0.00,15.00,37.00,0.00,0.00,0.00,0.00,-8.00,-38.00,0.00,-44.00,0.00,-1585.00
1958:Q1,-1392.00,-1032.00,0.00,-218.00,34.00,184.00,23.00,5.00,35.00,0.00,-9.00,2.00,-710.00,0.00,0.00,0.00,294.00,-20.00,133.00,0.00,0.00,-220.00,-49.00,-83.00,23.00,10.00,-3.00,0.00,17.00,23.00,0.00,0.00,0.00,0.00,-2.00,108.00,0.00,23.00,0.00,-1372.00
1958:Q2,791.00,-292.00,0.00,342.00,425.00,189.00,92.00,6.00,33.00,0.00,230.00,-4.00,-316.00,0.00,0.00,0.00,85.00,1393.00,419.00,0.00,0.00,-195.00,0.00,888.00,82.00,5.00,-3.00,0.00,15.00,12.00,0.00,0.00,0.00,0.00,16.00,109.00,0.00,45.00,0.00,-603.00
1958:Q3,892.00,97.00,0.00,-184.00,-391.00,943.00,-14.00,4.00,33.00,0.00,51.00,-26.00,371.00,0.00,-10.00,0.00,18.00,-97.00,218.00,0.00,0.00,121.00,-15.00,-707.00,72.00,3.00,-2.00,0.00,18.00,10.00,0.00,0.00,0.00,0.00,4.00,109.00,0.00,72.00,0.00,989.00
1958:Q4,-58.00,-208.00,0.00,104.00,101.00,-268.00,-12.00,0.00,33.00,0.00,-95.00,29.00,558.00,0.00,2.00,0.00,-302.00,984.00,20.00,0.00,0.00,215.00,-4.00,586.00,-17.00,6.00,-5.00,0.00,22.00,20.00,0.00,0.00,0.00,0.00,2.00,105.00,0.00,34.00,0.00,-1042.00
1959:Q1,48.00,-674.00,0.00,-418.00,127.00,1046.00,6.00,-3.00,27.00,0.00,-115.00,135.00,-200.00,0.00,-14.00,0.00,130.00,1087.00,739.00,0.00,0.00,28.00,5.00,10.00,143.00,5.00,-3.00,0.00,29.00,43.00,0.00,0.00,0.00,0.00,-12.00,103.00,0.00,-3.00,0.00,-1039.00
1959:Q2,-382.00,-647.00,0.00,175.00,-232.00,547.00,4.00,-8.00,26.00,0.00,-51.00,-81.00,-130.00,0.00,-3.00,0.00,18.00,1315.00,572.00,0.00,0.00,-37.00,34.00,526.00,200.00,4.00,-4.00,0.00,37.00,43.00,0.00,0.00,0.00,0.00,8.00,-70.00,0.00,2.00,0.00,-1697.00
1959:Q3,69.00,-724.00,0.00,-313.00,42.00,761.00,-43.00,-9.00,27.00,0.00,-107.00,-50.00,280.00,0.00,-12.00,0.00,217.00,945.00,331.00,0.00,0.00,9.00,40.00,197.00,162.00,4.00,-3.00,0.00,38.00,63.00,0.00,0.00,0.00,0.00,26.00,95.00,0.00,-17.00,0.00,-876.00
1959:Q4,-961.00,-492.00,0.00,141.00,325.00,-1080.00,-46.00,-9.00,29.00,0.00,60.00,78.00,523.00,0.00,1.00,0.00,-491.00,-2044.00,-360.00,0.00,0.00,11.00,44.00,-1420.00,-513.00,19.00,-5.00,0.00,33.00,51.00,0.00,0.00,0.00,0.00,21.00,69.00,0.00,6.00,0.00,1082.00
1960:Q1,-444.00,-666.00,0.00,-182.00,-371.00,471.00,-46.00,-1.00,33.00,0.00,179.00,16.00,-1020.00,0.00,-18.00,0.00,1161.00,500.00,1077.00,0.00,0.00,-9.00,2.00,-774.00,140.00,6.00,-3.00,0.00,28.00,81.00,0.00,0.00,0.00,0.00,-20.00,19.00,0.00,-47.00,0.00,-943.00
1960:Q2,-129.00,-313.00,0.00,385.00,499.00,-1012.00,80.00,2.00,31.00,0.00,137.00,-12.00,34.00,0.00,-8.00,0.00,48.00,-675.00,-988.00,0.00,0.00,6.00,170.00,18.00,116.00,6.00,-4.00,0.00,22.00,72.00,0.00,0.00,0.00,0.00,17.00,-106.00,0.00,-4.00,0.00,546.00
1960:Q3,-306.00,-136.00,0.00,-77.00,-497.00,255.00,-137.00,5.00,26.00,0.00,32.00,28.00,119.00,0.00,-7.00,0.00,83.00,222.00,24.00,0.00,0.00,32.00,-151.00,189.00,-67.00,7.00,-2.00,0.00,24.00,92.00,0.00,0.00,0.00,0.00,32.00,74.00,0.00,-32.00,0.00,-528.00
1960:Q4,-1258.00,162.00,0.00,103.00,190.00,-1296.00,-94.00,4.00,22.00,0.00,25.00,-26.00,-16.00,0.00,-8.00,0.00,-324.00,304.00,-381.00,0.00,0.00,22.00,-67.00,763.00,-47.00,14.00,-6.00,0.00,33.00,45.00,0.00,0.00,0.00,0.00,-26.00,-76.00,0.00,30.00,0.00,-1563.00
1961:Q1,1713.00,-13.00,0.00,-92.00,-136.00,1260.00,-47.00,6.00,26.00,0.00,73.00,86.00,3.00,0.00,-14.00,0.00,561.00,-1437.00,177.00,0.00,0.00,36.00,-9.00,-1380.00,-390.00,11.00,-3.00,0.00,44.00,30.00,0.00,0.00,0.00,0.00,4.00,-10.00,0.00,52.00,0.00,3150.00
1961:Q2,323.00,322.00,0.00,279.00,-79.00,-297.00,-40.00,9.00,25.00,0.00,197.00,-106.00,143.00,0.00,-4.00,0.00,-126.00,3210.00,383.00,0.00,0.00,-22.00,-31.00,2635.00,66.00,16.00,-4.00,0.00,56.00,47.00,0.00,0.00,0.00,0.00,10.00,65.00,0.00,-12.00,0.00,-2887.00
1961:Q3,1228.00,382.00,0.00,-363.00,-106.00,965.00,-50.00,9.00,23.00,0.00,83.00,-16.00,297.00,0.00,-1.00,0.00,5.00,-1349.00,-243.00,0.00,0.00,-35.00,45.00,-1452.00,-29.00,16.00,-3.00,0.00,56.00,42.00,0.00,0.00,0.00,0.00,4.00,258.00,0.00,-8.00,0.00,2578.00
1961:Q4,-40.00,649.00,0.00,140.00,183.00,-411.00,-93.00,8.00,18.00,0.00,-40.00,62.00,249.00,0.00,0.00,0.00,-805.00,-103.00,-910.00,0.00,0.00,6.00,-33.00,526.00,-52.00,18.00,-6.00,0.00,42.00,35.00,0.00,0.00,0.00,0.00,3.00,274.00,0.00,-6.00,0.00,63.00
1962:Q1,3025.00,619.00,0.00,192.00,-66.00,1420.00,-22.00,3.00,13.00,0.00,-105.00,3.00,-61.00,0.00,-15.00,0.00,1044.00,-203.00,727.00,0.00,0.00,7.00,58.00,-1035.00,-3.00,8.00,-4.00,0.00,33.00,112.00,0.00,0.00,0.00,0.00,-1.00,-87.00,0.00,-18.00,0.00,3228.00
1962:Q2,1252.00,1151.00,0.00,-184.00,40.00,-434.00,41.00,1.00,12.00,0.00,70.00,51.00,554.00,0.00,-3.00,0.00,-47.00,2145.00,-206.00,0.00,0.00,-54.00,179.00,1781.00,-11.00,4.00,-3.00,0.00,22.00,216.00,0.00,0.00,0.00,0.00,-2.00,237.00,0.00,-18.00,0.00,-894.00
1962:Q3,2291.00,697.00,0.00,171.00,-14.00,721.00,64.00,1.00,6.00,0.00,55.00,-93.00,442.00,0.00,-14.00,0.00,255.00,202.00,61.00,0.00,0.00,-41.00,-4.00,-220.00,-3.00,6.00,-3.00,0.00,20.00,127.00,0.00,0.00,0.00,0.00,20.00,248.00,0.00,-9.00,0.00,2089.00
1962:Q4,-300.00,886.00,0.00,-165.00,120.00,-1229.00,-35.00,2.00,2.00,0.00,312.00,54.00,88.00,0.00,-3.00,0.00,-332.00,-141.00,-470.00,0.00,0.00,-39.00,-81.00,172.00,165.00,14.00,-6.00,0.00,28.00,75.00,0.00,0.00,0.00,0.00,-4.00,-7.00,0.00,12.00,0.00,-159.00
1963:Q1,2889.00,627.00,0.00,90.00,-233.00,1495.00,57.00,1.00,1.00,0.00,-79.00,74.00,-22.00,0.00,-5.00,0.00,883.00,-641.00,769.00,0.00,0.00,24.00,-21.00,-1340.00,-125.00,11.00,-4.00,0.00,33.00,55.00,0.00,0.00,0.00,0.00,-18.00,-25.00,0.00,-1.00,0.00,3531.00
1963:Q2,2398.00,671.00,0.00,-85.00,13.00,260.00,-2.00,1.00,-5.00,0.00,257.00,-27.00,828.00,0.00,2.00,0.00,485.00,3258.00,505.00,0.00,0.00,-25.00,4.00,2469.00,-26.00,11.00,-4.00,0.00,38.00,20.00,0.00,0.00,0.00,0.00,12.00,269.00,0.00,-15.00,0.00,-860.00
1963:Q3,3225.00,492.00,0.00,-91.00,-27.00,1858.00,15.00,2.00,-5.00,0.00,107.00,-77.00,564.00,0.00,-3.00,0.00,390.00,175.00,365.00,0.00,0.00,-3.00,-45.00,-634.00,20.00,15.00,-3.00,0.00,39.00,37.00,0.00,0.00,0.00,0.00,45.00,349.00,0.00,-10.00,0.00,3050.00
1963:Q4,-812.00,625.00,0.00,-110.00,127.00,-1298.00,-36.00,3.00,-8.00,0.00,83.00,52.00,286.00,0.00,2.00,0.00,-538.00,643.00,-641.00,0.00,0.00,-49.00,17.00,928.00,141.00,16.00,-7.00,0.00,36.00,115.00,0.00,0.00,0.00,0.00,-64.00,164.00,0.00,-13.00,0.00,-1455.00
1964:Q1,1428.00,560.00,0.00,-13.00,-114.00,846.00,-46.00,-2.00,-15.00,0.00,-2.00,29.00,-240.00,0.00,-12.00,0.00,437.00,1041.00,706.00,0.00,0.00,-42.00,127.00,111.00,9.00,23.00,-4.00,0.00,34.00,186.00,0.00,0.00,0.00,0.00,1.00,-120.00,0.00,10.00,0.00,387.00
1964:Q2,2260.00,591.00,0.00,-85.00,28.00,266.00,-121.00,-3.00,-15.00,0.00,168.00,73.00,561.00,0.00,-1.00,0.00,798.00,991.00,344.00,0.00,0.00,-7.00,-143.00,117.00,90.00,27.00,-6.00,0.00,32.00,282.00,0.00,0.00,0.00,0.00,-17.00,283.00,0.00,-11.00,0.00,1269.00
1964:Q3,990.00,291.00,0.00,39.00,46.00,1000.00,-159.00,2.00,-14.00,0.00,22.00,-92.00,299.00,0.00,-11.00,0.00,-433.00,1430.00,141.00,0.00,0.00,14.00,127.00,627.00,7.00,25.00,-5.00,0.00,32.00,295.00,0.00,0.00,0.00,0.00,35.00,138.00,0.00,-5.00,0.00,-440.00
1964:Q4,732.00,514.00,0.00,-209.00,724.00,-940.00,-213.00,-2.00,-15.00,0.00,77.00,57.00,93.00,0.00,496.00,0.00,150.00,-280.00,-428.00,0.00,0.00,16.00,-71.00,-198.00,140.00,23.00,-8.00,0.00,37.00,230.00,0.00,0.00,0.00,0.00,-7.00,5.00,0.00,-19.00,0.00,1012.00
1965:Q1,3240.00,231.00,0.00,77.00,-89.00,1704.00,-115.00,-3.00,-12.00,0.00,100.00,64.00,121.00,0.00,-1.00,0.00,1163.00,935.00,969.00,0.00,0.00,-39.00,156.00,-691.00,303.00,4.00,-4.00,0.00,42.00,173.00,0.00,0.00,0.00,0.00,-6.00,37.00,0.00,-9.00,0.00,2305.00
1965:Q2,929.00,64.00,0.00,185.00,-120.00,36.00,134.00,-6.00,-12.00,0.00,221.00,-40.00,-38.00,0.00,8.00,0.00,497.00,2175.00,503.00,0.00,0.00,12.00,2.00,1014.00,308.00,-8.00,-5.00,0.00,49.00,148.00,0.00,0.00,0.00,0.00,39.00,161.00,0.00,-48.00,0.00,-1246.00
