date,FA796902505.A,FA796300081.A,FA796902605.A,FA796025005.A,FA796020001.A,FA796401001.A,FA796240101.A,FA796402101.A,FA796140005.A,FA796402101.A,FA796150105.A,FA796130101.A,FA796121101.A,FA793092281.A,FA796150005.A,FA796130001.A,FA796120005.A,FA796121001.A,FA796122001.A,FA793192281.A,FA796112001.A,FA796140005.A,FA796220001.A,FA796403005.A,FA796012095.A,FA796012095.A,FA796006385.A,FA796012095.A,FA795440005.A,FA795015085.A,FA795013005.A,FA796300081.A,FA795000995.A,FA795000995.A,FA794090005.A,FA713011203.A,FA794000005.A,FA794022005.A,FA793069175.A,FA793061105.A,FA793061705.A,FA793062005.A,FA793063005.A,FA794035005.A,FA794041005.A,FA793065005.A,FA793081005.A,FA793064105.A,FA793064205.A,FA793034005.A,FA793092405.A,FA793092005.A,FA713164003.A,FA793094005.A,FA793052005.A,FA793096005.A,FA794190005.A,FA794100005.A,FA794122005.A,FA423161705.A,FA793163005.A,FA793169175.A,FA794135005.A,FA794141005.A,FA643165005.A,FA793181005.A,FA634090005.A,FA793164105.A,FA653164205.A,FA403192405.A,FA793192005.A,FA662090205.A,FA793194005.A,FA713164003.A,FA583152005.A,FA793196005.A,FA795000005.A,FV798090185.A,FV792010095.A,FV798090085.A,FU797005045.A,FR792010095.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090085.A,FR794022005.A,FR793064105.A,FR793064205.A,FR793092005.A,FR593052025.A,FR794190085.A,FR793164105.A,FR653164205.A,FR793192005.A,FR662090205.A,FR793194005.A,FR583152005.A,FR798200005.A,FC792090095.A,FL792000095.A,FL792010095.A,FL795013665.A,FL795013265.A,FL795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL793065005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,FL793092005.A,FL713164003.A,FL793094005.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL643165005.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,FL793192005.A,FL662090205.A,FL793194005.A,FL713164003.A,FL583152005.A,FL793196005.A,FL792090095.A
1970,45569.00,3014.00,42555.00,25845.00,23166.00,2679.00,3239.00,13471.00,13860.00,13471.00,99050.00,93002.00,5904.00,144.00,98661.00,87573.00,11023.00,7980.00,3043.00,65.00,0.00,13860.00,7471.00,585.00,5804.00,5804.00,5804.00,5804.00,0.00,2791.00,5805.00,3014.00,3012.00,3012.00,161278.00,365.00,4321.00,48453.00,-154.00,15340.00,6761.00,12560.00,13946.00,50739.00,23646.00,27093.00,16404.00,9236.00,537.00,0.00,129.00,469.00,33.00,6000.00,38404.00,2593.00,162241.00,64960.00,12643.00,9785.00,2541.00,317.00,6757.00,6641.00,116.00,7282.00,0.00,-336.00,1575.00,-30.00,40.00,0.00,6000.00,33.00,68289.00,2310.00,-963.00,1616.00,0.00,5591.00,3975.00,1968.00,1832.00,132.00,4.00,-487.00,0.00,-1917.00,-136.00,0.00,1566.00,-4279.00,-5774.00,-2351.00,-16.00,0.00,0.00,3862.00,5760.00,13179.00,1985081.00,43434.00,30250.00,12000.00,1184.00,1941647.00,10732.00,60260.00,498071.00,26504.00,184755.00,26365.00,93798.00,166649.00,775480.00,372240.00,403240.00,171529.00,153811.00,1666.00,0.00,1607.00,3743.00,702.00,10000.00,392697.00,32878.00,1985081.00,1970191.00,758483.00,100169.00,43634.00,23468.00,33067.00,58381.00,57835.00,546.00,184243.00,0.00,122471.00,46812.00,2396.00,1862.00,0.00,10000.00,702.00,812329.00,56586.00,14890.00
1971,50077.00,3422.00,46655.00,28072.00,25078.00,2994.00,3931.00,14653.00,15359.00,14653.00,109154.00,102605.00,6392.00,156.00,108447.00,96226.00,12141.00,8584.00,3557.00,80.00,0.00,15359.00,8170.00,-153.00,7342.00,7342.00,7342.00,7342.00,0.00,3445.00,6868.00,3422.00,3897.00,3897.00,210225.00,-600.00,5653.00,47256.00,-1833.00,8506.00,8594.00,16577.00,15412.00,83184.00,33173.00,50011.00,25940.00,19906.00,-163.00,0.00,11.00,581.00,40.00,5565.00,40758.00,8035.00,207387.00,96876.00,11420.00,5903.00,4737.00,780.00,7866.00,7732.00,134.00,9039.00,0.00,3146.00,117.00,94.00,77.00,0.00,5565.00,40.00,75231.00,6955.00,2838.00,775.00,-3.00,1836.00,1059.00,2703.00,2989.00,-257.00,-29.00,14806.00,0.00,26619.00,247.00,0.00,-12060.00,30289.00,17860.00,8517.00,200.00,0.00,0.00,3712.00,-12780.00,-4664.00,2223411.00,49586.00,34699.00,13457.00,1430.00,2173825.00,10132.00,65863.00,545327.00,24671.00,193261.00,34959.00,110375.00,182061.00,858026.00,405413.00,452613.00,224335.00,200336.00,1750.00,0.00,1618.00,4324.00,742.00,15565.00,428758.00,41384.00,2223411.00,2213185.00,855359.00,111589.00,49537.00,28205.00,33847.00,66247.00,65567.00,680.00,219859.00,0.00,143477.00,55446.00,2490.00,2139.00,0.00,15565.00,742.00,898639.00,61492.00,10226.00
1972,54635.00,3842.00,50793.00,30967.00,27369.00,3598.00,4258.00,15568.00,17255.00,15568.00,122402.00,115190.00,6982.00,230.00,120715.00,107302.00,13320.00,9252.00,4068.00,93.00,0.00,17255.00,8546.00,34.00,8675.00,8675.00,8675.00,8675.00,0.00,3362.00,7204.00,3842.00,5313.00,5313.00,263535.00,-544.00,1493.00,44839.00,-1304.00,5513.00,11466.00,11753.00,17411.00,135329.00,66206.00,69123.00,30331.00,21086.00,-50.00,0.00,138.00,721.00,51.00,8385.00,34653.00,17435.00,262931.00,104498.00,16699.00,8409.00,7417.00,873.00,23060.00,22589.00,471.00,9925.00,0.00,2652.00,-1461.00,240.00,58.00,0.00,8385.00,51.00,90227.00,18522.00,604.00,699.00,-66.00,5474.00,4709.00,2906.00,2605.00,291.00,11.00,12584.00,0.00,21416.00,111.00,0.00,-8943.00,22477.00,13951.00,4941.00,271.00,0.00,0.00,3314.00,-6987.00,2387.00,2513820.00,55792.00,38791.00,15372.00,1629.00,2458028.00,10410.00,67512.00,590164.00,23367.00,198789.00,46410.00,122126.00,199472.00,993783.00,471978.00,521805.00,276193.00,242838.00,1811.00,0.00,1756.00,5045.00,793.00,23950.00,463574.00,56392.00,2513820.00,2501207.00,961433.00,128288.00,57946.00,35622.00,34720.00,89394.00,88243.00,1151.00,248947.00,0.00,160080.00,58926.00,2730.00,2468.00,0.00,23950.00,793.00,1001291.00,71854.00,12613.00
1973,58470.00,4461.00,54009.00,33737.00,29785.00,3952.00,4551.00,15721.00,19485.00,15721.00,147916.00,139143.00,8337.00,436.00,144152.00,130017.00,13995.00,10694.00,3301.00,140.00,0.00,19485.00,9564.00,323.00,9599.00,9599.00,9599.00,9599.00,0.00,5070.00,9531.00,4461.00,4529.00,4529.00,294459.00,0.00,5847.00,42155.00,7424.00,901.00,13245.00,9331.00,11254.00,163971.00,87679.00,76292.00,24174.00,14116.00,858.00,0.00,366.00,899.00,51.00,7884.00,42881.00,15431.00,285502.00,95745.00,32275.00,19931.00,5392.00,6952.00,26158.00,25858.00,300.00,11236.00,0.00,5568.00,-1128.00,546.00,108.00,707.00,5384.00,51.00,90593.00,29495.00,8957.00,15562.00,-18.00,11152.00,-4428.00,3846.00,3426.00,367.00,54.00,-27481.00,0.00,-46002.00,-504.00,0.00,19025.00,-63687.00,-46713.00,-11163.00,248.00,243.00,0.00,-6302.00,40053.00,65213.00,2769506.00,64691.00,44281.00,18360.00,2050.00,2704815.00,11567.00,73262.00,632319.00,30791.00,199690.00,59655.00,131457.00,210726.00,1157754.00,559657.00,598097.00,253861.00,210952.00,2165.00,0.00,2122.00,5944.00,844.00,31834.00,503173.00,72879.00,2769506.00,2691680.00,1058335.00,160563.00,77877.00,41014.00,41672.00,115552.00,114101.00,1451.00,202794.00,0.00,118935.00,46635.00,3276.00,2820.00,950.00,29334.00,844.00,1063277.00,91159.00,77826.00
1974,66843.00,5398.00,61445.00,37269.00,32988.00,4281.00,4786.00,19390.00,21745.00,19390.00,181096.00,171231.00,9417.00,447.00,178741.00,164036.00,14564.00,11339.00,3225.00,141.00,0.00,21745.00,9936.00,2565.00,9244.00,9244.00,9244.00,9244.00,0.00,6482.00,11880.00,5398.00,2762.00,2762.00,247021.00,85.00,4845.00,48822.00,13220.00,2480.00,11022.00,7038.00,15062.00,138773.00,85651.00,53122.00,18224.00,6730.00,1142.00,0.00,502.00,1130.00,53.00,8667.00,47526.00,-11254.00,247956.00,85758.00,41459.00,21085.00,6927.00,13447.00,19315.00,19186.00,129.00,13898.00,2379.00,2177.00,51.00,742.00,36.00,793.00,7667.00,53.00,97882.00,-10356.00,-936.00,1828.00,-1.00,5526.00,3697.00,9258.00,6596.00,2486.00,176.00,-33375.00,0.00,-54145.00,-784.00,0.00,21554.00,-73768.00,-55212.00,-11534.00,-140.00,-37.00,0.00,-6845.00,49650.00,60722.00,3001874.00,80421.00,53665.00,23996.00,2760.00,2921453.00,11652.00,78088.00,683723.00,46493.00,202170.00,70677.00,138595.00,225788.00,1294847.00,644993.00,649854.00,217156.00,163537.00,2523.00,0.00,2624.00,7074.00,897.00,40501.00,572455.00,63532.00,3001874.00,2863326.00,1144859.00,200957.00,97897.00,47941.00,55119.00,134867.00,133287.00,1580.00,149776.00,2379.00,65900.00,35152.00,4018.00,2723.00,1706.00,37001.00,897.00,1154521.00,78346.00,138548.00
1975,75412.00,6619.00,68793.00,42179.00,36355.00,5824.00,4963.00,21651.00,22013.00,21651.00,201400.00,190813.00,10077.00,510.00,201038.00,185403.00,15481.00,11910.00,3571.00,154.00,0.00,22013.00,9738.00,3560.00,8716.00,8716.00,8716.00,8716.00,0.00,6317.00,12935.00,6619.00,2399.00,2399.00,223998.00,-53.00,9412.00,100827.00,-5493.00,54065.00,12744.00,7737.00,31774.00,38161.00,-1918.00,40079.00,24714.00,9292.00,387.00,0.00,81.00,1423.00,32.00,13499.00,31732.00,19205.00,224201.00,96856.00,18828.00,9395.00,8123.00,1310.00,-16195.00,-16125.00,-70.00,16774.00,1317.00,-1130.00,-358.00,358.00,426.00,630.00,15499.00,32.00,109688.00,-1750.00,-203.00,4090.00,0.00,6692.00,2602.00,3600.00,1877.00,1676.00,47.00,25917.00,0.00,48551.00,485.00,0.00,-23119.00,30999.00,10206.00,8240.00,3.00,-201.00,0.00,12751.00,-1483.00,11323.00,3273120.00,90322.00,58149.00,28673.00,3500.00,3182798.00,11599.00,87420.00,796601.00,52933.00,256353.00,83421.00,146332.00,257562.00,1330324.00,640141.00,690183.00,290906.00,221380.00,3395.00,0.00,2705.00,8497.00,929.00,54000.00,581501.00,84447.00,3273120.00,3123249.00,1241715.00,219785.00,107292.00,56064.00,56429.00,118672.00,117162.00,1510.00,184798.00,3696.00,74976.00,43034.00,4376.00,3152.00,2135.00,52500.00,929.00,1277514.00,80765.00,149871.00
1976,81743.00,7631.00,74112.00,46683.00,40003.00,6680.00,5432.00,21997.00,23689.00,21997.00,207746.00,196461.00,10762.00,523.00,206053.00,188919.00,16943.00,13042.00,3901.00,191.00,0.00,23689.00,11793.00,923.00,10973.00,10973.00,10973.00,10973.00,0.00,6479.00,14109.00,7631.00,4495.00,4495.00,328673.00,-1.00,3230.00,107922.00,5745.00,50421.00,9906.00,13116.00,28734.00,148224.00,68906.00,79318.00,19254.00,7734.00,414.00,305.00,184.00,1802.00,54.00,8761.00,48334.00,1710.00,322237.00,125221.00,27622.00,14642.00,6951.00,6029.00,27759.00,27269.00,490.00,10778.00,-10.00,1921.00,-2522.00,481.00,769.00,424.00,9661.00,54.00,120042.00,10815.00,6436.00,8588.00,-5.00,6651.00,-1942.00,4350.00,3081.00,1217.00,52.00,15425.00,0.00,26475.00,301.00,0.00,-11351.00,30563.00,20578.00,5998.00,23.00,-616.00,0.00,4580.00,-10789.00,8772.00,3602094.00,101121.00,63509.00,33382.00,4230.00,3500973.00,11598.00,90607.00,904523.00,58678.00,306774.00,93327.00,159448.00,286296.00,1475938.00,706402.00,769536.00,336936.00,255589.00,4110.00,305.00,2889.00,10299.00,983.00,62761.00,593277.00,88094.00,3602094.00,3443451.00,1366936.00,247407.00,121934.00,63015.00,62458.00,146431.00,144431.00,2000.00,221559.00,3686.00,97475.00,46510.00,4857.00,3944.00,1943.00,62161.00,983.00,1376930.00,84188.00,158643.00
1977,96868.00,8833.00,88035.00,52163.00,44421.00,7742.00,6363.00,29509.00,26447.00,29509.00,229611.00,216165.00,12961.00,484.00,232673.00,210745.00,21790.00,15740.00,6050.00,138.00,0.00,26447.00,13863.00,-2635.00,15219.00,15219.00,15219.00,15219.00,0.00,6753.00,15586.00,8833.00,8466.00,8466.00,414356.00,120.00,11553.00,101998.00,15721.00,13881.00,16785.00,22979.00,32632.00,223314.00,106768.00,116546.00,22007.00,10427.00,375.00,185.00,406.00,2288.00,46.00,8280.00,40816.00,14548.00,405578.00,151269.00,48124.00,23066.00,12262.00,12796.00,23060.00,23250.00,-190.00,13969.00,201.00,2385.00,662.00,697.00,654.00,144.00,9180.00,46.00,135617.00,33539.00,8778.00,5239.00,-10.00,4936.00,-312.00,6859.00,5549.00,1313.00,-3.00,-9233.00,0.00,-19536.00,-139.00,0.00,10442.00,-13688.00,-6445.00,-1681.00,-54.00,-376.00,0.00,-5132.00,11314.00,31771.00,4015432.00,114691.00,71699.00,38412.00,4580.00,3900741.00,11718.00,102087.00,1006521.00,74399.00,320655.00,110112.00,182427.00,318928.00,1699393.00,813011.00,886382.00,339268.00,246480.00,4346.00,490.00,3295.00,12587.00,1029.00,71041.00,638922.00,102832.00,4015432.00,3825018.00,1518205.00,295411.00,145000.00,75277.00,75134.00,169901.00,168091.00,1810.00,226972.00,3887.00,93415.00,45491.00,5554.00,4544.00,1711.00,71341.00,1029.00,1501804.00,112725.00,190414.00
1978,115084.00,10130.00,104953.00,59304.00,50946.00,8358.00,6850.00,38799.00,35550.00,38799.00,271722.00,255762.00,15207.00,753.00,274971.00,249698.00,25065.00,18890.00,6175.00,208.00,0.00,35550.00,17302.00,-1228.00,19476.00,19476.00,19476.00,19476.00,0.00,10172.00,20302.00,10130.00,9304.00,9304.00,506807.00,65.00,25776.00,107965.00,17080.00,9326.00,20439.00,24732.00,36388.00,273398.00,140856.00,132542.00,23673.00,12922.00,-461.00,780.00,825.00,2003.00,49.00,7555.00,40913.00,35018.00,491941.00,157609.00,57192.00,36673.00,6576.00,13943.00,35203.00,35053.00,150.00,22586.00,6921.00,4352.00,-875.00,1223.00,677.00,370.00,9869.00,49.00,150441.00,68910.00,14866.00,5759.00,0.00,196.00,-5563.00,8608.00,7007.00,1542.00,59.00,8594.00,0.00,22396.00,467.00,0.00,-14269.00,9765.00,4403.00,1434.00,13.00,-108.00,0.00,4023.00,7437.00,32671.00,4546392.00,133438.00,82217.00,46172.00,5049.00,4412954.00,11671.00,127109.00,1115986.00,91479.00,329981.00,130551.00,208659.00,355316.00,1971759.00,952265.00,1019494.00,385637.00,281631.00,4352.00,1270.00,4120.00,14590.00,1078.00,78596.00,662627.00,138165.00,4546392.00,4323307.00,1687971.00,352603.00,181673.00,81853.00,89077.00,205104.00,203144.00,1960.00,255296.00,10808.00,102170.00,46050.00,6777.00,5230.00,1973.00,81210.00,1078.00,1653330.00,169003.00,223085.00
1979,126160.00,12051.00,114109.00,67454.00,57991.00,9463.00,6984.00,39671.00,39125.00,39671.00,330366.00,310584.00,18598.00,1184.00,330912.00,303039.00,27531.00,22438.00,5093.00,342.00,0.00,39125.00,19397.00,1849.00,17880.00,17880.00,17880.00,17880.00,0.00,13964.00,26015.00,12051.00,3916.00,3916.00,532206.00,-151.00,26295.00,125784.00,35508.00,16978.00,25359.00,20520.00,27419.00,297491.00,161507.00,135984.00,32681.00,17819.00,1040.00,1485.00,1029.00,2426.00,67.00,8815.00,39096.00,11011.00,515552.00,147973.00,77720.00,47307.00,3576.00,26837.00,50933.00,50942.00,-9.00,52469.00,34406.00,3246.00,-833.00,1551.00,2288.00,1018.00,10726.00,67.00,157932.00,28525.00,16654.00,13234.00,-36.00,532.00,-12738.00,13466.00,10399.00,2813.00,254.00,17301.00,0.00,24480.00,539.00,0.00,-7718.00,27819.00,12409.00,6572.00,64.00,-297.00,0.00,9071.00,2948.00,34062.00,5123935.00,160779.00,98001.00,56791.00,5987.00,4963156.00,11172.00,154409.00,1240961.00,126987.00,346739.00,155713.00,229035.00,382487.00,2270034.00,1112561.00,1157473.00,449747.00,323930.00,12341.00,2755.00,5149.00,17016.00,1145.00,87411.00,692478.00,144355.00,5123935.00,4866788.00,1834477.00,431643.00,230300.00,85429.00,115914.00,256037.00,254086.00,1951.00,326506.00,45214.00,117825.00,51789.00,8328.00,7575.00,2694.00,91936.00,1145.00,1825219.00,192906.00,257147.00
1980,140616.00,14589.00,126027.00,77815.00,66788.00,11027.00,7851.00,40362.00,32986.00,40362.00,407005.00,384212.00,21611.00,1182.00,414380.00,384763.00,29277.00,24282.00,4995.00,340.00,0.00,32986.00,18987.00,2469.00,11529.00,11529.00,11529.00,11529.00,0.00,17118.00,31707.00,14589.00,-5589.00,-5589.00,555886.00,-12.00,19099.00,167083.00,18827.00,49631.00,33618.00,23588.00,41419.00,208016.00,110344.00,97672.00,51132.00,21933.00,2319.00,2301.00,11.00,2938.00,58.00,21572.00,81804.00,28765.00,528741.00,125176.00,64102.00,43585.00,7592.00,12925.00,49283.00,49324.00,-41.00,59384.00,31201.00,1549.00,2002.00,682.00,2764.00,572.00,20556.00,58.00,221900.00,8896.00,27145.00,30452.00,-20.00,-2263.00,-32734.00,14705.00,10818.00,3645.00,242.00,25919.00,-633.00,57595.00,2168.00,0.00,-33211.00,32632.00,10288.00,10194.00,1688.00,-1043.00,0.00,11505.00,7992.00,49973.00,5732126.00,192529.00,116189.00,69402.00,6938.00,5539597.00,11160.00,172893.00,1407158.00,145354.00,396289.00,189331.00,252551.00,423633.00,2476988.00,1221456.00,1255532.00,570576.00,409868.00,16828.00,5056.00,5160.00,19954.00,1203.00,112507.00,725295.00,175527.00,5732126.00,5425006.00,1964151.00,495745.00,273885.00,93021.00,128839.00,305320.00,303410.00,1910.00,416651.00,76415.00,129662.00,70395.00,9010.00,12027.00,1923.00,116016.00,1203.00,2042849.00,200290.00,307120.00
1981,164480.00,17414.00,147066.00,87540.00,75282.00,12258.00,9225.00,50301.00,26390.00,50301.00,526035.00,501875.00,23196.00,964.00,549946.00,512200.00,37457.00,29005.00,8452.00,289.00,0.00,26390.00,18345.00,3717.00,4328.00,4328.00,4328.00,4328.00,0.00,20219.00,37633.00,17414.00,-15892.00,-15892.00,625597.00,-9.00,42703.00,198798.00,53476.00,72256.00,34758.00,13395.00,24913.00,254314.00,176595.00,77719.00,50035.00,27141.00,-1291.00,8223.00,667.00,3554.00,75.00,11666.00,59424.00,20333.00,640796.00,123751.00,84873.00,45532.00,6661.00,32680.00,93177.00,93157.00,20.00,127838.00,109890.00,3310.00,3457.00,1381.00,3037.00,64.00,6624.00,75.00,199094.00,12063.00,-15199.00,6754.00,0.00,6061.00,-693.00,12628.00,8532.00,3735.00,360.00,-21739.00,-1567.00,-34809.00,-967.00,0.00,15604.00,-6800.00,7144.00,-5018.00,-317.00,-49.00,0.00,-8560.00,-2312.00,8770.00,6371775.00,225325.00,135130.00,82244.00,7951.00,6146450.00,11151.00,213790.00,1604389.00,198830.00,468581.00,224089.00,265039.00,447850.00,2730752.00,1396951.00,1333801.00,594835.00,402200.00,14570.00,13279.00,5827.00,23508.00,1278.00,134173.00,800838.00,190695.00,6371775.00,6055885.00,2079938.00,579818.00,319417.00,98882.00,161519.00,395997.00,394067.00,1930.00,556249.00,186305.00,140116.00,68834.00,10391.00,14747.00,1938.00,132640.00,1278.00,2233898.00,209985.00,315890.00
1982,179399.00,20523.00,158875.00,98796.00,84318.00,14478.00,9102.00,50978.00,26561.00,50978.00,606751.00,582438.00,23491.00,823.00,631168.00,595424.00,36066.00,30765.00,5301.00,-322.00,0.00,26561.00,17736.00,8585.00,241.00,241.00,241.00,241.00,0.00,20899.00,41422.00,20523.00,-20659.00,-20659.00,616596.00,-3.00,27542.00,255944.00,7630.00,121863.00,68612.00,20521.00,37318.00,183226.00,115030.00,68196.00,77662.00,41544.00,4888.00,906.00,442.00,2226.00,81.00,27575.00,33717.00,38508.00,648334.00,207898.00,89188.00,64475.00,14785.00,9928.00,42224.00,42111.00,113.00,78980.00,33623.00,4674.00,9488.00,858.00,3271.00,487.00,26498.00,81.00,221752.00,8292.00,-31738.00,-26950.00,-22.00,-15849.00,11080.00,8764.00,6347.00,2261.00,156.00,29467.00,4242.00,64099.00,715.00,263.00,-39852.00,40479.00,13984.00,10031.00,-285.00,106.00,0.00,16643.00,-2248.00,-28958.00,6995731.00,254939.00,152892.00,92724.00,9323.00,6740792.00,11148.00,241447.00,1866788.00,212566.00,591020.00,289403.00,286705.00,487094.00,2862137.00,1470596.00,1391541.00,740137.00,507843.00,20173.00,14185.00,6269.00,25997.00,1359.00,164311.00,798453.00,220682.00,6995731.00,6708799.00,2269602.00,671734.00,383892.00,113667.00,174175.00,438221.00,436178.00,2043.00,661828.00,219928.00,158774.00,88353.00,11249.00,17933.00,2531.00,161701.00,1359.00,2476046.00,191368.00,286932.00
1983,206138.00,23333.00,182806.00,110836.00,94984.00,15852.00,10289.00,61681.00,37495.00,61681.00,630727.00,603233.00,25887.00,1606.00,654913.00,613316.00,41729.00,33957.00,7772.00,-133.00,0.00,37495.00,18927.00,9619.00,8951.00,8951.00,8951.00,8951.00,0.00,22756.00,46089.00,23333.00,-13806.00,-13806.00,764322.00,-27.00,-7602.00,246456.00,21908.00,106850.00,65586.00,14851.00,37261.00,301084.00,127038.00,174046.00,85328.00,50305.00,1100.00,4185.00,126.00,2939.00,106.00,26567.00,88941.00,50142.00,745414.00,225466.00,106388.00,67695.00,17405.00,21288.00,31185.00,31160.00,25.00,14525.00,-40461.00,3472.00,25029.00,204.00,1313.00,332.00,24530.00,106.00,272999.00,94851.00,18908.00,42046.00,-29.00,9361.00,-32714.00,3017.00,4729.00,-1623.00,-88.00,41874.00,-741.00,99690.00,3159.00,-1020.00,-59214.00,76432.00,37369.00,13591.00,393.00,218.00,0.00,24861.00,-31541.00,19455.00,7819687.00,280678.00,167438.00,102488.00,10752.00,7539009.00,11121.00,233422.00,2112503.00,234474.00,697596.00,354956.00,301369.00,524108.00,3165860.00,1600634.00,1565226.00,927294.00,657838.00,24432.00,18370.00,6395.00,27916.00,1465.00,190878.00,818119.00,270690.00,7819687.00,7513300.00,2495068.00,778359.00,451587.00,131309.00,195463.00,469406.00,467338.00,2068.00,727915.00,179467.00,199615.00,126973.00,11453.00,19630.00,3081.00,186231.00,1465.00,2763846.00,278706.00,306387.00
1984,230521.00,26436.00,204085.00,121405.00,104290.00,17115.00,11662.00,71018.00,38992.00,71018.00,689103.00,658103.00,28842.00,2158.00,721129.00,671544.00,49348.00,40153.00,9195.00,237.00,0.00,38992.00,21591.00,16056.00,1346.00,1346.00,1346.00,1346.00,0.00,30022.00,56458.00,26436.00,-28676.00,-28676.00,942517.00,-25.00,19950.00,319791.00,53158.00,109247.00,54902.00,25889.00,76595.00,473645.00,268473.00,205172.00,47168.00,5103.00,2865.00,4804.00,805.00,2545.00,161.00,30885.00,37285.00,44703.00,960958.00,300557.00,135344.00,74977.00,36340.00,24027.00,115654.00,115243.00,411.00,122706.00,54087.00,6164.00,25127.00,887.00,4894.00,-13.00,31399.00,161.00,223327.00,63370.00,-18441.00,63717.00,0.00,53482.00,-10235.00,5240.00,6683.00,-1417.00,-27.00,19167.00,1510.00,11408.00,-171.00,-833.00,7253.00,22473.00,4112.00,1237.00,152.00,0.00,0.00,16972.00,1934.00,66996.00,8898924.00,315969.00,187364.00,116132.00,12473.00,8582955.00,11096.00,252703.00,2447816.00,287632.00,807346.00,410059.00,327883.00,614896.00,3648172.00,1865809.00,1782363.00,984935.00,674349.00,27126.00,23174.00,7200.00,29697.00,1626.00,221763.00,903983.00,334250.00,8898924.00,8525541.00,2795625.00,922336.00,526197.00,176649.00,219490.00,585060.00,582581.00,2479.00,856326.00,233554.00,209891.00,153337.00,12340.00,24880.00,3068.00,217630.00,1626.00,3045470.00,320724.00,373383.00
1985,257387.00,30266.00,227122.00,135507.00,116918.00,18589.00,13516.00,78098.00,49484.00,78098.00,755239.00,721504.00,31568.00,2167.00,783854.00,729408.00,54495.00,45271.00,9224.00,-50.00,0.00,49484.00,28323.00,15632.00,5528.00,5528.00,5528.00,5528.00,0.00,34785.00,65050.00,30266.00,-29257.00,-29257.00,1092001.00,-6.00,24484.00,418468.00,52250.00,136850.00,73532.00,99491.00,56345.00,482288.00,248402.00,233886.00,106078.00,52761.00,3844.00,8397.00,1113.00,503.00,155.00,39305.00,-4241.00,64931.00,1093725.00,265224.00,187946.00,99462.00,56459.00,32025.00,113505.00,113450.00,55.00,148819.00,10249.00,10452.00,81934.00,801.00,1573.00,122.00,43533.00,155.00,278380.00,99851.00,-1724.00,35830.00,-6.00,8303.00,-27533.00,4958.00,5659.00,-446.00,-256.00,110949.00,6205.00,179632.00,-19.00,483.00,-75352.00,186112.00,88771.00,37694.00,1946.00,671.00,0.00,57030.00,-70206.00,-28848.00,10358926.00,355750.00,210888.00,130755.00,14107.00,10003176.00,11090.00,278671.00,2867482.00,339882.00,945631.00,479619.00,428848.00,673502.00,4246683.00,2222822.00,2023861.00,1283763.00,906742.00,42724.00,31571.00,8313.00,30683.00,1781.00,261949.00,924224.00,391263.00,10358926.00,10014391.00,3170299.00,1111163.00,625659.00,233108.00,252396.00,698568.00,696034.00,2534.00,1135108.00,243803.00,309114.00,272965.00,13141.00,28399.00,3861.00,262044.00,1781.00,3492488.00,406765.00,344535.00
1986,269906.00,34527.00,235379.00,155589.00,134137.00,21452.00,16037.00,63753.00,43688.00,63753.00,791448.00,756648.00,33007.00,1793.00,811513.00,753549.00,58025.00,48449.00,9576.00,-61.00,0.00,43688.00,33437.00,2559.00,7693.00,7693.00,7693.00,7693.00,0.00,36623.00,71150.00,34527.00,-28930.00,-28930.00,1326425.00,-26.00,44013.00,540052.00,26811.00,149858.00,173380.00,41537.00,148466.00,528175.00,244245.00,283930.00,87230.00,35761.00,11789.00,5758.00,1172.00,34.00,93.00,32623.00,55271.00,71710.00,1311295.00,285099.00,295428.00,178942.00,92250.00,24236.00,139662.00,139406.00,256.00,248921.00,48349.00,14707.00,145640.00,531.00,2436.00,1195.00,35970.00,93.00,318966.00,23219.00,15130.00,37489.00,0.00,-6571.00,-44059.00,9579.00,8375.00,1441.00,-237.00,41519.00,4814.00,61136.00,4435.00,4480.00,-33346.00,83063.00,45144.00,31762.00,-306.00,489.00,0.00,5974.00,-31965.00,13217.00,11796740.00,402028.00,236300.00,149805.00,15923.00,11394712.00,11064.00,324672.00,3412348.00,366693.00,1096473.00,653543.00,472197.00,823442.00,4774858.00,2467067.00,2307791.00,1441044.00,1003639.00,58948.00,37329.00,9485.00,35197.00,1874.00,294572.00,982881.00,447845.00,11796740.00,11438988.00,3451206.00,1414591.00,804601.00,325358.00,284632.00,838230.00,835440.00,2790.00,1453118.00,292152.00,368965.00,450367.00,13672.00,22529.00,5545.00,298014.00,1874.00,3854160.00,427683.00,357752.00
