1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q1,25008205.00,9601705.00,15406500.00,3473837.00,1342307.00,182283.00,2582804.00,2054436.00,528368.00,48982.00,265048.00,89.00,16474.00,197775.00,7825270.00,3480742.00,21527463.00,10.33,16.76
1990:Q2,25314535.00,9664082.00,15650453.00,3460295.00,1387238.00,186507.00,2690800.00,2127841.00,562959.00,56069.00,273297.00,123.00,17416.00,216054.00,7925613.00,3554538.00,21759998.00,10.63,17.19
1990:Q3,25149123.00,9736619.00,15412504.00,3492292.00,1450244.00,192217.00,2248452.00,1762010.00,486443.00,48281.00,247424.00,142.00,14793.00,175803.00,8029299.00,3627712.00,21521411.00,8.94,14.59
1990:Q4,25664546.00,9746913.00,15917633.00,3526710.00,1535570.00,204085.00,2517624.00,1981360.00,536264.00,52855.00,273630.00,340.00,15975.00,193464.00,8133643.00,3692159.00,21972386.00,9.81,15.82
1991:Q1,26301588.00,9815784.00,16485804.00,3608001.00,1518891.00,203722.00,2907604.00,2319065.00,588539.00,46642.00,314482.00,449.00,18123.00,208843.00,8247587.00,3704249.00,22597339.00,11.05,17.64
1991:Q2,26389837.00,9866588.00,16523249.00,3528081.00,1566446.00,203332.00,2881074.00,2287419.00,593655.00,49337.00,313213.00,474.00,18088.00,212543.00,8344316.00,3775069.00,22614768.00,10.92,17.44
1991:Q3,26690523.00,9898910.00,16791613.00,3502057.00,1572751.00,215491.00,3074129.00,2428254.00,645875.00,53795.00,335496.00,751.00,19196.00,236637.00,8427185.00,3826321.00,22864203.00,11.52,18.31
1991:Q4,27347360.00,9957796.00,17389564.00,3517887.00,1563743.00,236591.00,3527700.00,2822437.00,705263.00,61203.00,368215.00,1045.00,20666.00,254134.00,8543642.00,3904177.00,23443183.00,12.90,20.29
1992:Q1,27428617.00,10056619.00,17371998.00,3412601.00,1627158.00,218125.00,3470135.00,2727671.00,742464.00,64689.00,365665.00,1385.00,20182.00,290543.00,8643979.00,3918367.00,23510250.00,12.65,19.98
1992:Q2,27561256.00,10099621.00,17461635.00,3400049.00,1611630.00,225013.00,3458417.00,2688502.00,769915.00,66452.00,381740.00,1696.00,20443.00,299584.00,8766526.00,3967192.00,23594064.00,12.55,19.81
1992:Q3,27904538.00,10188309.00,17716229.00,3347229.00,1629758.00,223370.00,3581875.00,2772559.00,809316.00,69498.00,400954.00,2001.00,20977.00,315886.00,8933997.00,4031401.00,23873138.00,12.84,20.22
1992:Q4,28582386.00,10274255.00,18308131.00,3360722.00,1669828.00,219884.00,4000989.00,3112850.00,888139.00,78771.00,429031.00,2415.00,22313.00,355609.00,9056709.00,4111764.00,24470622.00,14.00,21.85
1993:Q1,28929419.00,10296827.00,18632592.00,3303366.00,1697266.00,233392.00,4163640.00,3198127.00,965513.00,85561.00,469076.00,2929.00,23328.00,384619.00,9234928.00,4120465.00,24808954.00,14.39,22.35
1993:Q2,29264064.00,10410658.00,18853406.00,3291414.00,1693000.00,242792.00,4245275.00,3208966.00,1036309.00,91989.00,491359.00,3293.00,23701.00,425967.00,9380926.00,4191389.00,25072674.00,14.51,22.52
