1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,8811.00,2004.00,4231.00,1545.00,860.00,371.00,245.00,147.00,2.00,-9.00,32.00,-181.00,169.00,47.00,4.00,0.00,-4.00,-12.00,-1.00,-68.00,-200.00
1960:Q1,-5474.00,-7519.00,839.00,111.00,567.00,338.00,-88.00,169.00,1.00,-1.00,34.00,-108.00,414.00,37.00,-5.00,0.00,-7.00,-8.00,-4.00,-95.00,190.00
1960:Q2,3044.00,73.00,3209.00,-599.00,817.00,-376.00,12.00,-176.00,2.00,2.00,33.00,-35.00,220.00,12.00,12.00,0.00,-347.00,-8.00,-5.00,-98.00,-79.00
1960:Q3,-5891.00,-2657.00,-298.00,76.00,-1475.00,-282.00,5.00,6.00,2.00,5.00,26.00,23.00,-66.00,-15.00,-9.00,0.00,-149.00,-8.00,-6.00,-96.00,-1255.00
1960:Q4,8165.00,1262.00,5969.00,989.00,1129.00,-619.00,63.00,-357.00,3.00,4.00,26.00,74.00,-379.00,38.00,6.00,0.00,15.00,-8.00,-6.00,-98.00,-566.00
1961:Q1,-905.00,-1064.00,148.00,-152.00,872.00,331.00,-66.00,199.00,4.00,6.00,27.00,39.00,-81.00,30.00,-5.00,0.00,303.00,-9.00,-8.00,-108.00,-1040.00
1961:Q2,-2758.00,-2272.00,-488.00,1.00,565.00,-620.00,5.00,-454.00,4.00,9.00,27.00,7.00,89.00,2.00,17.00,0.00,-201.00,-9.00,-8.00,-107.00,56.00
1961:Q3,-2828.00,-1206.00,373.00,-47.00,-1687.00,136.00,10.00,-44.00,0.00,9.00,24.00,-10.00,171.00,-11.00,-2.00,0.00,113.00,-9.00,-9.00,-107.00,-396.00
1961:Q4,8579.00,1652.00,5435.00,1777.00,910.00,-1064.00,44.00,-317.00,1.00,8.00,22.00,-98.00,-60.00,11.00,7.00,0.00,-553.00,-10.00,-10.00,-109.00,-132.00
1962:Q1,-2305.00,-3657.00,-61.00,515.00,786.00,442.00,-78.00,541.00,-2.00,3.00,14.00,-133.00,157.00,18.00,-14.00,0.00,60.00,-9.00,-10.00,-106.00,-330.00
1962:Q2,1249.00,-161.00,2136.00,-1618.00,1048.00,45.00,2.00,-111.00,-1.00,1.00,12.00,-290.00,63.00,-8.00,32.00,0.00,475.00,-9.00,-9.00,-112.00,-200.00
1962:Q3,-3219.00,-991.00,1458.00,-540.00,-2197.00,421.00,3.00,296.00,3.00,1.00,6.00,-278.00,16.00,16.00,-39.00,0.00,529.00,-9.00,-9.00,-115.00,-1371.00
1962:Q4,8224.00,2788.00,3836.00,1475.00,1458.00,-810.00,63.00,-452.00,1.00,2.00,5.00,-187.00,-230.00,53.00,-2.00,0.00,62.00,-8.00,-7.00,-111.00,-523.00
1963:Q1,282.00,-2581.00,1410.00,876.00,370.00,338.00,-82.00,436.00,5.00,1.00,3.00,-65.00,185.00,22.00,-11.00,0.00,-30.00,-9.00,-9.00,-108.00,-131.00
1963:Q2,852.00,-443.00,1691.00,-1385.00,1029.00,464.00,4.00,-217.00,4.00,1.00,-4.00,111.00,199.00,11.00,-12.00,0.00,502.00,-10.00,-11.00,-117.00,-504.00
1963:Q3,-3713.00,-1325.00,1615.00,-1021.00,-2681.00,874.00,-4.00,622.00,4.00,2.00,-4.00,185.00,-86.00,8.00,-10.00,0.00,298.00,-11.00,-11.00,-121.00,-1175.00
1963:Q4,9792.00,119.00,6440.00,2091.00,1572.00,-367.00,71.00,-68.00,1.00,3.00,-4.00,11.00,-152.00,-16.00,-7.00,0.00,-59.00,-10.00,-12.00,-126.00,-63.00
1964:Q1,-4250.00,-4631.00,1021.00,-363.00,885.00,-596.00,-231.00,216.00,2.00,-2.00,-15.00,-32.00,128.00,-51.00,-22.00,0.00,-435.00,-12.00,-18.00,-125.00,-566.00
1964:Q2,340.00,-1207.00,3110.00,-1697.00,609.00,129.00,-131.00,-374.00,1.00,-3.00,-13.00,30.00,155.00,-69.00,10.00,0.00,686.00,-14.00,-19.00,-131.00,-603.00
1964:Q3,-8578.00,-5246.00,1497.00,-997.00,-2253.00,-166.00,-129.00,438.00,-11.00,2.00,-13.00,60.00,-7.00,-70.00,-13.00,0.00,-252.00,-16.00,-20.00,-136.00,-1415.00
1964:Q4,13848.00,1679.00,9084.00,1949.00,1303.00,155.00,479.00,-341.00,135.00,-2.00,-11.00,97.00,-345.00,-83.00,-7.00,0.00,405.00,-15.00,-21.00,-138.00,-323.00
1965:Q1,-1730.00,-4809.00,2399.00,151.00,2.00,513.00,-114.00,1009.00,-94.00,-4.00,-12.00,13.00,63.00,-22.00,-19.00,0.00,-116.00,-22.00,-28.00,-144.00,15.00
1965:Q2,701.00,-1385.00,3214.00,-1166.00,793.00,-370.00,-5.00,-338.00,34.00,-7.00,-11.00,-74.00,354.00,-31.00,29.00,0.00,-114.00,-22.00,-31.00,-155.00,-385.00
1965:Q3,-8483.00,-6302.00,2210.00,-847.00,-3111.00,373.00,-3.00,838.00,8.00,-5.00,-13.00,78.00,-118.00,-45.00,-29.00,0.00,-123.00,-23.00,-32.00,-161.00,-807.00
1965:Q4,4857.00,1399.00,1850.00,1503.00,966.00,-505.00,104.00,59.00,20.00,-7.00,-9.00,218.00,-479.00,-47.00,-9.00,0.00,-125.00,-23.00,-34.00,-174.00,-356.00
1966:Q1,-7500.00,-9411.00,954.00,639.00,-65.00,251.00,-132.00,745.00,-21.00,4.00,-9.00,386.00,-383.00,49.00,-19.00,0.00,-163.00,-23.00,-20.00,-164.00,131.00
1966:Q2,-1547.00,-3860.00,3013.00,-2584.00,1368.00,179.00,-16.00,-53.00,41.00,9.00,-6.00,-45.00,527.00,46.00,32.00,0.00,-148.00,-22.00,-18.00,-167.00,337.00
1966:Q3,-9854.00,-8132.00,3098.00,-1671.00,-2797.00,699.00,-14.00,692.00,-42.00,9.00,-12.00,-78.00,491.00,24.00,-22.00,0.00,-140.00,-22.00,-17.00,-170.00,-1051.00
1966:Q4,9844.00,1608.00,6932.00,1486.00,1158.00,-1063.00,141.00,-304.00,-17.00,6.00,-6.00,-81.00,-518.00,21.00,9.00,0.00,-108.00,-22.00,-19.00,-167.00,-277.00
1967:Q1,-9425.00,-9241.00,1239.00,-833.00,295.00,-623.00,-167.00,328.00,-57.00,10.00,-2.00,200.00,-615.00,78.00,-14.00,0.00,-172.00,-26.00,-28.00,-160.00,-264.00
1967:Q2,344.00,-1195.00,2525.00,-1383.00,216.00,-251.00,1.00,46.00,30.00,11.00,1.00,11.00,-40.00,41.00,30.00,0.00,-171.00,-25.00,-33.00,-153.00,432.00
1967:Q3,-9677.00,-7454.00,658.00,370.00,-2253.00,188.00,-7.00,337.00,20.00,14.00,-3.00,172.00,25.00,45.00,-29.00,0.00,-172.00,-25.00,-38.00,-149.00,-1186.00
1967:Q4,9651.00,11857.00,4673.00,1140.00,1345.00,-8889.00,150.00,-9000.00,72.00,12.00,1.00,104.00,118.00,55.00,-7.00,0.00,-175.00,-26.00,-41.00,-152.00,-475.00
1968:Q1,-8158.00,-18947.00,2378.00,991.00,19.00,7605.00,-215.00,8170.00,-29.00,6.00,-6.00,81.00,114.00,49.00,-31.00,0.00,-290.00,-21.00,-47.00,-175.00,-205.00
