1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,5156.00,-80.00,2912.00,1012.00,324.00,932.00,0.00,56.00,7812.00,0.00,6432.00,944.00,-40.00,360.00,140.00,0.00,-24.00,-2656.00
1960:Q4,-684.00,160.00,-1892.00,-3460.00,1124.00,940.00,0.00,2444.00,-176.00,0.00,1728.00,-2768.00,116.00,408.00,108.00,0.00,232.00,-508.00
1961:Q1,7112.00,0.00,2808.00,3972.00,340.00,992.00,40.00,-1040.00,7015.00,0.00,1951.00,4708.00,8.00,-12.00,80.00,0.00,280.00,97.00
1961:Q2,6052.00,400.00,6324.00,-1444.00,-932.00,972.00,0.00,732.00,11067.00,0.00,11967.00,-1240.00,-172.00,328.00,60.00,0.00,124.00,-5015.00
1961:Q3,8304.00,120.00,6140.00,-160.00,616.00,980.00,0.00,608.00,10423.00,0.00,8691.00,936.00,196.00,480.00,48.00,0.00,72.00,-2119.00
1961:Q4,3872.00,240.00,5732.00,-4272.00,1012.00,1036.00,0.00,124.00,7015.00,0.00,8959.00,-3004.00,-88.00,432.00,48.00,0.00,668.00,-3143.00
1962:Q1,9828.00,200.00,5572.00,2800.00,-832.00,1032.00,40.00,1016.00,7017.00,0.00,3481.00,3280.00,16.00,32.00,168.00,0.00,40.00,2811.00
1962:Q2,2996.00,120.00,2896.00,-1088.00,220.00,1032.00,0.00,-184.00,3353.00,0.00,6009.00,-2624.00,164.00,232.00,232.00,0.00,-660.00,-357.00
1962:Q3,13048.00,80.00,9616.00,700.00,676.00,1056.00,40.00,880.00,11029.00,0.00,9281.00,340.00,260.00,716.00,240.00,0.00,192.00,2019.00
1962:Q4,-6068.00,120.00,-6240.00,-2864.00,1668.00,1068.00,0.00,180.00,-2031.00,0.00,-695.00,-2764.00,476.00,312.00,192.00,0.00,448.00,-4037.00
1963:Q1,12420.00,200.00,9716.00,1980.00,-348.00,1108.00,20.00,-256.00,10513.00,0.00,6337.00,2748.00,1148.00,140.00,152.00,0.00,-12.00,1907.00
1963:Q2,3764.00,320.00,6480.00,-1840.00,-824.00,1116.00,0.00,-1488.00,7829.00,0.00,7981.00,-1788.00,1012.00,284.00,124.00,0.00,216.00,-4065.00
1963:Q3,9596.00,360.00,8568.00,-1372.00,668.00,1160.00,20.00,192.00,6373.00,0.00,5341.00,-20.00,-180.00,600.00,116.00,0.00,516.00,3223.00
1963:Q4,3980.00,360.00,4808.00,-4328.00,1824.00,1184.00,0.00,132.00,4389.00,0.00,5573.00,-2944.00,-40.00,832.00,132.00,0.00,836.00,-409.00
1964:Q1,4272.00,520.00,436.00,2088.00,-452.00,1204.00,40.00,436.00,6149.00,0.00,2929.00,2452.00,252.00,-268.00,144.00,0.00,640.00,-1877.00
1964:Q2,6592.00,200.00,6516.00,-80.00,-1416.00,1248.00,0.00,124.00,8209.00,0.00,8117.00,-480.00,80.00,436.00,152.00,0.00,-96.00,-1617.00
1964:Q3,13788.00,200.00,10648.00,-36.00,696.00,1264.00,40.00,976.00,16121.00,0.00,13853.00,828.00,408.00,816.00,156.00,0.00,60.00,-2333.00
1964:Q4,10520.00,120.00,10312.00,-4196.00,1552.00,1276.00,0.00,1456.00,9493.00,0.00,9269.00,-2220.00,236.00,1144.00,156.00,0.00,908.00,1027.00
1965:Q1,16516.00,280.00,13256.00,2328.00,28.00,1300.00,40.00,-716.00,12105.00,0.00,9233.00,2084.00,144.00,252.00,156.00,0.00,236.00,4411.00
1965:Q2,11840.00,440.00,10288.00,-532.00,192.00,1352.00,0.00,100.00,14913.00,0.00,14225.00,-1444.00,512.00,668.00,152.00,0.00,800.00,-3073.00
1965:Q3,14284.00,440.00,11128.00,404.00,1036.00,1420.00,40.00,-184.00,16817.00,0.00,14069.00,884.00,792.00,884.00,164.00,0.00,24.00,-2533.00
