1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,11422.00,0.00,-1728.00,6359.00,0.00,208.00,1137.00,-25.00,-1037.00,133.00,-170.00,-1458.00,322.00,0.00,1032.00,5858.00,999.00,22724.00,7072.00,3916.00,11125.00,-198.00,810.00,14753.00,2455.00,2649.00,9649.00,7972.00,4616.00,1267.00,1477.00,-198.00,810.00,3826.00,2461.00,1458.00,-1397.00,-175.00,1479.00,605.00,16172.00,1477.00,-120.00,1004.00,15819.00,12163.00,3657.00,102937.00,15.71,15.37,11.82,3.55
1962:Q2,10353.00,0.00,-2147.00,6876.00,0.00,-234.00,27.00,-157.00,-85.00,-19.00,1491.00,-2175.00,284.00,0.00,988.00,5759.00,-489.00,22900.00,7275.00,4042.00,11439.00,-201.00,345.00,14876.00,2481.00,2668.00,9727.00,8024.00,4794.00,1374.00,1712.00,-201.00,345.00,9266.00,3749.00,1884.00,3397.00,-163.00,399.00,682.00,9793.00,1712.00,377.00,1288.00,8992.00,8830.00,161.00,101070.00,9.69,8.90,8.74,0.16
1962:Q3,14773.00,0.00,1848.00,5343.00,0.00,1311.00,1728.00,-124.00,468.00,-761.00,542.00,-1318.00,56.00,0.00,912.00,5809.00,270.00,23113.00,7253.00,4113.00,11560.00,-205.00,392.00,15022.00,2507.00,2687.00,9828.00,8092.00,4746.00,1426.00,1733.00,-205.00,392.00,8136.00,4108.00,1707.00,1191.00,521.00,609.00,662.00,15391.00,1733.00,-138.00,-559.00,13237.00,12246.00,991.00,105514.00,14.59,12.55,11.61,0.94
1962:Q4,13493.00,0.00,1590.00,7405.00,0.00,-916.00,-1118.00,-51.00,235.00,18.00,370.00,-1612.00,210.00,0.00,835.00,6096.00,-485.00,23395.00,7223.00,4105.00,12022.00,-209.00,255.00,15187.00,2534.00,2705.00,9949.00,8208.00,4689.00,1400.00,2073.00,-209.00,255.00,8383.00,3962.00,1560.00,2718.00,425.00,-282.00,690.00,14007.00,2073.00,-81.00,-1676.00,10339.00,13127.00,-2788.00,108012.00,12.97,9.57,12.15,-2.58
1963:Q1,11198.00,0.00,1181.00,6937.00,0.00,-3354.00,-3151.00,-226.00,-422.00,445.00,-631.00,-1231.00,204.00,0.00,957.00,6214.00,921.00,24270.00,7479.00,4086.00,12190.00,-213.00,729.00,15345.00,2548.00,2737.00,10060.00,8925.00,4931.00,1349.00,2130.00,-213.00,729.00,5307.00,3045.00,1548.00,-409.00,267.00,856.00,699.00,15515.00,2130.00,-117.00,1218.00,14720.00,12140.00,2581.00,107990.00,14.37,13.63,11.24,2.39
1963:Q2,12760.00,0.00,-1304.00,7265.00,0.00,-302.00,-3.00,-9.00,-23.00,-267.00,1537.00,-1933.00,141.00,0.00,1023.00,6518.00,-185.00,24775.00,7983.00,4244.00,12489.00,-218.00,278.00,15506.00,2578.00,2758.00,10170.00,9269.00,5405.00,1486.00,2319.00,-218.00,278.00,11878.00,4449.00,2150.00,3282.00,956.00,1041.00,727.00,10878.00,2319.00,429.00,1443.00,9573.00,9130.00,443.00,106072.00,10.26,9.02,8.61,0.42
1963:Q3,15060.00,0.00,2667.00,4716.00,0.00,386.00,1412.00,0.00,-514.00,-512.00,186.00,-1465.00,371.00,0.00,1095.00,6835.00,269.00,25032.00,8039.00,4348.00,12679.00,-223.00,190.00,15709.00,2610.00,2783.00,10317.00,9323.00,5429.00,1565.00,2362.00,-223.00,190.00,9135.00,4861.00,1919.00,2145.00,630.00,-421.00,760.00,16008.00,2362.00,-110.00,-680.00,13076.00,11750.00,1325.00,110537.00,14.48,11.83,10.63,1.20
1963:Q4,17139.00,0.00,1991.00,7190.00,0.00,2148.00,916.00,0.00,966.00,266.00,386.00,-2578.00,255.00,0.00,1162.00,7090.00,-505.00,25858.00,8345.00,4436.00,12920.00,-229.00,387.00,15919.00,2644.00,2811.00,10464.00,9940.00,5701.00,1625.00,2456.00,-229.00,387.00,9924.00,4444.00,1667.00,3508.00,341.00,-36.00,700.00,17855.00,2456.00,-64.00,-1915.00,13548.00,13667.00,-119.00,113689.00,15.71,11.92,12.02,-0.10
1964:Q1,14489.00,0.00,-2712.00,5809.00,0.00,1546.00,1347.00,0.00,381.00,-182.00,1058.00,-600.00,26.00,0.00,1084.00,7355.00,923.00,26622.00,8772.00,4505.00,13429.00,-236.00,152.00,16137.00,2682.00,2843.00,10613.00,10484.00,6090.00,1662.00,2817.00,-236.00,152.00,6326.00,3670.00,1364.00,171.00,36.00,1085.00,738.00,19385.00,2817.00,-111.00,1305.00,17985.00,13354.00,4631.00,115826.00,16.74,15.53,11.53,4.00
1964:Q2,15296.00,0.00,564.00,7243.00,0.00,443.00,258.00,0.00,637.00,-452.00,-808.00,-1359.00,315.00,0.00,1087.00,7608.00,203.00,26599.00,8464.00,4593.00,13772.00,-240.00,10.00,16377.00,2722.00,2879.00,10777.00,10221.00,5742.00,1714.00,2996.00,-240.00,10.00,12447.00,4592.00,2220.00,3771.00,180.00,1684.00,837.00,13907.00,2996.00,407.00,1500.00,12004.00,10798.00,1207.00,115342.00,12.06,10.41,9.36,1.05
1964:Q3,20946.00,0.00,4637.00,5579.00,0.00,1132.00,-13.00,0.00,1026.00,119.00,1292.00,-1564.00,256.00,0.00,1107.00,7923.00,584.00,26930.00,8355.00,4691.00,14212.00,-244.00,-85.00,16611.00,2766.00,2917.00,10929.00,10319.00,5590.00,1775.00,3283.00,-244.00,-85.00,8878.00,4708.00,2021.00,2330.00,31.00,-212.00,857.00,23244.00,3283.00,-79.00,-720.00,19320.00,14074.00,5246.00,120937.00,19.22,15.98,11.64,4.34
1964:Q4,18321.00,0.00,3936.00,7474.00,0.00,710.00,-913.00,245.00,716.00,662.00,77.00,-3446.00,347.00,0.00,1138.00,8230.00,-145.00,26714.00,8393.00,4755.00,13749.00,-246.00,63.00,16861.00,2813.00,2959.00,11089.00,9853.00,5581.00,1796.00,2660.00,-246.00,63.00,9532.00,4259.00,1708.00,3210.00,16.00,339.00,873.00,19515.00,2660.00,-90.00,-2008.00,14937.00,16617.00,-1679.00,124183.00,15.71,12.03,13.38,-1.35
1965:Q1,15781.00,0.00,-2322.00,7750.00,0.00,1500.00,2984.00,-224.00,-1083.00,-177.00,-140.00,-1996.00,535.00,0.00,1098.00,8411.00,945.00,28949.00,8431.00,5010.00,15089.00,-245.00,665.00,17039.00,2863.00,3010.00,11166.00,11910.00,5568.00,2000.00,3923.00,-245.00,665.00,6172.00,3556.00,1380.00,293.00,165.00,778.00,899.00,22418.00,3923.00,-79.00,1296.00,19870.00,15061.00,4809.00,125335.00,17.89,15.85,12.02,3.84
1965:Q2,14350.00,0.00,312.00,6267.00,0.00,-237.00,-411.00,597.00,21.00,-444.00,550.00,-2698.00,247.00,0.00,1233.00,8578.00,98.00,29200.00,8524.00,5197.00,15066.00,-247.00,660.00,17356.00,2918.00,3057.00,11381.00,11844.00,5606.00,2140.00,3685.00,-247.00,660.00,12626.00,4438.00,2387.00,4598.00,226.00,977.00,856.00,14423.00,3685.00,498.00,1592.00,11832.00,10447.00,1385.00,122578.00,11.77,9.65,8.52,1.13
1965:Q3,22856.00,0.00,6040.00,5564.00,0.00,1550.00,-160.00,291.00,1123.00,296.00,49.00,-2100.00,739.00,0.00,1274.00,9044.00,696.00,29791.00,8572.00,5335.00,15504.00,-249.00,630.00,17631.00,2978.00,3105.00,11548.00,12160.00,5593.00,2230.00,3956.00,-249.00,630.00,9199.00,4713.00,2157.00,2148.00,59.00,122.00,904.00,26720.00,3956.00,-51.00,-800.00,22015.00,15713.00,6302.00,130199.00,20.52,16.91,12.07,4.84
1965:Q4,18734.00,0.00,2805.00,7892.00,0.00,-347.00,-1222.00,223.00,1616.00,-964.00,828.00,-3760.00,552.00,0.00,1220.00,9629.00,-85.00,30565.00,8637.00,5530.00,16069.00,-253.00,582.00,17905.00,3043.00,3155.00,11707.00,12660.00,5594.00,2376.00,4361.00,-253.00,582.00,10412.00,4407.00,1762.00,3098.00,741.00,404.00,951.00,21932.00,4361.00,-91.00,-2004.00,15658.00,17057.00,-1399.00,135069.00,16.24,11.59,12.63,-1.04
1966:Q1,20784.00,0.00,-1564.00,5595.00,0.00,6748.00,4182.00,711.00,1135.00,720.00,-1034.00,-2311.00,1002.00,0.00,1174.00,9986.00,1188.00,31552.00,8746.00,5566.00,16851.00,-260.00,649.00,18164.00,3081.00,3241.00,11843.00,13389.00,5666.00,2325.00,5008.00,-260.00,649.00,6396.00,3569.00,2268.00,-393.00,453.00,499.00,987.00,28763.00,5008.00,-92.00,990.00,24837.00,15426.00,9411.00,136081.00,21.14,18.25,11.34,6.92
1966:Q2,17474.00,0.00,-1075.00,5452.00,0.00,1753.00,-2456.00,3103.00,1112.00,-6.00,1295.00,-1959.00,574.00,0.00,1142.00,10252.00,40.00,30088.00,8363.00,5613.00,16247.00,-263.00,128.00,18544.00,3150.00,3290.00,12103.00,11544.00,5213.00,2323.00,4144.00,-263.00,128.00,12228.00,3874.00,2175.00,3109.00,607.00,2463.00,992.00,17782.00,4144.00,516.00,1574.00,14697.00,10837.00,3860.00,132845.00,13.39,11.06,8.16,2.91
1966:Q3,22445.00,0.00,2938.00,1993.00,0.00,5352.00,2750.00,778.00,280.00,1544.00,710.00,-1514.00,140.00,0.00,1157.00,10527.00,1142.00,30609.00,8027.00,5660.00,16854.00,-265.00,333.00,18943.00,3220.00,3336.00,12387.00,11666.00,4807.00,2324.00,4467.00,-265.00,333.00,5556.00,3040.00,1659.00,784.00,305.00,-232.00,961.00,29516.00,4467.00,-104.00,-435.00,24719.00,16587.00,8132.00,140924.00,20.94,17.54,11.77,5.77
1966:Q4,18515.00,0.00,1565.00,5581.00,0.00,1901.00,-158.00,126.00,2093.00,-160.00,878.00,-4045.00,490.00,0.00,1221.00,10837.00,87.00,30207.00,7335.00,5680.00,16924.00,-266.00,533.00,19361.00,3291.00,3380.00,12689.00,10846.00,4044.00,2300.00,4235.00,-266.00,533.00,7202.00,2470.00,1104.00,2433.00,570.00,625.00,947.00,23106.00,4235.00,-52.00,-2024.00,16899.00,18507.00,-1608.00,144344.00,16.01,11.71,12.82,-1.11
1967:Q1,19813.00,0.00,-579.00,10264.00,0.00,-1785.00,-1264.00,-13.00,-1473.00,965.00,969.00,-2802.00,542.00,0.00,1265.00,10734.00,1205.00,29886.00,7137.00,5579.00,16542.00,-262.00,891.00,19634.00,3302.00,3483.00,12848.00,10253.00,3835.00,2096.00,3694.00,-262.00,891.00,1698.00,1605.00,1272.00,-2074.00,905.00,-10.00,997.00,29365.00,3694.00,-90.00,1369.00,27130.00,17890.00,9241.00,144867.00,20.27,18.73,12.35,6.38
1967:Q2,17008.00,0.00,859.00,10870.00,0.00,-4448.00,-3054.00,-121.00,-1357.00,84.00,998.00,-4218.00,224.00,0.00,1237.00,11079.00,407.00,31264.00,7999.00,5543.00,17327.00,-263.00,658.00,19924.00,3376.00,3528.00,13021.00,11340.00,4624.00,2015.00,4307.00,-263.00,658.00,10743.00,2855.00,2376.00,2783.00,851.00,1878.00,968.00,18573.00,4307.00,577.00,2033.00,15722.00,14528.00,1195.00,143927.00,12.90,10.92,10.09,0.83
1967:Q3,27142.00,0.00,3845.00,7660.00,0.00,4485.00,2528.00,-91.00,932.00,1116.00,707.00,-3661.00,318.00,0.00,1242.00,11558.00,988.00,31539.00,8490.00,5510.00,17378.00,-266.00,428.00,20335.00,3452.00,3578.00,13306.00,11204.00,5038.00,1932.00,4072.00,-266.00,428.00,8773.00,4471.00,2569.00,1413.00,1244.00,-924.00,1041.00,30614.00,4072.00,-144.00,-713.00,25973.00,18520.00,7454.00,149665.00,20.46,17.35,12.37,4.98
1967:Q4,27537.00,0.00,6219.00,6376.00,0.00,3199.00,1802.00,640.00,-1054.00,1811.00,1558.00,-2905.00,-155.00,0.00,1221.00,11851.00,173.00,32198.00,9178.00,5582.00,17597.00,-270.00,111.00,20827.00,3531.00,3629.00,13666.00,11371.00,5647.00,1953.00,3931.00,-270.00,111.00,24032.00,4427.00,4587.00,3023.00,1535.00,10460.00,973.00,15849.00,3931.00,-86.00,-2577.00,9428.00,21285.00,-11857.00,154327.00,10.27,6.11,13.79,-7.68
1968:Q1,18578.00,0.00,-3845.00,8723.00,0.00,3034.00,4529.00,-595.00,-1071.00,171.00,-165.00,-2825.00,831.00,0.00,1202.00,12117.00,-494.00,34619.00,9419.00,5658.00,18922.00,-286.00,906.00,21395.00,3600.00,3705.00,14091.00,13225.00,5820.00,1953.00,4831.00,-286.00,906.00,-8765.00,3404.00,-883.00,-1295.00,-169.00,-9822.00,922.00,41489.00,4831.00,-208.00,1234.00,38100.00,19154.00,18947.00,156754.00,26.47,24.31,12.22,12.09
1968:Q2,22483.00,0.00,1810.00,5685.00,0.00,1770.00,-1289.00,805.00,1033.00,1221.00,2685.00,-4255.00,491.00,0.00,1184.00,12597.00,516.00,35834.00,9776.00,5550.00,19443.00,-281.00,1347.00,21899.00,3689.00,3773.00,14438.00,13935.00,6087.00,1777.00,5005.00,-281.00,1347.00,16526.00,4405.00,2862.00,4132.00,2337.00,2790.00,1009.00,20900.00,5005.00,510.00,1754.00,17140.00,14957.00,2183.00,156096.00,13.39,10.98,9.58,1.40
1968:Q3,25778.00,0.00,4381.00,7841.00,0.00,709.00,1400.00,-493.00,-445.00,247.00,2121.00,-5435.00,550.00,0.00,1189.00,13214.00,1208.00,36138.00,9991.00,5622.00,20486.00,-269.00,307.00,22430.00,3784.00,3855.00,14791.00,13708.00,6208.00,1768.00,5695.00,-269.00,307.00,10496.00,4508.00,2569.00,2756.00,724.00,-61.00,1054.00,30045.00,5695.00,-194.00,-645.00,23899.00,16957.00,6942.00,162266.00,18.52,14.73,10.45,4.28
1968:Q4,22620.00,0.00,6792.00,7988.00,0.00,-1402.00,-1697.00,138.00,-1131.00,1288.00,392.00,-7230.00,333.00,0.00,1214.00,14367.00,166.00,36519.00,10537.00,5889.00,20552.00,-250.00,-210.00,23047.00,3885.00,3948.00,15214.00,13472.00,6652.00,1941.00,5338.00,-250.00,-210.00,15674.00,4751.00,2520.00,5164.00,1666.00,1573.00,1103.00,21520.00,5338.00,-111.00,-2199.00,14095.00,21006.00,-6912.00,168633.00,12.76,8.36,12.46,-4.10
1969:Q1,19131.00,0.00,-7257.00,4829.00,0.00,11055.00,7359.00,-139.00,3545.00,290.00,-3529.00,-4094.00,889.00,0.00,1237.00,14545.00,1456.00,38614.00,11096.00,6142.00,20848.00,-209.00,737.00,23584.00,4035.00,4017.00,15533.00,15031.00,7062.00,2126.00,5316.00,-209.00,737.00,4026.00,3872.00,1812.00,-440.00,-1178.00,-40.00,1141.00,31276.00,5316.00,-157.00,1657.00,27774.00,18182.00,9593.00,168983.00,18.51,16.44,10.76,5.68
1969:Q2,18545.00,0.00,1292.00,4867.00,0.00,-2035.00,-6652.00,2002.00,2231.00,384.00,1773.00,-5497.00,613.00,0.00,1253.00,15360.00,919.00,38785.00,11131.00,6309.00,20950.00,-190.00,586.00,24150.00,4141.00,4107.00,15902.00,14636.00,6990.00,2202.00,5048.00,-190.00,586.00,17038.00,4881.00,3727.00,4791.00,258.00,3381.00,1200.00,17343.00,5048.00,378.00,1906.00,13822.00,12761.00,1061.00,166579.00,10.41,8.30,7.66,0.64
1969:Q3,25944.00,0.00,-1313.00,-1398.00,0.00,14672.00,8580.00,1226.00,3036.00,1830.00,-2649.00,-2530.00,787.00,0.00,1269.00,16079.00,1027.00,38612.00,11082.00,6621.00,20992.00,-178.00,96.00,24710.00,4246.00,4180.00,16285.00,13902.00,6836.00,2441.00,4707.00,-178.00,96.00,10206.00,4774.00,3254.00,2138.00,-646.00,686.00,1137.00,30777.00,4707.00,-37.00,-606.00,25501.00,20310.00,5191.00,176804.00,17.41,14.42,11.49,2.94
1969:Q4,31047.00,0.00,5551.00,336.00,0.00,7442.00,2344.00,2096.00,1942.00,1060.00,4195.00,-5062.00,377.00,0.00,1279.00,16549.00,380.00,37873.00,10465.00,6740.00,21042.00,-175.00,-197.00,25195.00,4348.00,4237.00,16611.00,12678.00,6117.00,2504.00,4431.00,-175.00,-197.00,13835.00,4177.00,2940.00,3418.00,1021.00,2279.00,1147.00,31038.00,4431.00,-259.00,-2744.00,24122.00,23777.00,345.00,183388.00,16.92,13.15,12.97,0.19
1970:Q1,20565.00,0.00,-4060.00,1197.00,0.00,8294.00,5155.00,2890.00,835.00,-586.00,-2061.00,241.00,377.00,0.00,1341.00,14087.00,1149.00,38143.00,10470.00,6653.00,20814.00,-184.00,389.00,25669.00,4362.00,4365.00,16942.00,12474.00,6109.00,2288.00,3872.00,-184.00,389.00,-2734.00,1670.00,-7769.00,-2568.00,-317.00,6250.00,1192.00,36965.00,3872.00,-56.00,2118.00,35267.00,23742.00,11525.00,186221.00,19.85,18.94,12.75,6.19
1970:Q2,22988.00,0.00,6379.00,8592.00,0.00,-7306.00,-9485.00,787.00,148.00,1244.00,896.00,-1616.00,-158.00,0.00,1276.00,14408.00,517.00,38150.00,10191.00,6775.00,21139.00,-198.00,243.00,26064.00,4463.00,4427.00,17174.00,12086.00,5728.00,2348.00,3965.00,-198.00,243.00,11848.00,3288.00,3493.00,2758.00,-24.00,2333.00,1196.00,24422.00,3965.00,533.00,1953.00,21878.00,19761.00,2117.00,184809.00,13.21,11.84,10.69,1.15
1970:Q3,43028.00,0.00,3896.00,18231.00,0.00,2028.00,-2775.00,753.00,315.00,3735.00,1971.00,-395.00,690.00,0.00,1316.00,14751.00,540.00,38324.00,10487.00,6896.00,21371.00,-218.00,-212.00,26527.00,4568.00,4511.00,17448.00,11798.00,5920.00,2386.00,3923.00,-218.00,-212.00,11919.00,3921.00,4554.00,2003.00,854.00,587.00,1169.00,44076.00,3923.00,-185.00,-802.00,39536.00,24642.00,14894.00,192742.00,22.87,20.51,12.78,7.73
1970:Q4,32702.00,0.00,1533.00,15608.00,0.00,-671.00,-2820.00,208.00,-1398.00,3339.00,2021.00,-2603.00,151.00,0.00,1408.00,15093.00,162.00,37649.00,11640.00,6814.00,20283.00,-244.00,-844.00,27068.00,4675.00,4613.00,17780.00,10581.00,6965.00,2201.00,2504.00,-244.00,-844.00,12496.00,3846.00,3922.00,2236.00,800.00,1692.00,1207.00,31994.00,2504.00,-239.00,-3035.00,26695.00,27911.00,-1216.00,197756.00,16.18,13.50,14.11,-0.61
1971:Q1,38057.00,0.00,270.00,24082.00,0.00,-2853.00,-3053.00,-992.00,-1047.00,2239.00,-1932.00,-2017.00,349.00,0.00,1499.00,14980.00,3679.00,42917.00,12561.00,6941.00,22764.00,-286.00,938.00,27747.00,4846.00,4676.00,18225.00,15170.00,7715.00,2265.00,4539.00,-286.00,938.00,9299.00,4003.00,2652.00,412.00,547.00,1685.00,1239.00,45167.00,4539.00,-184.00,2587.00,43399.00,28953.00,14446.00,203650.00,22.18,21.31,14.22,7.09
1971:Q2,37200.00,0.00,5705.00,15926.00,0.00,-2527.00,-3733.00,-1839.00,278.00,2767.00,-111.00,-769.00,-24.00,0.00,1584.00,15651.00,1765.00,45623.00,14048.00,7221.00,23445.00,-309.00,1219.00,28457.00,4957.00,4797.00,18704.00,17166.00,9091.00,2424.00,4742.00,-309.00,1219.00,21490.00,6640.00,5144.00,4840.00,1159.00,3707.00,1259.00,34134.00,4742.00,488.00,2250.00,31155.00,25248.00,5907.00,203576.00,16.77,15.30,12.40,2.90
1971:Q3,39423.00,0.00,1957.00,13554.00,0.00,5738.00,2262.00,825.00,189.00,2462.00,-1663.00,-148.00,-368.00,0.00,1631.00,16398.00,2324.00,46800.00,14963.00,7333.00,24015.00,-324.00,813.00,29059.00,5066.00,4923.00,19070.00,17741.00,9897.00,2410.00,4945.00,-324.00,813.00,18978.00,8030.00,5136.00,4553.00,943.00,316.00,1363.00,39549.00,4945.00,-316.00,-933.00,33987.00,26807.00,7180.00,208372.00,18.98,16.31,12.86,3.45
1971:Q4,36747.00,0.00,5696.00,15548.00,0.00,-3882.00,-4117.00,678.00,-594.00,151.00,1772.00,-3054.00,373.00,0.00,1638.00,17037.00,1619.00,47322.00,15774.00,7446.00,24911.00,-331.00,-478.00,29496.00,5173.00,5050.00,19274.00,17826.00,10601.00,2397.00,5638.00,-331.00,-478.00,22388.00,7576.00,4675.00,5778.00,1300.00,3059.00,1937.00,34123.00,5638.00,-214.00,-3576.00,25123.00,29076.00,-3952.00,214833.00,15.88,11.69,13.53,-1.84
1972:Q1,41066.00,0.00,-1034.00,20559.00,0.00,1890.00,2723.00,-1784.00,589.00,362.00,-1223.00,-1513.00,-74.00,0.00,1669.00,18215.00,2577.00,50005.00,17046.00,7807.00,25448.00,-319.00,23.00,30027.00,5424.00,5034.00,19569.00,19978.00,11622.00,2773.00,5879.00,-319.00,23.00,13525.00,7190.00,3403.00,-396.00,2258.00,1070.00,1934.00,49453.00,5879.00,-229.00,2883.00,46686.00,29748.00,16938.00,219929.00,22.49,21.23,13.53,7.70
1972:Q2,38986.00,0.00,386.00,18416.00,0.00,-1897.00,-1534.00,-1163.00,350.00,450.00,1057.00,-2003.00,-584.00,0.00,1706.00,19383.00,2522.00,52104.00,17456.00,7907.00,26221.00,-318.00,838.00,30755.00,5546.00,5169.00,20040.00,21349.00,11910.00,2738.00,6181.00,-318.00,838.00,31088.00,9663.00,7354.00,7375.00,1654.00,5042.00,1506.00,30753.00,6181.00,644.00,2466.00,26394.00,20221.00,6173.00,215170.00,14.29,12.27,9.40,2.87
1972:Q3,46852.00,0.00,4211.00,20149.00,0.00,1422.00,1261.00,-725.00,272.00,614.00,-1204.00,-2189.00,-218.00,0.00,1736.00,20041.00,2904.00,53290.00,17828.00,8061.00,27031.00,-317.00,687.00,31456.00,5680.00,5315.00,20461.00,21835.00,12148.00,2746.00,6571.00,-317.00,687.00,24039.00,11286.00,5925.00,5307.00,862.00,659.00,1609.00,46256.00,6571.00,-263.00,-912.00,39037.00,25639.00,13398.00,225302.00,20.53,17.33,11.38,5.95
1972:Q4,45578.00,0.00,10361.00,15813.00,0.00,-914.00,922.00,-2060.00,501.00,-277.00,2420.00,-4652.00,-534.00,0.00,1764.00,19526.00,1794.00,55657.00,19044.00,8578.00,28371.00,-318.00,-19.00,32201.00,5827.00,5471.00,20903.00,23456.00,13217.00,3108.00,7468.00,-318.00,-19.00,29454.00,9856.00,7618.00,7228.00,282.00,4470.00,1755.00,41335.00,7468.00,-198.00,-4063.00,30002.00,33587.00,-3585.00,239535.00,17.26,12.53,14.02,-1.50
1973:Q1,47789.00,0.00,-2201.00,23705.00,0.00,5491.00,3574.00,-361.00,2027.00,251.00,-2096.00,-617.00,-756.00,0.00,1804.00,18900.00,3559.00,58802.00,19952.00,9119.00,30549.00,-322.00,-495.00,32940.00,6150.00,5478.00,21312.00,25863.00,13803.00,3641.00,9237.00,-322.00,-495.00,21750.00,9261.00,4734.00,1007.00,-716.00,7464.00,1814.00,53716.00,9237.00,-274.00,3407.00,48161.00,31741.00,16420.00,243896.00,22.02,19.75,13.01,6.73
1973:Q2,44593.00,0.00,3855.00,15477.00,0.00,1641.00,982.00,-65.00,914.00,-190.00,1703.00,-318.00,-622.00,0.00,1855.00,18681.00,2321.00,60788.00,19404.00,9651.00,30429.00,-327.00,1631.00,33914.00,6340.00,5652.00,21923.00,26874.00,13064.00,3999.00,8506.00,-327.00,1631.00,28923.00,11708.00,4270.00,8870.00,-1111.00,5186.00,1529.00,44073.00,8506.00,633.00,2603.00,37537.00,31217.00,6320.00,247405.00,17.81,15.17,12.62,2.55
1973:Q3,46698.00,0.00,660.00,13000.00,0.00,10848.00,5227.00,1009.00,2653.00,1959.00,-1451.00,145.00,-20.00,0.00,1863.00,19288.00,2365.00,59885.00,19222.00,9829.00,30314.00,-333.00,854.00,34975.00,6556.00,5840.00,22580.00,24911.00,12667.00,3989.00,7734.00,-333.00,854.00,22890.00,11560.00,-1405.00,6297.00,232.00,6206.00,1578.00,50296.00,7734.00,-351.00,-967.00,41947.00,30943.00,11004.00,251847.00,19.97,16.66,12.29,4.37
1973:Q4,45674.00,0.00,10356.00,10054.00,0.00,2179.00,1423.00,-1149.00,962.00,943.00,2673.00,-2924.00,-823.00,0.00,1826.00,20084.00,2249.00,59119.00,18681.00,9648.00,29712.00,-340.00,1418.00,35974.00,6798.00,6038.00,23139.00,23145.00,11883.00,3611.00,6573.00,-340.00,1418.00,18101.00,9974.00,-3437.00,6285.00,-310.00,5589.00,1680.00,52398.00,6573.00,-179.00,-4501.00,41503.00,37889.00,3613.00,262972.00,19.93,15.78,14.41,1.37
1974:Q1,49679.00,0.00,-3959.00,21982.00,263.00,8071.00,7514.00,-2594.00,1493.00,1658.00,-1800.00,1002.00,-363.00,0.00,1783.00,19914.00,2786.00,56104.00,17867.00,9498.00,29411.00,-349.00,-322.00,37109.00,7012.00,6317.00,23780.00,18995.00,10855.00,3181.00,5631.00,-349.00,-322.00,15992.00,7983.00,4867.00,-2520.00,-107.00,5769.00,1680.00,54362.00,5631.00,-266.00,2947.00,51944.00,39834.00,12110.00,269181.00,20.20,19.30,14.80,4.50
1974:Q2,43556.00,0.00,-951.00,17266.00,307.00,111.00,-5130.00,1232.00,1370.00,2639.00,2931.00,-640.00,-399.00,0.00,1732.00,20860.00,2339.00,57680.00,17557.00,9433.00,30324.00,-357.00,724.00,38098.00,7301.00,6525.00,24273.00,19582.00,10256.00,2908.00,6051.00,-357.00,724.00,35547.00,10859.00,7905.00,6317.00,398.00,10068.00,1602.00,29193.00,6051.00,737.00,2630.00,25035.00,31503.00,-6468.00,268110.00,10.89,9.34,11.75,-2.41
1974:Q3,49788.00,0.00,1912.00,6625.00,816.00,16759.00,4427.00,5605.00,4495.00,2232.00,783.00,-1022.00,-969.00,0.00,1755.00,21837.00,1292.00,58524.00,17531.00,9557.00,31657.00,-364.00,143.00,39477.00,7613.00,6728.00,25136.00,19047.00,9918.00,2829.00,6521.00,-364.00,143.00,30841.00,10205.00,8412.00,4464.00,818.00,6942.00,1541.00,39535.00,6521.00,-484.00,-903.00,32594.00,31424.00,1170.00,275426.00,14.35,11.83,11.41,0.42
1974:Q4,53470.00,0.00,8283.00,11121.00,993.00,8138.00,-203.00,2159.00,-230.00,6412.00,1063.00,-554.00,330.00,0.00,1851.00,21673.00,572.00,53464.00,15656.00,9854.00,29526.00,-370.00,-1202.00,41236.00,7947.00,6926.00,26364.00,12228.00,7709.00,2928.00,3163.00,-370.00,-1202.00,21162.00,6828.00,6083.00,685.00,535.00,7031.00,1475.00,46011.00,3163.00,-286.00,-4105.00,39029.00,38968.00,61.00,285589.00,16.11,13.67,13.64,0.02
