1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q2,3095003.00,3485221.00,3730327.00,1045034.00,385656.00,2236600.00,63038.00,-1.00,-245106.00,2359511.00,24800.00,-42600.00,241046.00,854226.00,27127.00,-7084.00,-489658.00,-27419.00,-382636.00,-181707.00,-54163.00,156267.00,285427.00,178300.00,7420.00,99707.00,-207697.00,179778.00,227427.00,54636.00,473468.00,34523.00,225671.00,475938.00,2482.00,2604617.00,0.00,0.00,0.00,695584.00,49535.00,578403.00,156.00,-113270.00,180760.00,-100740.00,-105830.00,114950.00,-200198.00,90338.00,-476444.00,146698.00,1728.00,-17243.00,227151.00,187960.00,1939923.00,-390218.00
2011:Q3,3215762.00,4163090.00,3741979.00,1055838.00,387534.00,2313519.00,-14912.00,0.00,421111.00,2880939.00,15982.00,-17536.00,432844.00,15491.00,-102317.00,-3388.00,639829.00,-25688.00,251327.00,-120418.00,9485.00,525123.00,167879.00,41236.00,7048.00,119595.00,-260611.00,91859.00,169489.00,113712.00,512380.00,34060.00,235897.00,290706.00,544664.00,2459828.00,0.00,0.00,0.00,2195281.00,29663.00,1984211.00,1936.00,-12666.00,192136.00,-168296.00,134087.00,-200597.00,-202156.00,100370.00,-622964.00,136821.00,1156.00,23986.00,231457.00,230832.00,431554.00,-947328.00
2011:Q4,3291457.00,2921316.00,3925848.00,1080262.00,396102.00,2356825.00,92649.00,10.00,-1004532.00,1977385.00,7862.00,-41436.00,217049.00,509906.00,-166931.00,2000.00,280964.00,3749.00,289733.00,-489284.00,11725.00,465041.00,-127948.00,-239032.00,-912.00,111996.00,-392540.00,112595.00,154994.00,66042.00,478456.00,-775.00,247829.00,459237.00,170080.00,2981917.00,0.00,0.00,0.00,1331646.00,28519.00,1143795.00,1144.00,11364.00,146824.00,254845.00,205955.00,25101.00,-127450.00,151239.00,-425128.00,197270.00,1888.00,174.00,248917.00,237856.00,1134449.00,370141.00
2012:Q1,3548984.00,1972222.00,4010341.00,1117107.00,426824.00,2400764.00,65439.00,207.00,-2038119.00,1180928.00,4640.00,-15316.00,125305.00,452279.00,169779.00,4852.00,-1245054.00,-43247.00,-295410.00,-459220.00,-146398.00,-300779.00,154685.00,58932.00,-12172.00,107925.00,-250674.00,342851.00,87736.00,-54102.00,619968.00,42315.00,125614.00,369680.00,246371.00,3219047.00,0.00,0.00,0.00,1707268.00,-7934.00,1387580.00,-3340.00,-14433.00,345396.00,321928.00,297735.00,26067.00,-134408.00,132534.00,-236652.00,132166.00,424.00,9681.00,96814.00,186068.00,1001349.00,1576762.00
2012:Q2,3641858.00,4058736.00,4080274.00,1119774.00,429048.00,2442199.00,89253.00,0.00,-21538.00,3458348.00,13000.00,-36576.00,159400.00,450290.00,-31889.00,4320.00,1011181.00,-9456.00,811650.00,93455.00,-36180.00,151712.00,211457.00,72328.00,-9804.00,148933.00,-725.00,188323.00,29173.00,-75152.00,383656.00,35974.00,90202.00,274986.00,750729.00,3479886.00,0.00,0.00,0.00,1708984.00,29034.00,1424661.00,140.00,53669.00,201480.00,370845.00,389430.00,-110277.00,-98702.00,190394.00,-428320.00,125208.00,1440.00,24620.00,85374.00,209144.00,1382590.00,-416878.00
2012:Q3,3639625.00,3052891.00,4076907.00,1131710.00,443987.00,2427141.00,74069.00,0.00,-1024016.00,2053461.00,3094.00,22592.00,270967.00,264706.00,7337.00,-1744.00,-213611.00,8470.00,-65005.00,143977.00,-129874.00,-171179.00,138295.00,25860.00,-572.00,113007.00,-24971.00,425268.00,143170.00,-4220.00,485272.00,16658.00,79105.00,311485.00,130059.00,3077476.00,0.00,0.00,0.00,1425884.00,-35470.00,1073688.00,-296.00,-786.00,388748.00,236964.00,118272.00,75936.00,-102291.00,145047.00,-349296.00,175013.00,-220.00,-1781.00,83913.00,145076.00,1361924.00,586734.00
2012:Q4,3949053.00,3232874.00,4065855.00,1149457.00,472280.00,2425706.00,18412.00,0.00,-832981.00,2154392.00,-3712.00,-8.00,209938.00,743273.00,123233.00,-620.00,102372.00,-18583.00,623461.00,-250257.00,-170261.00,-81988.00,104063.00,10620.00,-14356.00,107799.00,-500590.00,257614.00,36526.00,11532.00,494940.00,31241.00,63050.00,319362.00,162177.00,2987374.00,0.00,0.00,0.00,1212724.00,70454.00,837939.00,1940.00,-63641.00,366032.00,682559.00,302151.00,177186.00,14849.00,188373.00,-365352.00,118637.00,-496.00,7168.00,65062.00,190536.00,1076536.00,716179.00
2013:Q1,3820712.00,4040010.00,4129829.00,1168044.00,455822.00,2442334.00,63629.00,0.00,-89819.00,2862964.00,3334.00,88496.00,437832.00,26696.00,10697.00,3284.00,-1000474.00,-16842.00,-127892.00,-284305.00,-67369.00,-504066.00,82888.00,-37144.00,14844.00,105188.00,473842.00,522038.00,398810.00,-4484.00,474156.00,31437.00,176931.00,247332.00,890150.00,2952783.00,0.00,0.00,0.00,1585619.00,20060.00,1253644.00,-1012.00,2803.00,310124.00,220657.00,64973.00,16236.00,-42045.00,181493.00,-213692.00,201030.00,164.00,-8790.00,182183.00,85156.00,900455.00,-219298.00
2013:Q2,4158352.00,4549027.00,4212678.00,1166938.00,520546.00,2460650.00,64544.00,0.00,336349.00,2501652.00,-992.00,53100.00,-80439.00,297508.00,99475.00,-6108.00,-621294.00,-21982.00,119157.00,-127206.00,-64489.00,-526775.00,306627.00,216048.00,-8604.00,99183.00,500024.00,-860.00,364898.00,14752.00,491020.00,11714.00,177974.00,391190.00,503063.00,2165303.00,0.00,0.00,0.00,331504.00,-20120.00,247475.00,1344.00,-65663.00,168468.00,474447.00,126518.00,139213.00,57807.00,150910.00,-371160.00,188763.00,732.00,-21781.00,177330.00,213140.00,1172328.00,-390675.00
2013:Q3,3983653.00,3528598.00,4323502.00,1170934.00,543844.00,2483215.00,125509.00,0.00,-794904.00,2057462.00,-4166.00,-544.00,173907.00,533324.00,147357.00,16436.00,-69660.00,-18193.00,11576.00,88048.00,-39063.00,-112027.00,107634.00,-380.00,3176.00,104838.00,-554978.00,174447.00,304291.00,23256.00,513368.00,52160.00,177022.00,247551.00,216056.00,2852366.00,0.00,0.00,-1400.00,766818.00,92000.00,344307.00,544.00,-100889.00,430856.00,646188.00,239459.00,20207.00,192608.00,193914.00,-344056.00,218085.00,-496.00,-3286.00,194214.00,220128.00,1156172.00,455055.00
2013:Q4,4185539.00,4800922.00,4348278.00,1178811.00,523613.00,2529909.00,115945.00,0.00,452644.00,3068751.00,-11206.00,37868.00,608985.00,245101.00,32527.00,-14216.00,-308324.00,-8999.00,-189389.00,57973.00,-59542.00,-108367.00,210630.00,104100.00,5820.00,100710.00,107920.00,230664.00,247047.00,14284.00,551644.00,24778.00,196153.00,308707.00,586191.00,2616106.00,0.00,0.00,0.00,1633746.00,-35216.00,1585338.00,-2444.00,-111823.00,197892.00,510955.00,66098.00,167360.00,100434.00,177062.00,-482744.00,133878.00,520.00,10241.00,195141.00,187164.00,427204.00,-615383.00
2014:Q1,4122900.00,3375857.00,4336082.00,1182265.00,553212.00,2565149.00,35376.00,80.00,-960225.00,2340463.00,-4028.00,-39860.00,302371.00,466807.00,-75390.00,17160.00,-707149.00,11819.00,-657751.00,95903.00,-66529.00,-90590.00,346487.00,212876.00,17988.00,115623.00,-243854.00,313739.00,136530.00,21568.00,287360.00,35860.00,157801.00,177893.00,1147167.00,3300688.00,0.00,0.00,0.00,1167019.00,74499.00,883268.00,-1936.00,-77920.00,289108.00,611299.00,258344.00,53974.00,89667.00,209315.00,-510868.00,227975.00,-80.00,-3486.00,153913.00,-379320.00,2034235.00,747043.00
