1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q4,2432841.00,284979.00,39725.00,368647.00,328923.00,245254.00,285942.00,40688.00,1513014.00,-91601.00,957811.00,208029.00,137344.00,13096.00,288438.00,-104.00,-18244.00,-19877.00,889.00,744.00,653092.00,62099950.00,11425721.00
2011:Q1,1401499.00,304884.00,39046.00,370003.00,330957.00,265838.00,260846.00,-4992.00,1071211.00,-73621.00,645388.00,164647.00,130479.00,8748.00,194551.00,1019.00,4799.00,4003.00,-67.00,863.00,20605.00,63501449.00,11652202.00
2011:Q2,295160.00,407806.00,38358.00,370999.00,332641.00,369448.00,326672.00,-42776.00,-17280.00,-81879.00,39502.00,12657.00,10704.00,212.00,1597.00,-73.00,30319.00,29036.00,727.00,557.00,-125685.00,63796609.00,11751673.00
2011:Q3,-2135379.00,633355.00,40298.00,375865.00,335567.00,593057.00,557506.00,-35551.00,-2513082.00,83848.00,-1563186.00,-537449.00,95542.00,-23898.00,-567877.00,-62.00,628.00,-500.00,577.00,552.00,-256280.00,61661230.00,11876634.00
2011:Q4,1728531.00,319983.00,47106.00,384423.00,337317.00,272877.00,325027.00,52150.00,1492644.00,122593.00,692618.00,214238.00,179360.00,11013.00,272828.00,-7.00,-13376.00,-14885.00,1279.00,230.00,-70720.00,63389761.00,11924909.00
2012:Q1,2482017.00,235696.00,62761.00,400241.00,337480.00,172935.00,190105.00,17170.00,2269288.00,173485.00,1195178.00,398570.00,64902.00,17796.00,419363.00,-6.00,-1079.00,-1344.00,-330.00,595.00,-21888.00,65871778.00,12189994.00
2012:Q2,136333.00,407265.00,61639.00,402084.00,340446.00,345627.00,412852.00,67225.00,-143836.00,421851.00,-426922.00,-133463.00,149293.00,-6404.00,-148148.00,-43.00,-12478.00,-12054.00,-876.00,452.00,-114618.00,66008111.00,12321330.00
2012:Q3,2026746.00,199396.00,64570.00,407832.00,343262.00,134826.00,207275.00,72449.00,1732348.00,417505.00,575080.00,220502.00,283227.00,9746.00,226289.00,0.00,-18186.00,-18459.00,-154.00,427.00,113187.00,68034857.00,12355422.00
2012:Q4,1204828.00,347789.00,70951.00,416805.00,345855.00,276838.00,398644.00,121806.00,834858.00,383170.00,225579.00,28413.00,173376.00,1635.00,22683.00,0.00,-9189.00,-9602.00,687.00,-274.00,31371.00,69239686.00,12748128.00
2013:Q1,2968618.00,459946.00,80873.00,428955.00,348082.00,379072.00,356462.00,-22610.00,2401404.00,486336.00,1155491.00,256669.00,167302.00,12771.00,322834.00,0.00,-13459.00,-12093.00,-723.00,-644.00,120728.00,72208303.00,12259292.00
2013:Q2,1500675.00,203784.00,80007.00,431901.00,351894.00,123777.00,163712.00,39935.00,937398.00,603219.00,100267.00,-41570.00,264993.00,-335.00,10825.00,0.00,-26785.00,-27676.00,112.00,779.00,386277.00,73708979.00,12335893.00
2013:Q3,2468738.00,127257.00,80854.00,435778.00,354924.00,46403.00,185148.00,138745.00,2259909.00,579389.00,828764.00,264300.00,310144.00,10355.00,266957.00,0.00,-27873.00,-29667.00,988.00,805.00,109446.00,76177717.00,12453821.00
2013:Q4,2725910.00,425588.00,79560.00,437801.00,358242.00,346029.00,428424.00,82395.00,2150516.00,446386.00,839029.00,288547.00,223309.00,11947.00,341297.00,0.00,-21852.00,-23978.00,-69.00,2195.00,171658.00,78903627.00,12534347.00
2014:Q1,1205166.00,371334.00,78815.00,439600.00,360785.00,292519.00,296853.00,4334.00,930530.00,258169.00,407114.00,90846.00,77299.00,4200.00,92902.00,0.00,-23651.00,-24507.00,422.00,435.00,-73048.00,80108792.00,12735841.00
2014:Q2,1615791.00,147727.00,88305.00,451363.00,363058.00,59422.00,238021.00,178599.00,1573898.00,236552.00,744256.00,211838.00,159412.00,8039.00,213801.00,0.00,-18027.00,-18845.00,733.00,85.00,-87806.00,81724584.00,12962431.00
2014:Q3,332045.00,151908.00,93202.00,460250.00,367048.00,58706.00,194211.00,135505.00,67966.00,324755.00,-241555.00,-106343.00,164156.00,-2760.00,-70286.00,0.00,-24244.00,-24636.00,19.00,373.00,136415.00,82056629.00,13127448.00
2014:Q4,1827590.00,652661.00,99569.00,470055.00,370487.00,553093.00,651182.00,98089.00,1213405.00,396503.00,432302.00,38303.00,229376.00,5109.00,111812.00,0.00,-33271.00,-33734.00,-167.00,629.00,-5206.00,83884219.00,13265253.00
2015:Q1,1914225.00,579675.00,104817.00,475826.00,371010.00,474859.00,478280.00,3421.00,1358552.00,393482.00,434113.00,40018.00,251267.00,4570.00,235102.00,0.00,-17381.00,-19457.00,1138.00,938.00,-6622.00,85798443.00,13276493.00
2015:Q2,635935.00,1912.00,112699.00,486486.00,373787.00,-110787.00,38895.00,149682.00,324864.00,311352.00,-83453.00,-21731.00,144233.00,-1704.00,-23833.00,0.00,934.00,939.00,-340.00,334.00,308226.00,86434378.00,13464692.00
2015:Q3,-1185524.00,349201.00,115146.00,493813.00,378667.00,234055.00,321468.00,87413.00,-1531764.00,350387.00,-1141766.00,-441941.00,151339.00,-17780.00,-432004.00,0.00,-24547.00,-24722.00,43.00,132.00,21586.00,85248854.00,13611672.00
2015:Q4,2038240.00,415177.00,117307.00,499142.00,381835.00,297870.00,449776.00,151906.00,1451090.00,330294.00,605257.00,148514.00,162784.00,7113.00,197128.00,0.00,-14874.00,-14723.00,265.00,-416.00,186847.00,87287094.00,13726358.00
2016:Q1,602258.00,564797.00,126383.00,502293.00,375910.00,438414.00,452667.00,14253.00,382694.00,293193.00,7798.00,12435.00,42566.00,2091.00,24611.00,0.00,508.00,-450.00,292.00,667.00,-345741.00,87889352.00,13807411.00
2016:Q2,818307.00,88095.00,127619.00,508665.00,381046.00,-39524.00,134746.00,174269.00,975910.00,316150.00,297190.00,111429.00,125188.00,5836.00,120117.00,0.00,-22513.00,-23008.00,-37.00,532.00,-223186.00,88707658.00,13977305.00
2016:Q3,2054443.00,135094.00,130322.00,515486.00,385164.00,4772.00,189205.00,184432.00,1862471.00,405338.00,857590.00,232243.00,128393.00,9039.00,229868.00,0.00,-43244.00,-44063.00,486.00,333.00,100122.00,90762102.00,14128689.00
2016:Q4,2043308.00,325846.00,139283.00,527189.00,387907.00,186563.00,341964.00,155400.00,1173535.00,499146.00,560390.00,-36200.00,92418.00,1028.00,56754.00,0.00,-32630.00,-32644.00,-677.00,691.00,576558.00,92805410.00,14268467.00
