1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,78483.00,8944.00,69539.00,64063.00,5476.00,-109.00,158.00,2251.00,8353.00,311.00,15502.00,21061.00,15223.00,9150.00,5511.00,562.00,0.00,5839.00,9062.00,0.00,-323.00,2092.00,0.00,1863.00,1553.00,-108.00,520.00,-102.00,376.00,3.00,373.00,0.00,188.00,142.00,0.00,682.00,4052.00,-152.00,142.00,3223.00,0.00,3173.00,2881.00,-261.00,129.00,395.00,29.00,20.00,30.00,-5559.00
1955:Q2,80370.00,8486.00,71884.00,65394.00,6490.00,50.00,483.00,2681.00,8496.00,279.00,16955.00,14138.00,15911.00,9691.00,5633.00,587.00,0.00,-1773.00,5338.00,0.00,-2403.00,2594.00,0.00,1505.00,600.00,78.00,1025.00,-198.00,183.00,-110.00,293.00,0.00,-201.00,121.00,0.00,709.00,4204.00,-1482.00,108.00,7111.00,0.00,7059.00,3460.00,3053.00,582.00,110.00,-146.00,18.00,34.00,2817.00
1955:Q3,82223.00,8158.00,74065.00,66503.00,7562.00,10.00,-103.00,2967.00,8653.00,311.00,18984.00,22882.00,16270.00,10099.00,5552.00,620.00,0.00,6612.00,11973.00,0.00,3485.00,1494.00,0.00,2036.00,941.00,115.00,851.00,129.00,298.00,72.00,226.00,0.00,-33.00,169.00,0.00,758.00,4303.00,-628.00,91.00,5361.00,0.00,5304.00,3335.00,1788.00,65.00,149.00,-33.00,20.00,37.00,-3898.00
1955:Q4,83509.00,7270.00,76239.00,67553.00,8686.00,-7.00,-512.00,2560.00,8858.00,352.00,20257.00,21016.00,15826.00,9859.00,5317.00,651.00,0.00,5190.00,10829.00,0.00,382.00,2421.00,0.00,1143.00,-338.00,373.00,814.00,294.00,324.00,-86.00,410.00,0.00,16.00,140.00,0.00,756.00,4297.00,1186.00,164.00,5639.00,0.00,5574.00,2904.00,2406.00,348.00,12.00,-96.00,25.00,40.00,-759.00
1956:Q1,84876.00,9814.00,75062.00,68001.00,7061.00,65.00,271.00,1577.00,9416.00,368.00,17479.00,23623.00,15247.00,9393.00,5202.00,653.00,0.00,8375.00,10134.00,0.00,-673.00,2163.00,0.00,2334.00,1631.00,116.00,395.00,192.00,547.00,73.00,474.00,0.00,57.00,314.00,0.00,850.00,4301.00,167.00,74.00,1759.00,0.00,1684.00,2420.00,-698.00,-367.00,57.00,272.00,32.00,43.00,-6143.00
1956:Q2,86335.00,9770.00,76565.00,68701.00,7864.00,194.00,641.00,1501.00,9563.00,431.00,18050.00,17265.00,15357.00,9427.00,5257.00,673.00,0.00,1908.00,7169.00,0.00,-1423.00,2979.00,0.00,1261.00,-291.00,237.00,867.00,448.00,338.00,-137.00,475.00,0.00,-477.00,35.00,0.00,909.00,4406.00,-968.00,109.00,5261.00,0.00,5174.00,2971.00,2030.00,-44.00,86.00,131.00,39.00,48.00,785.00
1956:Q3,87651.00,8974.00,78677.00,69527.00,9150.00,84.00,-224.00,1375.00,9690.00,405.00,20117.00,23811.00,15253.00,9395.00,5162.00,696.00,0.00,8558.00,11945.00,0.00,2709.00,1591.00,0.00,1648.00,449.00,157.00,872.00,170.00,334.00,32.00,302.00,0.00,-6.00,323.00,0.00,891.00,4700.00,-322.00,77.00,3387.00,0.00,3297.00,2847.00,697.00,-514.00,49.00,218.00,41.00,49.00,-3694.00
1956:Q4,89551.00,8034.00,81518.00,70895.00,10623.00,52.00,-658.00,1620.00,9903.00,401.00,22454.00,23055.00,15603.00,9824.00,5075.00,703.00,0.00,7453.00,12220.00,0.00,1234.00,2714.00,0.00,355.00,-407.00,-156.00,592.00,326.00,366.00,15.00,351.00,0.00,255.00,114.00,0.00,820.00,5106.00,1141.00,115.00,4767.00,0.00,4683.00,2571.00,1602.00,307.00,129.00,74.00,37.00,47.00,-601.00
1957:Q1,90689.00,10401.00,80289.00,72042.00,8246.00,35.00,373.00,2127.00,9598.00,413.00,19221.00,25791.00,15663.00,10003.00,4910.00,750.00,0.00,10129.00,11290.00,0.00,-1056.00,3232.00,0.00,2007.00,653.00,-26.00,637.00,743.00,477.00,-67.00,544.00,0.00,-102.00,231.00,0.00,744.00,5379.00,254.00,124.00,1161.00,0.00,1083.00,2106.00,-1338.00,326.00,-28.00,17.00,33.00,45.00,-6571.00
1957:Q2,91877.00,10815.00,81062.00,72630.00,8432.00,94.00,705.00,1875.00,9773.00,478.00,18990.00,19216.00,15464.00,9902.00,4807.00,756.00,0.00,3752.00,8819.00,0.00,-2118.00,3523.00,0.00,548.00,-135.00,221.00,275.00,187.00,461.00,-1.00,462.00,0.00,106.00,224.00,0.00,667.00,5728.00,-401.00,81.00,5067.00,0.00,4990.00,2188.00,1981.00,465.00,311.00,45.00,31.00,46.00,-226.00
1957:Q3,93045.00,9425.00,83620.00,73792.00,9829.00,-6.00,-249.00,1620.00,9978.00,470.00,21199.00,25531.00,15374.00,9833.00,4775.00,766.00,0.00,10157.00,13300.00,0.00,2652.00,1887.00,0.00,1878.00,907.00,-54.00,714.00,311.00,529.00,19.00,510.00,0.00,-468.00,193.00,0.00,649.00,5841.00,64.00,75.00,3143.00,0.00,3068.00,2358.00,748.00,-248.00,10.00,200.00,31.00,44.00,-4332.00
1957:Q4,92877.00,8246.00,84631.00,74211.00,10420.00,-17.00,-798.00,1461.00,10060.00,427.00,22294.00,22620.00,15244.00,9737.00,4749.00,758.00,0.00,7377.00,10482.00,0.00,-337.00,3295.00,0.00,369.00,-143.00,363.00,325.00,-176.00,501.00,61.00,440.00,0.00,-461.00,187.00,0.00,678.00,5691.00,476.00,83.00,3105.00,0.00,3033.00,1977.00,1246.00,-156.00,-167.00,133.00,33.00,39.00,-326.00
1958:Q1,93106.00,10027.00,83079.00,74099.00,8980.00,-29.00,317.00,456.00,10486.00,438.00,19138.00,26426.00,14343.00,9142.00,4367.00,834.00,0.00,12083.00,11219.00,0.00,-140.00,3538.00,0.00,525.00,-558.00,-255.00,531.00,807.00,524.00,57.00,467.00,0.00,-490.00,325.00,0.00,721.00,5394.00,706.00,116.00,-864.00,0.00,-934.00,1601.00,-2442.00,-806.00,390.00,323.00,36.00,34.00,-7288.00
1958:Q2,93696.00,10263.00,83434.00,74812.00,8622.00,47.00,758.00,87.00,10698.00,423.00,18273.00,16374.00,14141.00,8966.00,4365.00,810.00,0.00,2233.00,5804.00,0.00,-3533.00,4130.00,0.00,-1894.00,237.00,-384.00,-1065.00,-682.00,883.00,94.00,789.00,0.00,-406.00,467.00,0.00,775.00,5304.00,60.00,18.00,3571.00,0.00,3508.00,2167.00,929.00,-429.00,561.00,280.00,37.00,26.00,1899.00
1958:Q3,95771.00,9552.00,86220.00,76062.00,10158.00,85.00,-230.00,278.00,10706.00,413.00,21044.00,25830.00,14610.00,9142.00,4669.00,798.00,0.00,11220.00,14796.00,0.00,5480.00,2873.00,0.00,-1631.00,-2541.00,-26.00,477.00,459.00,700.00,71.00,629.00,0.00,-160.00,339.00,0.00,794.00,5404.00,878.00,119.00,3576.00,0.00,3510.00,2893.00,236.00,139.00,169.00,73.00,38.00,28.00,-4786.00
