1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q2,13505.00,145.00,-196.00,285.00,5438.00,2121.00,296.00,923.00,1066.00,54.00,-17.00,1216.00,991.00,-180.00,1237.00,134.00,162.00,844.00,-1069.00,55.00,16996.00,707.00,1333.00,1627.00,2.00,55.00,-33.00,2195.00,60.00,-143.00,-19.00,0.00,244.00,1272.00,5332.00,2121.00,0.00,0.00,0.00,-9.00,0.00,343.00,278.00,-17.00,1648.00,0.00,-3491.00
1972:Q3,15470.00,148.00,-615.00,503.00,7063.00,1930.00,-85.00,4185.00,-213.00,47.00,-17.00,1260.00,643.00,47.00,624.00,93.00,174.00,2198.00,-2549.00,34.00,15258.00,738.00,527.00,1604.00,-45.00,34.00,130.00,-1801.00,34.00,74.00,-10.00,0.00,244.00,876.00,7358.00,1930.00,0.00,0.00,0.00,-36.00,0.00,201.00,251.00,2.00,3148.00,0.00,212.00
1972:Q4,18767.00,127.00,44.00,976.00,7367.00,1631.00,75.00,3827.00,563.00,1.00,-17.00,1239.00,422.00,51.00,-306.00,16.00,253.00,2717.00,-299.00,80.00,41979.00,786.00,20877.00,1624.00,-84.00,80.00,227.00,3432.00,813.00,254.00,-20.00,0.00,232.00,1710.00,7039.00,1631.00,0.00,0.00,0.00,-389.00,0.00,546.00,130.00,35.00,3056.00,0.00,-23211.00
1973:Q1,22407.00,111.00,446.00,968.00,8036.00,1488.00,113.00,4362.00,-97.00,3.00,13.00,1195.00,700.00,676.00,1249.00,37.00,-80.00,3863.00,-1796.00,1120.00,20614.00,754.00,1469.00,2151.00,2.00,120.00,-198.00,338.00,-9.00,118.00,-25.00,0.00,221.00,1378.00,7803.00,1488.00,0.00,0.00,0.00,302.00,0.00,-4.00,470.00,-180.00,4416.00,0.00,1793.00
1973:Q2,18653.00,98.00,-693.00,133.00,5517.00,1758.00,-35.00,4018.00,212.00,3.00,15.00,1187.00,764.00,-70.00,1116.00,1.00,-57.00,2575.00,2010.00,101.00,18679.00,770.00,664.00,870.00,7.00,101.00,183.00,2834.00,30.00,-50.00,-25.00,0.00,213.00,2368.00,5463.00,1758.00,0.00,0.00,0.00,47.00,0.00,562.00,-256.00,-103.00,3243.00,0.00,-26.00
1973:Q3,23830.00,93.00,-502.00,627.00,7400.00,2072.00,384.00,2669.00,-3.00,124.00,17.00,1190.00,379.00,544.00,378.00,11.00,-47.00,6003.00,919.00,1572.00,16217.00,771.00,935.00,805.00,20.00,72.00,-145.00,-4835.00,206.00,36.00,-2.00,0.00,209.00,2034.00,8231.00,2072.00,0.00,0.00,0.00,598.00,0.00,-253.00,-627.00,86.00,6005.00,0.00,7613.00
1973:Q4,19886.00,98.00,-103.00,1559.00,7854.00,2398.00,813.00,-1943.00,366.00,124.00,19.00,1203.00,522.00,1004.00,1282.00,66.00,-21.00,-181.00,4143.00,683.00,33205.00,764.00,11061.00,586.00,-57.00,683.00,357.00,5449.00,-137.00,-26.00,-12.00,0.00,214.00,3437.00,7673.00,2398.00,0.00,0.00,0.00,40.00,0.00,1120.00,-227.00,-129.00,12.00,0.00,-13319.00
1974:Q1,24036.00,154.00,127.00,1077.00,8190.00,2405.00,-789.00,6038.00,-403.00,-120.00,80.00,1219.00,444.00,142.00,1651.00,194.00,-98.00,2304.00,643.00,778.00,17744.00,739.00,2036.00,402.00,-60.00,278.00,-356.00,-3294.00,-66.00,56.00,-23.00,0.00,291.00,3745.00,8232.00,2405.00,0.00,0.00,0.00,-241.00,0.00,548.00,-258.00,11.00,3299.00,0.00,6292.00
1974:Q2,11061.00,185.00,112.00,858.00,3253.00,2142.00,61.00,-2138.00,121.00,-122.00,85.00,1241.00,894.00,65.00,-763.00,1390.00,-99.00,1094.00,3131.00,-449.00,9989.00,725.00,-2017.00,318.00,26.00,-449.00,193.00,-706.00,-21.00,-47.00,-23.00,0.00,327.00,4167.00,4165.00,2142.00,-17.00,0.00,0.00,-673.00,0.00,-269.00,373.00,-218.00,1994.00,0.00,1071.00
1974:Q3,19659.00,193.00,1660.00,1603.00,8227.00,2534.00,187.00,4009.00,-320.00,-54.00,84.00,1234.00,623.00,19.00,-803.00,-66.00,-88.00,-3981.00,4160.00,438.00,7982.00,726.00,1732.00,176.00,32.00,-62.00,63.00,-5326.00,-146.00,-142.00,-3.00,0.00,350.00,2685.00,8863.00,2534.00,-31.00,0.00,0.00,310.00,0.00,-1043.00,-315.00,-709.00,-1712.00,0.00,11677.00
1974:Q4,-819.00,178.00,530.00,2040.00,9571.00,2721.00,350.00,-13919.00,-32.00,114.00,79.00,1200.00,908.00,153.00,-4182.00,-91.00,-61.00,1690.00,-2297.00,229.00,16863.00,741.00,1283.00,167.00,-52.00,229.00,1913.00,1172.00,-384.00,-83.00,-18.00,0.00,359.00,1797.00,7988.00,2721.00,-42.00,0.00,0.00,-1212.00,0.00,-1498.00,-179.00,196.00,1766.00,0.00,-17682.00
