1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q2,12720396.00,1544989.00,11175407.00,10542049.00,633358.00,-1156.00,4760.00,172348.00,1320372.00,17472.00,2102690.00,2878865.00,1669577.00,1079734.00,444177.00,156648.00,-10982.00,1209288.00,1097170.00,-22228.00,70281.00,-65399.00,-154099.00,829947.00,396121.00,145353.00,90908.00,197564.00,-55440.00,-83612.00,27768.00,404.00,-73119.00,314182.00,7476.00,39080.00,472348.00,-310940.00,45081.00,-112118.00,41752.00,-179554.00,131483.00,64138.00,-95403.00,-288492.00,8720.00,24092.00,1592.00,-776174.00
2008:Q3,12535542.00,1505833.00,11029709.00,10572184.00,457525.00,-2404.00,4772.00,130529.00,1323523.00,-23248.00,1927649.00,3224760.00,1606715.00,1043743.00,417866.00,156052.00,-10946.00,1618045.00,2152224.00,-31928.00,-19948.00,582310.00,150226.00,1152953.00,33963.00,725604.00,30624.00,362763.00,67328.00,21768.00,33212.00,12348.00,-186278.00,-47216.00,7556.00,70020.00,626568.00,-306747.00,87378.00,534179.00,-9440.00,519971.00,34893.00,-25922.00,54792.00,447388.00,8820.00,24352.00,-704.00,-1297111.00
2008:Q4,12385986.00,1444617.00,10941369.00,10283551.00,657818.00,-1192.00,4884.00,40231.00,1327928.00,22204.00,1997697.00,3189363.00,1474822.00,961585.00,371960.00,152255.00,-10978.00,1714541.00,675349.00,-2536.00,536573.00,-140080.00,312741.00,1533019.00,254417.00,297455.00,168581.00,812566.00,-1114608.00,-1123264.00,10428.00,-1772.00,-389014.00,-389259.00,7564.00,93776.00,477344.00,-262476.00,12305.00,-1039192.00,-1956.00,-1068120.00,-88653.00,-59796.00,11550.00,-940040.00,8820.00,24356.00,6528.00,-1191666.00
2009:Q1,12061772.00,1202828.00,10858944.00,10195082.00,663862.00,31.00,4920.00,39485.00,1322910.00,15776.00,2005592.00,2629406.00,1434655.00,960099.00,332545.00,152309.00,-10298.00,1194751.00,1125129.00,-17508.00,77338.00,139787.00,90908.00,509136.00,753824.00,-1065217.00,195036.00,625493.00,-277720.00,-302896.00,19356.00,5820.00,392918.00,-152738.00,-752.00,58664.00,398548.00,-116930.00,23477.00,-69622.00,1932.00,-110702.00,155746.00,-80182.00,-55698.00,-120880.00,-9688.00,41200.00,-2052.00,-623813.00
2009:Q2,12117742.00,1132548.00,10985194.00,10205384.00,779810.00,-2604.00,4956.00,33644.00,1318255.00,13800.00,2110349.00,1576585.00,1399892.00,953210.00,307981.00,148535.00,-9834.00,176693.00,339196.00,288.00,293398.00,-19060.00,-178724.00,-927488.00,50347.00,-1242053.00,87183.00,177034.00,46868.00,39600.00,18684.00,-11416.00,212264.00,461879.00,-756.00,-3600.00,532408.00,-112690.00,34408.00,162503.00,14952.00,112555.00,99631.00,-149702.00,117110.00,55312.00,-9796.00,41652.00,-6656.00,533764.00
2009:Q3,12066776.00,1133756.00,10933020.00,10322586.00,610434.00,-2948.00,4960.00,70594.00,1317735.00,-90564.00,2081419.00,1529723.00,1449162.00,992171.00,320639.00,145814.00,-9462.00,80561.00,198869.00,1712.00,50383.00,-149412.00,-565904.00,110735.00,656466.00,-230219.00,142493.00,-458006.00,116980.00,102436.00,17492.00,-2948.00,-300841.00,526978.00,-772.00,-6240.00,470128.00,-112811.00,57932.00,118308.00,7164.00,70584.00,11258.00,-71600.00,40330.00,100500.00,-9904.00,42116.00,-1556.00,551696.00
2009:Q4,12132874.00,1139920.00,10992954.00,10377382.00,615572.00,548.00,4996.00,57297.00,1319082.00,-52564.00,2040067.00,2370204.00,1433374.00,977792.00,323035.00,141725.00,-9178.00,936830.00,1094723.00,-13164.00,-18352.00,442882.00,-417445.00,449186.00,566635.00,-295564.00,195828.00,-17713.00,-2056.00,-3028.00,18004.00,-17032.00,-357486.00,498988.00,-764.00,33564.00,543424.00,-87928.00,23876.00,157893.00,3356.00,121873.00,77345.00,-76894.00,11614.00,119712.00,-9904.00,42112.00,-9448.00,-330137.00
2010:Q1,12234829.00,1193374.00,11041455.00,10459062.00,582393.00,-4390.00,4896.00,59886.00,1314101.00,-55976.00,2003070.00,2190961.00,1421821.00,976375.00,320320.00,134025.00,-8899.00,769140.00,434723.00,-17008.00,-107470.00,215789.00,-252057.00,-164956.00,225129.00,123159.00,108804.00,-622049.00,13616.00,-7024.00,13016.00,7624.00,-322386.00,285363.00,6180.00,-3880.00,607724.00,181507.00,-7698.00,-334417.00,5780.00,-321397.00,-365294.00,-84717.00,151761.00,-24204.00,1056.00,-28820.00,10020.00,-187891.00
2010:Q2,12413355.00,1215710.00,11197645.00,10543275.00,654370.00,-1967.00,4948.00,81378.00,1312868.00,-10380.00,2052081.00,2544905.00,1459217.00,999366.00,334643.00,133759.00,-8551.00,1085688.00,1129324.00,11476.00,52129.00,62487.00,-120158.00,221876.00,1011597.00,-402593.00,11090.00,-398216.00,11304.00,11368.00,6668.00,-6732.00,-12510.00,106121.00,6252.00,-992.00,607144.00,166979.00,17216.00,43636.00,-7948.00,77152.00,-36164.00,-67762.00,95870.00,84140.00,1068.00,-29144.00,3576.00,-492824.00
2010:Q3,12543885.00,1257226.00,11286659.00,10634529.00,652130.00,-4342.00,4948.00,90512.00,1313250.00,3352.00,2043250.00,1925839.00,1439971.00,1009131.00,305327.00,133817.00,-8304.00,485868.00,349360.00,10136.00,73023.00,255263.00,-136467.00,-892731.00,65913.00,-1476.00,4933.00,-962101.00,39892.00,53616.00,8092.00,-21816.00,-171464.00,272194.00,6316.00,42788.00,658496.00,156050.00,35864.00,-136508.00,-10772.00,-84668.00,-156290.00,-2965.00,2227.00,71276.00,1084.00,-29456.00,-11612.00,117411.00
