1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,16313.00,1332.00,-176.00,13908.00,10780.00,552.00,1776.00,800.00,1249.00,16313.00,12709.00,12605.00,-2329.00,3205.00,0.00,-772.00,3796.00,180.00,0.00,0.00,0.00,0.00,552.00,0.00,3064.00,0.00,0.00,-192.00,16313.00,1649.00,1208.00,-719.00,292.00,772.00,96.00,14664.00,0.00,10292.00,132.00,0.00,220.00,8.00,2700.00,40.00,60.00,0.00,252.00,4.00,0.00,328.00,0.00,628.00,0.00,0.00,0.00
1954:Q3,15661.00,2212.00,1844.00,10300.00,7624.00,560.00,1832.00,284.00,1305.00,15661.00,14329.00,11077.00,-737.00,4085.00,0.00,-96.00,772.00,56.00,0.00,0.00,0.00,0.00,-184.00,0.00,900.00,0.00,0.00,560.00,15661.00,-355.00,976.00,801.00,-200.00,-2024.00,92.00,16016.00,360.00,9748.00,416.00,0.00,220.00,0.00,2812.00,44.00,64.00,0.00,308.00,32.00,0.00,1032.00,0.00,980.00,0.00,0.00,0.00
1954:Q4,24061.00,616.00,4480.00,15384.00,12172.00,852.00,2124.00,236.00,3581.00,24061.00,19805.00,16777.00,1864.00,1220.00,0.00,-56.00,2780.00,712.00,0.00,0.00,0.00,0.00,304.00,0.00,1764.00,0.00,0.00,1476.00,24061.00,3501.00,1712.00,-219.00,1148.00,776.00,84.00,20560.00,112.00,12356.00,4.00,8.00,220.00,-8.00,3744.00,56.00,64.00,0.00,1084.00,32.00,0.00,1360.00,0.00,1528.00,0.00,0.00,0.00
1955:Q1,26197.00,4208.00,-120.00,15956.00,12776.00,468.00,1808.00,904.00,6153.00,26197.00,27569.00,22469.00,2380.00,2688.00,0.00,32.00,-1080.00,-660.00,0.00,0.00,0.00,0.00,800.00,0.00,-1220.00,0.00,0.00,-292.00,26197.00,4201.00,2288.00,2057.00,-1192.00,980.00,68.00,21996.00,-160.00,15868.00,-24.00,28.00,352.00,4.00,3412.00,68.00,68.00,0.00,-468.00,32.00,0.00,1620.00,0.00,1196.00,0.00,0.00,0.00
1955:Q2,37869.00,10072.00,2512.00,17116.00,13356.00,828.00,1992.00,940.00,8169.00,37869.00,34105.00,23197.00,5439.00,5505.00,0.00,-36.00,3224.00,1260.00,0.00,0.00,0.00,0.00,1076.00,0.00,888.00,0.00,0.00,540.00,37869.00,1709.00,472.00,-295.00,472.00,1004.00,56.00,36160.00,-160.00,25404.00,36.00,44.00,368.00,8.00,3148.00,76.00,68.00,0.00,1472.00,36.00,0.00,5412.00,0.00,248.00,0.00,0.00,0.00
1955:Q3,33281.00,6852.00,2752.00,16100.00,12480.00,760.00,2224.00,636.00,7577.00,33281.00,31293.00,21241.00,5197.00,4843.00,0.00,12.00,1892.00,1032.00,0.00,0.00,0.00,64.00,1380.00,0.00,-584.00,0.00,0.00,96.00,33281.00,2549.00,620.00,1513.00,-24.00,388.00,52.00,30732.00,-160.00,20476.00,156.00,44.00,388.00,12.00,3204.00,88.00,72.00,0.00,1468.00,40.00,0.00,4544.00,0.00,400.00,0.00,0.00,0.00
1955:Q4,33581.00,9516.00,2220.00,15800.00,11708.00,1244.00,2224.00,624.00,6045.00,33581.00,29713.00,17533.00,9495.00,2645.00,0.00,40.00,3320.00,568.00,0.00,0.00,0.00,200.00,452.00,0.00,2100.00,0.00,0.00,548.00,33581.00,2517.00,1344.00,-483.00,1168.00,428.00,60.00,31064.00,-48.00,21600.00,-484.00,36.00,340.00,12.00,4764.00,100.00,68.00,0.00,1084.00,44.00,0.00,3648.00,0.00,-100.00,0.00,0.00,0.00
1956:Q1,25941.00,5540.00,-92.00,15096.00,11036.00,668.00,2316.00,1076.00,5397.00,25941.00,28845.00,17789.00,8650.00,2378.00,0.00,28.00,-3076.00,-1116.00,0.00,0.00,0.00,-160.00,60.00,0.00,-1860.00,0.00,0.00,172.00,25941.00,4701.00,3032.00,2845.00,-1096.00,-144.00,64.00,21240.00,-4.00,14924.00,272.00,24.00,372.00,16.00,4028.00,112.00,72.00,0.00,-628.00,44.00,0.00,2044.00,0.00,-36.00,0.00,0.00,0.00
1956:Q2,27745.00,7804.00,724.00,15772.00,11388.00,680.00,2512.00,1192.00,3445.00,27745.00,26361.00,14965.00,6994.00,4394.00,0.00,8.00,520.00,140.00,0.00,0.00,0.00,272.00,372.00,0.00,-264.00,0.00,0.00,864.00,27745.00,1073.00,1104.00,-1503.00,404.00,1012.00,56.00,26672.00,0.00,20744.00,232.00,16.00,372.00,12.00,3856.00,128.00,64.00,0.00,824.00,44.00,0.00,368.00,0.00,12.00,0.00,0.00,0.00
1956:Q3,20577.00,2700.00,788.00,14136.00,10408.00,580.00,2468.00,680.00,2953.00,20577.00,21037.00,12881.00,3906.00,4110.00,0.00,140.00,-564.00,-124.00,0.00,0.00,0.00,16.00,704.00,0.00,-1160.00,0.00,0.00,104.00,20577.00,2149.00,660.00,1105.00,160.00,148.00,76.00,18428.00,0.00,12120.00,660.00,12.00,388.00,8.00,3424.00,136.00,76.00,0.00,796.00,20.00,0.00,808.00,0.00,-20.00,0.00,0.00,0.00
