1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q2,5747.00,11123.00,9148.00,2.00,9146.00,1975.00,156440.00,52.00,250.00,154.00,3420.00,-1676.00,1319.00,4347.00,2128.00,5136.00,35140.00,18895.00,-4883.00,9124.00,3929.00,8075.00,74528.00,24448.00,18716.00,24648.00,6716.00,5766.00,-274.00,690.00,0.00,866.00,24594.00,154465.00,1647.00,14453.00,20697.00,15648.00,1071.00,25759.00,10896.00,13606.00,1257.00,11604.00,6240.00,5362.00,2.00,579.00,795.00,100.00,2317.00,43533.00,-231.00,150.00,865.00,15478.00,-5376.00
1981:Q3,5151.00,7282.00,9592.00,3.00,9589.00,-2311.00,179891.00,-433.00,250.00,155.00,2898.00,6033.00,745.00,12014.00,2392.00,10845.00,58072.00,18449.00,17798.00,12634.00,4261.00,4930.00,61577.00,19483.00,11151.00,20773.00,10170.00,6968.00,-365.00,704.00,0.00,907.00,17129.00,182202.00,10155.00,2129.00,32452.00,34599.00,3818.00,28869.00,11221.00,16840.00,808.00,8810.00,426.00,8378.00,6.00,636.00,699.00,100.00,2232.00,44830.00,-222.00,-144.00,877.00,12362.00,-2131.00
1981:Q4,4855.00,-3980.00,10150.00,4.00,10146.00,-14130.00,164737.00,-377.00,0.00,169.00,1774.00,-4511.00,1122.00,6766.00,2495.00,43779.00,49328.00,2681.00,31703.00,3376.00,4828.00,6740.00,48443.00,17336.00,11602.00,14925.00,4580.00,8033.00,-452.00,534.00,0.00,954.00,6680.00,178866.00,-21937.00,26179.00,43399.00,21835.00,43149.00,16244.00,3118.00,8328.00,4798.00,10726.00,3497.00,7217.00,12.00,1149.00,1196.00,100.00,2070.00,40309.00,-126.00,-135.00,1296.00,-6588.00,8834.00
1982:Q1,4090.00,1038.00,10271.00,5.00,10266.00,-9232.00,100353.00,69.00,250.00,155.00,3620.00,285.00,-3529.00,2875.00,1021.00,-16095.00,55582.00,8122.00,20260.00,15963.00,2111.00,9126.00,25863.00,16090.00,-1184.00,13005.00,-2048.00,3936.00,371.00,557.00,0.00,1549.00,23844.00,109585.00,16979.00,-22843.00,40007.00,12427.00,-2333.00,13422.00,-276.00,10425.00,3273.00,-7198.00,-4333.00,-2887.00,22.00,1323.00,1327.00,100.00,1884.00,39055.00,-91.00,27.00,577.00,14922.00,3052.00
1982:Q2,4890.00,10277.00,10305.00,7.00,10298.00,-28.00,149455.00,39.00,250.00,140.00,738.00,-3017.00,2683.00,10076.00,69.00,4289.00,46791.00,16831.00,1075.00,19206.00,2344.00,7335.00,54185.00,20476.00,9221.00,17990.00,6498.00,4276.00,1151.00,532.00,0.00,664.00,26590.00,149483.00,-13224.00,5889.00,32697.00,10948.00,-3565.00,32895.00,13135.00,18118.00,1642.00,6998.00,659.00,6305.00,34.00,1149.00,1517.00,100.00,1672.00,45481.00,37.00,80.00,1042.00,25767.00,-5388.00
1982:Q3,5245.00,-3983.00,10350.00,7.00,10344.00,-14333.00,174601.00,-43.00,400.00,135.00,-385.00,-3289.00,2402.00,7704.00,-198.00,20720.00,68026.00,-7826.00,45537.00,17306.00,4916.00,8093.00,40032.00,14788.00,235.00,19350.00,5659.00,7555.00,1490.00,519.00,0.00,541.00,28991.00,188934.00,-18432.00,24656.00,38833.00,25566.00,20586.00,16922.00,-6552.00,19373.00,4101.00,614.00,1955.00,-1375.00,34.00,1103.00,2972.00,150.00,1637.00,55387.00,196.00,94.00,211.00,18439.00,9228.00
1982:Q4,6352.00,2373.00,10518.00,3.00,10515.00,-8145.00,192187.00,461.00,400.00,131.00,940.00,8282.00,416.00,-7051.00,14.00,11354.00,85545.00,-9497.00,54991.00,16137.00,11150.00,12764.00,43762.00,12269.00,5355.00,17851.00,8287.00,25777.00,1876.00,517.00,0.00,-528.00,20291.00,200332.00,8696.00,30046.00,60892.00,-15318.00,20492.00,25949.00,3621.00,16559.00,5769.00,7514.00,3373.00,4118.00,23.00,1099.00,3672.00,150.00,1778.00,60166.00,250.00,286.00,1441.00,-6781.00,3979.00
1983:Q1,7686.00,31398.00,10670.00,0.00,10671.00,20728.00,115712.00,-717.00,0.00,170.00,-4577.00,-4474.00,-2960.00,-2584.00,1296.00,-3055.00,54671.00,-1771.00,29230.00,16239.00,-976.00,11949.00,18577.00,-453.00,-8155.00,30095.00,-2910.00,12528.00,-406.00,511.00,0.00,1084.00,45648.00,94984.00,-21044.00,-11021.00,52277.00,-22592.00,-11657.00,11233.00,-5838.00,14818.00,2253.00,-9994.00,891.00,-10900.00,15.00,549.00,6282.00,92.00,1888.00,59640.00,1.00,40.00,229.00,39061.00,-23713.00
1983:Q2,8479.00,6953.00,11062.00,-4.00,11066.00,-4108.00,182717.00,-297.00,0.00,179.00,462.00,-1913.00,-102.00,3039.00,-67.00,4656.00,57710.00,6388.00,16202.00,15774.00,2856.00,16490.00,68759.00,5222.00,11354.00,42111.00,10072.00,13933.00,-244.00,721.00,0.00,629.00,35251.00,186825.00,434.00,32670.00,38071.00,-16443.00,3728.00,26796.00,7915.00,17020.00,1861.00,4990.00,4559.00,422.00,9.00,621.00,8186.00,529.00,1965.00,67723.00,-151.00,75.00,362.00,17269.00,1526.00
1983:Q3,7979.00,13154.00,11740.00,-4.00,11744.00,1415.00,213815.00,-418.00,0.00,176.00,246.00,-3414.00,-870.00,-315.00,1004.00,15043.00,72815.00,8298.00,40443.00,19198.00,3397.00,1479.00,78510.00,3451.00,6021.00,53385.00,15653.00,13042.00,870.00,717.00,0.00,684.00,35725.00,212400.00,5680.00,9433.00,48250.00,-1303.00,22721.00,32706.00,6198.00,19388.00,7120.00,-1685.00,-2433.00,744.00,4.00,795.00,5395.00,-138.00,1994.00,60904.00,-58.00,-15.00,1074.00,26647.00,-5175.00
