1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,31752.00,31008.00,8.00,0.00,736.00,31752.00,29456.00,388.00,388.00,0.00,-4.00,488.00,304.00,272.00,0.00,0.00,0.00,32.00,0.00,1120.00
1963:Q1,33368.00,32412.00,52.00,0.00,904.00,33368.00,27004.00,1376.00,1376.00,0.00,-36.00,3208.00,244.00,288.00,0.00,0.00,0.00,-44.00,0.00,1572.00
1963:Q2,27748.00,27004.00,68.00,0.00,676.00,27748.00,26880.00,-736.00,-736.00,0.00,-24.00,832.00,248.00,296.00,0.00,0.00,0.00,-48.00,0.00,548.00
1963:Q3,22944.00,22044.00,68.00,0.00,832.00,22944.00,20944.00,-172.00,-172.00,0.00,-16.00,1176.00,256.00,308.00,0.00,0.00,0.00,-52.00,0.00,756.00
1963:Q4,34076.00,33100.00,60.00,0.00,916.00,34076.00,29604.00,2280.00,2280.00,0.00,40.00,1356.00,268.00,320.00,0.00,0.00,0.00,-52.00,0.00,528.00
1964:Q1,27384.00,26388.00,32.00,0.00,964.00,27384.00,20944.00,4148.00,4148.00,0.00,0.00,884.00,328.00,332.00,0.00,0.00,0.00,-4.00,0.00,1080.00
1964:Q2,29440.00,28364.00,24.00,0.00,1052.00,29440.00,27164.00,-1088.00,-1088.00,0.00,-12.00,1684.00,332.00,344.00,0.00,0.00,0.00,-12.00,0.00,1360.00
1964:Q3,27424.00,26332.00,28.00,0.00,1064.00,27424.00,24336.00,-572.00,-572.00,0.00,-68.00,2116.00,352.00,356.00,0.00,0.00,0.00,-4.00,0.00,1260.00
1964:Q4,37428.00,36256.00,20.00,0.00,1152.00,37428.00,31976.00,1448.00,1448.00,0.00,128.00,2192.00,364.00,372.00,0.00,0.00,0.00,-8.00,0.00,1320.00
1965:Q1,35332.00,34332.00,76.00,0.00,924.00,35332.00,27812.00,4132.00,4132.00,0.00,-48.00,2384.00,436.00,388.00,0.00,0.00,0.00,48.00,0.00,616.00
1965:Q2,29168.00,28204.00,72.00,0.00,892.00,29168.00,23276.00,3588.00,3588.00,0.00,0.00,1128.00,440.00,400.00,0.00,0.00,0.00,40.00,0.00,736.00
1965:Q3,30552.00,29600.00,68.00,0.00,884.00,30552.00,23984.00,2444.00,2444.00,0.00,-40.00,3272.00,468.00,416.00,0.00,0.00,0.00,52.00,0.00,424.00
1965:Q4,37628.00,36272.00,84.00,0.00,1272.00,37628.00,34820.00,-876.00,-876.00,0.00,0.00,2712.00,484.00,432.00,0.00,0.00,0.00,52.00,0.00,488.00
1966:Q1,23804.00,22792.00,72.00,0.00,940.00,23804.00,18776.00,3572.00,3572.00,0.00,0.00,112.00,504.00,452.00,0.00,0.00,0.00,52.00,0.00,840.00
1966:Q2,23252.00,22340.00,80.00,0.00,832.00,23252.00,20296.00,-712.00,-712.00,0.00,-40.00,2372.00,512.00,468.00,0.00,0.00,0.00,44.00,0.00,824.00
1966:Q3,11924.00,11316.00,-4.00,0.00,612.00,11924.00,9400.00,264.00,264.00,0.00,-40.00,1912.00,512.00,480.00,0.00,0.00,0.00,32.00,0.00,-124.00
1966:Q4,22396.00,21380.00,4.00,0.00,1012.00,22396.00,26012.00,-4684.00,-4684.00,0.00,-40.00,708.00,612.00,588.00,0.00,0.00,0.00,24.00,0.00,-212.00
1967:Q1,50464.00,49384.00,104.00,0.00,976.00,50464.00,38152.00,3812.00,3812.00,0.00,120.00,6116.00,508.00,484.00,0.00,0.00,0.00,24.00,0.00,1756.00
1967:Q2,44040.00,42744.00,100.00,0.00,1196.00,44040.00,41416.00,-3116.00,-3116.00,0.00,80.00,3476.00,660.00,572.00,68.00,0.00,0.00,20.00,0.00,1524.00
1967:Q3,35076.00,34160.00,112.00,0.00,804.00,35076.00,31756.00,1288.00,1288.00,0.00,-40.00,432.00,824.00,588.00,208.00,0.00,0.00,28.00,0.00,816.00
1967:Q4,32872.00,31604.00,128.00,0.00,1140.00,32872.00,29356.00,2332.00,2332.00,0.00,28.00,-948.00,1136.00,740.00,368.00,0.00,0.00,28.00,0.00,968.00
1968:Q1,32776.00,31360.00,160.00,0.00,1256.00,32776.00,32460.00,-1228.00,-1228.00,0.00,252.00,2208.00,304.00,488.00,-212.00,0.00,0.00,28.00,0.00,-1220.00
1968:Q2,16352.00,14700.00,172.00,0.00,1480.00,16352.00,20528.00,-4984.00,-4984.00,0.00,-36.00,1544.00,552.00,668.00,-132.00,0.00,0.00,16.00,0.00,-1252.00
1968:Q3,40444.00,39716.00,132.00,0.00,596.00,40444.00,32100.00,1640.00,1640.00,0.00,116.00,4888.00,1024.00,728.00,284.00,0.00,0.00,12.00,0.00,676.00
1968:Q4,43808.00,42164.00,152.00,0.00,1492.00,43808.00,35860.00,2068.00,2068.00,0.00,72.00,3956.00,1136.00,780.00,336.00,0.00,0.00,20.00,0.00,716.00
1969:Q1,7904.00,5124.00,220.00,844.00,1716.00,7904.00,17108.00,-5456.00,-5456.00,0.00,-72.00,-2576.00,-216.00,476.00,-712.00,0.00,0.00,20.00,0.00,-884.00
1969:Q2,-708.00,-3508.00,84.00,1312.00,1404.00,-708.00,17196.00,-12396.00,-12396.00,0.00,8.00,-5848.00,1352.00,964.00,364.00,0.00,0.00,24.00,0.00,-1020.00
1969:Q3,-19200.00,-21636.00,312.00,1220.00,904.00,-19200.00,-5016.00,-4272.00,-4272.00,0.00,-208.00,-11192.00,1028.00,720.00,272.00,0.00,0.00,36.00,0.00,460.00
1969:Q4,9368.00,6824.00,308.00,560.00,1676.00,9368.00,5248.00,508.00,508.00,0.00,-356.00,-3704.00,708.00,836.00,-164.00,0.00,0.00,36.00,0.00,6964.00
1970:Q1,15608.00,13724.00,696.00,212.00,976.00,15608.00,5060.00,3584.00,2784.00,800.00,-124.00,5432.00,784.00,868.00,-128.00,0.00,0.00,44.00,0.00,872.00
