1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q3,826935.00,493067.00,286976.00,8492.00,38400.00,826935.00,387231.00,131092.00,119568.00,11524.00,184.00,14816.00,211963.00,4692.00,4064.00,142679.00,10812.00,50068.00,-352.00,81648.00
2013:Q4,340351.00,321195.00,6012.00,-2348.00,15492.00,340351.00,229057.00,3476.00,-8048.00,11524.00,-1316.00,13884.00,-6150.00,4688.00,4024.00,5954.00,-8536.00,-25412.00,13132.00,101400.00
2014:Q1,613654.00,409655.00,210000.00,-5488.00,-514.00,613654.00,513451.00,-63772.00,-79460.00,15688.00,-96.00,17224.00,81955.00,1904.00,4120.00,49443.00,10260.00,9724.00,6504.00,64892.00
2014:Q2,475397.00,392992.00,37388.00,5664.00,39353.00,475397.00,157062.00,148204.00,132520.00,15684.00,-44.00,6579.00,26189.00,1904.00,3992.00,59489.00,-8104.00,-6564.00,-24528.00,137408.00
2014:Q3,215696.00,73601.00,100640.00,-3708.00,45163.00,215696.00,288697.00,-117180.00,-132868.00,15688.00,384.00,9909.00,48630.00,1908.00,2336.00,22570.00,-1916.00,-14520.00,38252.00,-14744.00
2014:Q4,748130.00,909036.00,-212712.00,19768.00,32038.00,748130.00,793934.00,23600.00,7916.00,15684.00,560.00,1981.00,-100937.00,1904.00,2208.00,-49961.00,-8652.00,9348.00,-55784.00,28992.00
2015:Q1,721617.00,749788.00,-20784.00,-14364.00,6977.00,721617.00,506735.00,73016.00,48948.00,24068.00,-592.00,28486.00,84476.00,1876.00,2164.00,56896.00,-5400.00,1916.00,27024.00,29496.00
2015:Q2,18308.00,89994.00,-144096.00,9776.00,62635.00,18308.00,182109.00,-103636.00,-132956.00,29320.00,1060.00,2788.00,-3888.00,820.00,2288.00,-30140.00,3660.00,10668.00,8816.00,-60124.00
2015:Q3,494893.00,530945.00,-97440.00,-4340.00,65728.00,494893.00,767486.00,36184.00,15212.00,20972.00,864.00,-2992.00,-237749.00,1336.00,-2244.00,-210145.00,-576.00,10204.00,-36324.00,-68900.00
2015:Q4,389922.00,565365.00,-223188.00,-2688.00,50433.00,389922.00,543366.00,-19588.00,-55240.00,35652.00,-1260.00,25922.00,-183342.00,1280.00,-1248.00,-130346.00,-640.00,-21296.00,-31092.00,24824.00
2016:Q1,548646.00,537102.00,33964.00,10472.00,-32891.00,548646.00,147441.00,21500.00,-9496.00,30996.00,208.00,5284.00,301738.00,1888.00,-6960.00,249466.00,3204.00,52280.00,1860.00,72476.00
2016:Q2,279664.00,389460.00,-232860.00,-7964.00,131028.00,279664.00,555630.00,43728.00,18144.00,25584.00,460.00,14890.00,-426756.00,1852.00,6244.00,-286184.00,3084.00,-141184.00,-10568.00,91712.00
2016:Q3,590913.00,765194.00,-316632.00,-3464.00,145815.00,590913.00,1432324.00,192096.00,162760.00,29336.00,-372.00,-36770.00,-1029472.00,1200.00,4664.00,-1009136.00,4612.00,-20120.00,-10692.00,33108.00
2016:Q4,653440.00,631996.00,-47040.00,10948.00,57536.00,653440.00,708177.00,-10888.00,-35532.00,24644.00,-1208.00,39316.00,-138562.00,1208.00,888.00,-146850.00,5756.00,-10760.00,11196.00,56605.00
